táimid	ˈt̪ˠɑːmʲədʲ
Céadaoin	ˈceːd̪ˠiːnʲ
mairteoil	ˈmˠaɾʲtʲoːlʲ
páipéir	ˈpˠɑːpʲeːɾʲ
crúca	ˈkɾˠuːkə
siúlta	ˈʃuːl̪ˠt̪ˠə
Oisín	ˈɔʃiːnʲ
ramhra	ˈɾˠəuɾˠə
altair	ˈal̪ˠt̪ˠəɾʲ
ofrála	ˈɔfˠɾˠɑːlˠə
curaí	ˈkɔɾˠiː
goirim	ˈɡɛɾʲəmʲ
sionnach	ˈʃɪn̪ˠəx
bhuí	wiː
lasracha	ˈl̪ˠasˠɾˠəxə
faoi mhaise	fˠiːˈwaʃə
ghuí	ɣiː
átha	ˈaːhə
múchaim	ˈmˠuːxəmʲ
bacaí	ˈbˠakiː
fáltas	ˈfˠɑːl̪ˠt̪ˠəsˠ
gaiscíocha	ˈɡaʃciːxə
chítear	ˈçiːtʲəɾˠ
cóir	koːɾʲ
tréan	tʲɾʲeːnˠ
Bhéarla	ˈvʲeːɾˠlˠə
bréan	bʲɾʲeːnˠ
nguí	ŋiː
busta	ˈbˠʊsˠt̪ˠə
Baile Meánach	ˌbˠalʲə ˈmʲɑːn̪ˠəx
teora	ˈtʲoːɾˠə
bíd	bʲiːdʲ
Mhuire	ˈwɪɾʲə
shéabra	ˈheːbˠɾˠə
casachtach	ˈkɑsˠəxt̪ˠəx
Uasal	ˈuəsˠəlˠ
Aibhilín	ˈavʲəlʲiːnʲ
achainí	ˈaxənʲiː
baoth	bˠiː
gaoth	ɡiː
eiscir	ˈɛʃcəɾʲ
shuigh	hiː
leithe	ˈl̠ʲɛhə
glaise	ˈɡlˠaʃə
dochar	ˈd̪ˠɔxəɾˠ
bhfeiceanna	ˈvʲɛcən̪ˠə
coisrig	ˈkɔʃɾʲɪc
Roibeárd	ˈɾˠɛbʲɑːɾˠd̪ˠ
bhfaide	ˈwadʲə
nímid	ˈn̠ʲiːmʲədʲ
eachtrán	ˈaxt̪ˠɾˠɑːnˠ
spairt	sˠpˠaɾˠtʲ
deisceabal	ˈdʲɛʃcəbˠəlˠ
tímid	ˈtʲiːmʲədʲ
siab	ʃiəbˠ
meilleog	ˈmʲɛl̠ʲoːɡ
buinne	ˈbˠɪn̠ʲə
chuma	ˈxʊmˠə
rugabhair	ˈɾˠʊɡəwəɾʲ
hé	heː
fé	fʲeː
gé	ɟeː
mé	mʲeː
taca	ˈt̪ˠakə
buíochas	ˈbˠiːxəsˠ
faca	ˈfˠakə
haca	ˈhakə
briseann	ˈbʲɾʲɪʃən̪ˠ
dé	dʲeː
solas	ˈsˠɔlˠəsˠ
bé	bʲeː
