urlár	ˈʊɾˠlˠɑːɾˠ
cileagram	ˈcɪlʲəɡɾˠəmˠ
breacán	ˈbʲɾʲakɑːnˠ
díolaim	ˈdʲiːlˠəmʲ
colanna	ˈkɔlˠən̪ˠə
i gcomhluadar	əˈɡəulˠuəd̪ˠəɾˠ
súsa	ˈsˠuːsˠə
tuaisceart	ˈt̪ˠuəʃcəɾˠt̪ˠ
fheictear	ˈɛctʲəɾˠ
Iarmhí	ˈiəɾʲvʲiː
scáileán	ˈsˠkɑːlʲeɑːnˠ
liom	lʲiəmˠ
cirt	cɪɾˠtʲ
dícheall	ˈdʲiːçəlˠ
Tuaisceart Éireann	ˌt̪ˠuəʃcəɾˠtʲ ˈeːɾʲən̪ˠ
freastal	ˈfʲɾʲasˠt̪ˠəlˠ
uireasa	ˈɪɾʲəsˠə
údarás	ˈuːd̪ˠəɾˠɑːsˠ
Dia's Muire duit	ˌdʲiə'sˠ mˠɪɾʲə ˈd̪ˠɪtʲ
aichear	ˈahəɾˠ
bhís	vʲiːʃ
cruaidh	ˈkɾˠuə
téarma	ˈtʲeːɾˠmˠə
boscaí	ˈbˠɔsˠkiː
seám	ˈʃeɑːmˠ
iomaire	ˈʊmˠəɾʲə
dúradar	ˈd̪ˠuːɾˠəd̪ˠəɾˠ
Ó	oː
n-olaí	n̪ˠ-ˈɔlˠiː
goileann	ˈɡɛlʲən̪ˠ
cárbh	kɑːɾˠw
aer	eːɾˠ
tógaim	ˈt̪ˠoːɡəmʲ
Dochartach	ˈd̪ˠɔxəɾˠt̪ˠəx
acsón	ˈaksˠoːnˠ
scilling	ˈʃcɪlʲəɲ
deireanach	ˈdʲɛɾʲən̪ˠəx
eisean	ˈɛʃən̪ˠ
thriall	ˈhɾʲiəlˠ
rúnda	ˈɾˠuːn̪ˠd̪ˠə
cóta fearthainne	ˌkoːt̪ˠə ˈfʲaɾˠən̪ˠə
cíocras	ˈciːkɾˠəsˠ
gliocacht	ˈɟlʲiəkəxt̪ˠ
litreacha	ˈlʲɪtʲɾʲəxə
lannach	ˈlˠan̪ˠəx
céachta	ˈceːxt̪ˠə
saraiste	ˈsˠaɾˠəʃtʲə
i mbun	əˈmˠʊn̪ˠ
oibreacha	ˈɛbʲɾʲəxə
úd	uːd̪ˠ
veigeatóir	vˈɛɟət̪ˠóɾʲ
socrú	ˈsˠɔkɾˠuː
pingine	ˈpʲɪɲənʲə
cardáil	ˈkaɾˠəd̪ˠɑːlʲ
sráidbhaile	ˈsˠɾˠɑːd̪ˠwəlʲə
dream	dʲɾʲamˠ
cáinim	ˈkɑːnʲɪmʲ
inín	ˈɪnʲiːnʲ
aimsire	ˈamʲʃəɾʲə
póirse	ˈpˠóɾˠʃə
príobháideacht	ˈpʲɾʲiːwɑːdʲəxt̪ˠ
meanma	ˈmʲan̪ˠmˠə
dhíbh	jiːvʲ
mháighistreása	ˈwɑːjəʃtʲɾʲeɑːsˠə
anuas	ˈan̪ˠuəsˠ
Saoirse	ˈsˠiːɾˠʃə
d'fhuaigh	d̪ˠ'ˈuə
múinteoirí	ˈmˠún̪ʲtʲoːɾʲiː
trá	t̪ˠɾˠɑː
Tiarna	ˈtʲiəɾˠn̪ˠə
faoinarbh	ˈfˠiːn̪ˠəɾˠw
Droichead Nua	ˌd̪ˠɾˠɛhəd̪ˠ ˈn̪ˠuə
-tá	-t̪ˠɑː
luchóg	ˈlˠʊxoːɡ
tobac	ˈt̪ˠɔbˠək
Chiribeas	ˈçɪɾʲəbʲəsˠ
Gearmáinis	ˈɟaɾˠmˠɑːnʲəʃ
d'fháisc	d̪ˠ'ˈɑːʃc
treabhsar	ˈtʲɾʲəusˠəɾˠ
atá	ˈat̪ˠɑː
airneán	ˈaɾʲnʲeɑːnˠ
fuinneoige	ˈfˠɪnʲoːɟɪ
foshruth	ˈfˠɔhɾˠə
i dtrátha	əˈd̪ˠɾˠɑːhə
ortsa	ˈɔɾˠt̪ˠsˠə
lúth	lˠuː
seanmhná	ˈʃan̪ˠwn̪ˠɑː
cathaoireach	ˈkahiːɾʲəx
mbia	ˈmʲiə
anglaise	ˈɪŋlˠəʃə
panc	pˠan̪ˠk
Eibhlín	ˈɛvʲlʲiːnʲ
bhfuair	ˈwuəɾʲ
ndoirse	ˈn̪ˠɔɾˠʃə
flaith	fˠlˠa
freagair	ˈfʲɾʲaɡəɾʲ
banc	bˠan̪ˠk
deagánach	ˈdʲaɡɑːn̪ˠəx
buabhall	ˈbˠuəwəlˠ
dánlann	ˈd̪ˠɑːn̪ˠlˠən̪ˠ
gléasaim	ˈɟlʲeːsˠəmʲ
fhuar	uəɾˠ
féich	fʲeː
cantal	ˈkan̪ˠt̪ˠəlˠ
mhadraí	ˈwad̪ˠɾˠiː
desean	ˈdʲɛʃən̪ˠ
iarraigí	ˈiəɾˠəɟiː
chugham	ˈxaiəmˠ
daoirse	ˈd̪ˠiːɾˠʃə
grá	ɡɾˠɑː
mhéir	vʲeːɾʲ
timpistí	ˈtʲɪmʲpʲəʃtʲiː
faigheann	ˈfˠajən̪ˠ
fiáin	ˈfʲiɑːnʲ
mac tíre	mˠac ˈtʲiːɾʲə
cluichí	ˈklˠɪhiː
saoirse	ˈsˠiːɾˠʃə
srotha	ˈsˠɾˠɔhə
áirigh	ˈɑːɾʲə
sásta	ˈsˠɑːsˠt̪ˠə
iolar	ˈiəlˠəɾˠ
meaingeal	ˈmʲaɲəlˠ
sodar	ˈsˠɔd̪ˠəɾˠ
Dé Céadaoin	dʲeː ˈceːd̪ˠiːnʲ
oileán	ˈɛlʲeɑːnˠ
gor	ɡɔɾˠ
ro-	ɾˠɔ-
tagtar	ˈt̪ˠaɡt̪ˠəɾˠ
bhfuilimid	ˈwɪlʲəmʲɪdʲ
cúil	ˈkúlʲ
dúil	ˈd̪ˠúlʲ
éadóchasach	ˈeːd̪ˠoːxəsˠəx
cíd	ciːdʲ
ionsaí	ˈiən̪ˠsˠiː
fíon geal	fʲiːnʲ ˈɟalˠ
bíd	bʲiːdʲ
darna	ˈd̪ˠaɾˠn̪ˠə
móire	ˈmˠóɾʲə
stráic	sˠt̪ˠɾˠɑːc
bíonn cluasa ar an gcoill	bʲiːnʲ klˠuəsˠə əɾˠ ənˠ ˈɡɛlʲ
cillín	ˈcɪlʲiːnʲ
caobach	ˈkiːbˠəx
uireaspach	ˈɪɾʲəsˠpˠəx
meacain	ˈmʲakənʲ
do-	d̪ˠɔ-
sceideal	ˈʃcɛdʲəlˠ
tor	t̪ˠɔɾˠ
Iúil	úlʲ
Seapáin	ˈʃapˠɑːnʲ
chodail	ˈxɔd̪ˠəlʲ
toirt	t̪ˠɔɾˠtʲ
mocha	ˈmˠɔxə
urchóideach	ˈʊɾˠxódʲəx
locha	ˈlˠɔxə
maorga	ˈmˠiːɾˠəɡə
guirme	ˈɡɪɾʲmʲə
tréig	tʲɾʲeːɟ
déanaim	ˈdʲeːn̪ˠəmʲ
dúisím	ˈd̪ˠúʃiːmʲ
bréig	bʲɾʲeːɟ
cuinneog	ˈkɪnʲoːɡ
crom	kɾˠɔmˠ
fuinneog	ˈfˠɪnʲoːɡ
coiteann	ˈkɪtʲən̪ˠ
amharclann	ˈəuəɾˠklˠən̪ˠ
pilibín	ˈpʲɪlʲəbʲiːnʲ
macra	ˈmˠakɾˠə
d'fhógair	d̪ˠ'ˈoːɡəɾʲ
iníon	ˈɪnʲiːnʲ
beiriú	ˈbʲɛɾʲuː
broc-chú	ˈbˠɾˠɔk-xuː
branra	ˈbˠɾˠan̪ˠɾˠə
n-athar	n̪ˠ-ˈahəɾˠ
droch-	d̪ˠɾˠɔx-
taghd	t̪ˠəd̪ˠ
taithí	ˈt̪ˠahiː
Daingean	ˈd̪ˠɪŋən̪ˠ
Eoraip	ˈoːɾˠəpʲ
nach cuma	n̪ˠax ˈkʊmˠə
dráma	ˈd̪ˠɾˠɑːmˠə
leathré	ˈlʲahɾʲeː
le déanaí	lʲə ˈdʲeːn̪ˠiː
aga	ˈaɡə
thairstise	ˈhaɾˠʃtʲəʃə
gránna	ˈɡɾˠɑːn̪ˠə
thiarna	ˈhiəɾˠn̪ˠə
blaosc	bˠlˠiːsˠk
iomas	ˈʊmˠəsˠ
oscailte	ˈɔsˠkəl̪ʲtʲə
naoscach	ˈn̪ˠiːsˠkəx
balsamach	ˈbˠal̪ˠsˠəmˠəx
á	ɑː
bunú	ˈbˠʊn̪ˠuː
barrach	ˈbˠaɾˠəx
gealt	ɟal̪ˠt̪ˠ
anmain	ˈan̪ˠmˠənʲ
Nollag	ˈn̪ˠɔlˠəɡ
comhréireach	ˈkɪɾʲeːɾʲəx
réasún	ˈɾˠeːsˠuːnˠ
bhláth	wlˠɑː
gean	ɟan̪ˠ
cha	xa
giorraím	ˈɟiəɾˠəmʲ
brúim	ˈbˠɾˠúmʲ
súil	ˈsˠúlʲ
