deice	ˈdʲɛcɪ
acústaic	ˈakuːsˠt̪ˠəc
feice	ˈfʲɛcɪ
n-éirí	nʲ-ˈeːɾʲiː
cáca	ˈkɑːkə
uimhir	ˈɪəɾʲ
leice	ˈlʲɛcɪ
tuíodóireacht	ˈt̪ˠuiːd̪ˠóɾʲəxt̪ˠ
sciúlán	ˈʃcuːlˠɑːnˠ
d'ainneoin	d̪ˠ'ˈan̪ˠoːnʲ
caolas	ˈkiːlˠəsˠ
síleáil	ˈʃiːlʲeɑːlʲ
aimsire	ˈamʲʃəɾʲə
cheintiméadar	ˈçɛn̠ʲtʲəmʲeːd̪ˠəɾˠ
furasta	ˈfˠʊɾˠəsˠt̪ˠə
Séamas	ˈʃeːmˠəsˠ
úr	uːɾˠ
nochtach	ˈn̪ˠɔxt̪ˠəx
bliosán	ˈbʲlʲiəsˠɑːnˠ
cuiscreach	ˈkɪʃcɾʲəx
ndiaidh	ˈnʲiə
dtrian	ˈdʲɾʲiən̪ˠ
crích	cɾʲiː
nití	ˈnʲɪtʲiː
Í	iː
dheinim	ˈjɛnʲɪmʲ
dá bhrí sin	d̪ˠɑː vʲɾʲiː ˈʃɪnʲ
brúitín	ˈbˠɾˠútʲiːnʲ
fear sneachta	fʲaɾʲ ˈʃnʲaxt̪ˠə
Dún Éideann	d̪ˠuːnʲ ˈeːdʲən̪ˠ
mbróin	ˈmˠɾˠónʲ
luid	lˠɪdʲ
muid	mˠɪdʲ
seomraí	ˈʃoːmˠɾˠiː
cathain	ˈkahənʲ
Aoibhe	ˈiːvʲə
téite	ˈtʲeːtʲə
cros	kɾˠɔsˠ
-ítí	-ˈiːtʲiː
fáinne	ˈfˠɑːn̪ˠə
coróinvíreas	ˈkɔɾˠónʲviːɾʲəsˠ
ngaoith	ŋiː
facadar	ˈfˠakəd̪ˠəɾˠ
cuid	kɪdʲ
clamhsán	ˈklˠəusˠɑːnˠ
Gearóid	ˈɟaɾˠódʲ
fréamhshamhail	ˈfʲɾʲeːwhəuəlʲ
Leitir Ceanainn	ˌlʲɛtʲəɾʲ ˈcan̪ˠən̪ˠ
buíocán	ˈbˠuiːkɑːnˠ
dúinne	ˈd̪ˠún̪ˠə
cúinne	ˈkún̪ˠə
fúinne	ˈfˠún̪ˠə
rithim	ˈɾˠɪhɪmʲ
laethanta na riabhaí	ˌlʲeːhən̪ˠt̪ˠə n̪ˠə ˈɾʲiəuiː
saolta	ˈsˠiːl̠ˠt̪ˠə
saile	ˈsˠalʲə
túisce	ˈt̪ˠúʃcɪ
tádar	ˈt̪ˠɑːd̪ˠəɾˠ
cantalach	ˈkan̪ˠt̪ˠəlˠəx
fheis	ɛʃ
ceirnín	ˈcɛɾʲnʲiːnʲ
phota	ˈfˠɔt̪ˠə
bhuíoch	ˈwuiː
Fionlainn	ˈfʲiən̪ˠlˠən̪ˠ
sonraíoch	ˈsˠɔn̪ˠɾˠiːəx
Ó	oː
rudaí	ˈɾˠʊd̪ˠiː
gorún	ˈɡɔɾˠuːnˠ
oráiste	ˈɔɾˠɑːʃtʲə
cara	ˈkaɾˠə
nimis	ˈnʲɪmʲəʃ
caoile	ˈkiːlʲə
limis	ˈlʲɪmʲəʃ
ónar	ˈoːn̪ˠəɾˠ
goirín	ˈɡɛɾʲiːnʲ
taspáin	ˈt̪ˠasˠpˠɑːnʲ
dt	d̪ˠ
coinne	ˈkɪnʲə
seanmóir	ˈʃan̪ˠmˠóɾʲ
buailte	ˈbˠuəl̪ʲtʲə
saoile	ˈsˠiːlʲə
gcine	ˈɟɪnʲə
maoile	ˈmˠiːlʲə
mara	ˈmˠaɾˠə
t-ard	t̪ˠ-aɾˠd̪ˠ
snagcheol	ˈsˠn̪ˠaɟçoːlˠ
trínár	ˈtʲɾʲiːn̪ˠɑːɾˠ
biseach	ˈbʲɪʃəx
fara	ˈfˠaɾˠə
lúibín	ˈlˠúbʲiːnʲ
péinteáilte	ˈpʲeːn̠ʲtʲeɑːl̪ʲtʲə
