cuntais	ˈkʊn̪ˠt̪ˠəʃ
amach is amach	ˌamˠəh əsˠ ˈamˠəx
deiseal	ˈdʲɛʃəlˠ
Siobhán	ˈʃjʊɑːnˠ
ithimid	ˈɪhəmʲɪdʲ
goidim	ˈɡɛdʲəmʲ
luím	ˈlˠuiːmʲ
grásta	ˈɡɾˠɑːsˠt̪ˠə
crosta	ˈkɾˠɔsˠt̪ˠə
miotal	ˈmʲiət̪ˠəlˠ
ndearnadar	ˈnʲaɾˠn̪ˠəd̪ˠəɾˠ
féachaint	ˈfʲeːxən̪ʲtʲ
shnua	hn̪ˠuə
nuaíocht	ˈn̪ˠuəiːçtʲ
Cireabaití	ˈcɪɾʲəbˠətʲiː
miste	ˈmʲɪʃtʲə
míre	ˈmʲiːɾʲə
Seán	ˈʃeɑːnˠ
bhfeictear	ˈvʲɛctʲəɾˠ
turas	ˈt̪ˠʊɾˠəsˠ
séabraí	ˈʃeːbˠɾˠiː
tíre	ˈtʲiːɾʲə
ógfhear	ˈoːɟəɾˠ
pobalscoil	ˈpˠɔbˠəl̪ˠsˠkəlʲ
pósad	ˈpˠoːsˠəd̪ˠ
ciste	ˈcɪʃtʲə
tuama	ˈt̪ˠuəmˠə
diúic	ˈdʲúc
tríocha	ˈtʲɾʲiːxə
dulta	ˈd̪ˠʊl̪ˠt̪ˠə
mullach	ˈmˠʊlˠəx
aidiacht	ˈadʲiəxt̪ˠ
fuair	ˈfˠuəɾʲ
rógánta	ˈɾˠoːɡɑːn̪ˠt̪ˠə
dhó	ɣoː
díomhaoin	ˈdʲiːiːnʲ
tráthúil	ˈt̪ˠɾˠɑːhúlʲ
péinis	ˈpʲeːnʲəʃ
iarracht	ˈiəɾˠəxt̪ˠ
cealla	ˈcalˠə
háidí	ˈhɑːdʲiː
caomh	kiː
lochtanna	ˈlˠɔxt̪ˠən̪ˠə
urchar	ˈʊɾˠxəɾˠ
naomh	n̪ˠiː
cruitireacht	ˈkɾˠɪtʲəɾʲəxt̪ˠ
beirimid	ˈbʲɛɾʲəmʲɪdʲ
altann	ˈɛl̠ˠt̪ˠən̪ˠ
bhán	wɑːnˠ
círe	ˈciːɾʲə
deirimid	ˈdʲɛɾʲəmʲɪdʲ
treabh	tʲɾʲəu
portach	ˈpˠɔɾˠt̪ˠəx
clóscríobhaí	ˈklˠoːʃcɾʲiːwiː
óltar	ˈoːl̪ˠt̪ˠəɾˠ
hataí	ˈhat̪ˠiː
Cúil Raithin	ˌkúlˠ ˈɾˠahɪnʲ
lagsprid	ˈlˠaɟʃpʲɾʲɪdʲ
foireann	ˈfˠɛɾʲən̪ˠ
dtearn	dʲaɾˠn̪ˠ
fataí	ˈfˠat̪ˠiː
thairsti	ˈhaɾˠʃtʲə
seisear	ˈʃɛʃəɾˠ
aineolaí	ˈanʲoːlˠiː
teorann	ˈtʲoːɾˠən̪ˠ
béil	bʲeːlʲ
gasra	ˈɡasˠɾˠə
tsnátha	ˈt̪ˠsˠn̪ˠɑːhə
fhearthainn	ˈaɾˠən̪ˠ
scoile	ˈsˠkɛlʲə
imeartas focal	ˌɪmʲəɾˠt̪ˠəsˠ ˈfˠɔkəlˠ
aonmhac	ˈiːn̠̪ˠwək
Méibhín	ˈmʲeːvʲiːnʲ
sráidbhaile	ˈsˠɾˠɑːd̪ˠwəlʲə
cónaí	ˈkoːn̪ˠiː
cruitchlár	ˈkɾˠʊt̪ˠxlˠɑːɾˠ
Aodhagán	ˈiːɣəɡɑːnˠ
caiseal	ˈkaʃəlˠ
géar	ɟeːɾˠ
buabhall	ˈbˠuəwəlˠ
Aindriú	ˈanʲədʲɾʲuː
cérb	ceːɾʲbʲ
bhrád	wɾˠɑːd̪ˠ
comhrá	ˈkəuɾˠɑː
seó	ˈʃeoː
féadaim	ˈfʲeːd̪ˠəmʲ
Cadhla	ˈkailˠə
itheann	ˈɪhən̪ˠ
Samhain	ˈsˠəuənʲ
ghardaí	ˈɣaɾˠəd̪ˠiː
gleomhar	ˈɟlʲoːəɾˠ
bhfís	vʲiːʃ
stadta	ˈsˠt̪ˠad̪ˠt̪ˠə
Rián	ˈɾˠiɑːnˠ
chiall	ˈçiəlˠ
bíonn cluasa ar an gcoill	bʲiːnʲ klˠuəsˠə əɾˠ ənˠ ˈɡɛlʲ
Caiseal	ˈkaʃəlˠ
síle	ˈʃiːlʲə
tuig	t̪ˠɪɟ
beireann	ˈbʲɛɾʲən̪ˠ
muirnín	ˈmˠɪɾʲnʲiːnʲ
-áil	-ɑːlʲ
míle	ˈmʲiːlʲə
carachtair	ˈkaɾˠəxt̪ˠəɾʲ
arcán	ˈaɾˠkɑːnˠ
-fidís	-ˈfʲɪdʲiːʃ
carr patróil	kaɾˠ ˈpˠat̪ˠɾˠólʲ
tsnua	t̪ˠsˠn̪ˠuə
gceantar	ˈɟan̪ˠt̪ˠəɾˠ
féar	fʲeːɾˠ
cathaoireacha	ˈkahiːɾʲəxə
ainmneacha	ˈan̪ʲmʲnʲəxə
uafás	ˈuəfˠɑːsˠ
béar	bʲeːɾˠ
sona	ˈsˠɔn̪ˠə
