bhlas	vˠlˠasˠ
oideachas	ˈɛdʲəxəsˠ
subh	sˠəu
ghlas	lˠasˠ
mainicín	ˈmˠanʲɪciːnʲ
harán	ˈhaɾˠɑːnˠ
marg	mˠaɾˠɡ
bhasa	ˈwasˠə
garg	ɡaɾˠɡ
cláiríneach	ˈklˠɑːɾʲiːnʲəx
ar siúl	əɾˠˈʃuːlˠ
dualgas	ˈd̪ˠuəlˠəɡəsˠ
stair	sˠt̪ˠaɾʲ
oilim	ˈɛlʲəmʲ
fréamhshamhail	ˈfʲɾʲeːwhəuəlʲ
teideal	ˈtʲɛdʲəlˠ
seanmóirí	ˈʃan̪ˠmˠóɾʲiː
chlóis	ˈxlˠóʃ
lucha	ˈlˠʊxə
uisce beatha	ˌɪʃcɪ ˈbʲahə
ospidéal	ˈɪʃpʲədʲeːlˠ
hathruithe	ˈhahɾˠəhə
molfar	ˈmˠɔl̪ˠfˠəɾˠ
Tír na nÓg	tʲiːɾˠ n̪ˠə ˈn̪ˠoːɡ
taoschnó	ˈt̪ˠiːsˠxɾˠoː
ruda	ˈɾˠʊd̪ˠə
sheol	çoːlˠ
cabhail	ˈkəuəlʲ
Victeoiria	vˈɪctʲoːɾʲiə
anrud	ˈan̪ˠɾˠəd̪ˠ
laidhre	ˈlˠɑːɾʲə
iomrá	ˈʊmˠɾˠɑː
chonaic	ˈxɔn̪ˠɪc
mhún	wuːnˠ
teagasc	ˈtʲaɡəsˠk
le chéile	lʲə ˈçeːlʲə
deartháireacha	ˈdʲaɾˠɑːɾʲəxə
deasa	ˈdʲasˠə
nguí	ˈŋuiː
measa	ˈmʲasˠə
dearmadach	ˈdʲaɾˠmˠəd̪ˠəx
i ngéibheann	əˈŋeːvʲaːn̪ˠ
brabúsach	ˈbˠɾˠabˠuːsˠəx
prioc	ˈpʲɾʲjʊk
malaicít	ˈmˠalˠəciːtʲ
mar gheall ar go	mˠəɾˠ ˈjaːlˠ əɾˠ ɡə
fuair	ˈfˠuəɾʲ
cuirid	ˈkɪɾʲədʲ
braichlis	ˈbˠɾˠahlʲəʃ
gealach	ˈɟalˠəx
huile	ˈhɪlʲə
nóiméad	ˈn̪ˠómʲeːd̪ˠ
nuair	ˈn̪ˠuəɾʲ
tuile	ˈt̪ˠɪlʲə
dhún	ɣuːnˠ
mairteoil	ˈmˠɛɾˠtʲoːlʲ
árasáin	ˈɑːɾˠəsˠɑːnʲ
spealadóir	ˈʃpʲalˠəd̪ˠóɾʲ
mallacht	ˈmˠalˠəxt̪ˠ
shinsir	ˈhɪn̠ʲʃɪɾʲ
muidne	ˈmˠɪdʲnʲə
paindéim	ˈpˠanʲədʲeːmʲ
bhuí	ˈwuiː
prátaí	ˈpˠɾˠɑːt̪ˠiː
buíochas	ˈbˠuiːxəsˠ
iníona	ˈɪnʲiːn̪ˠə
dianghlasáil	ˈdʲiəŋhlˠəsˠɑːlʲ
donnrua	ˈd̪ˠʊn̪ˠɾˠuə
go háirid	ɡəˈhɑːɾʲədʲ
buinneach	ˈbˠɪnʲəx
mbaint	mˠan̪ʲtʲ
déanaí	ˈdʲeːn̪ˠiː
sealg	ʃal̪ˠɡ
oileann	ˈɛlʲən̪ˠ
dúrais	ˈd̪ˠuːɾˠəʃ
tairbhe	ˈt̪ˠaɾʲvʲə
thair	haɾʲ
barrach	ˈbˠaɾˠəx
lúibe	ˈlˠúbʲə
Sheoirse	ˈhoːɾˠʃə
ghair	ɣaɾʲ
mhair	waɾʲ
scuabtha	ˈsˠkuəpˠə
cealg	cal̪ˠɡ
teoiric chinnteoireachta	ˌtʲoːɾʲɪc ˈçɪn̠ʲtʲoːɾʲəxt̪ˠə
imeall	ˈɪmʲəlˠ
broc	bˠɾˠɔk
ochtar	ˈɔxt̪ˠəɾˠ
croisín	ˈkɾˠɛʃiːnʲ
ngair	ŋaɾʲ
fothragadh	ˈfˠɔhɾˠəɡə
Araib	ˈaɾˠəbʲ
cérb	ceːɾʲbʲ
máthair	ˈmˠɑːhəɾʲ
stuic	sˠt̪ˠɪc
póirse	ˈpˠóɾˠʃə
tóirse	ˈt̪ˠóɾˠʃə
fillim	ˈfʲɪlʲəmʲ
síolmhar	ˈʃiːl̠ˠwəɾˠ
báthair	ˈbˠɑːhəɾʲ
tric	tʲɾʲɪc
socra	ˈsˠɔkɾˠə
slige	ˈʃlʲɪɟɪ
práis	pˠɾˠɑːʃ
áfach	ˈɑːfˠəx
gclóis	ˈɡlˠóʃ
tnáithim	ˈt̪ˠɾˠɑːhəmʲ
threabh	hɾʲəu
fuisce	ˈfˠɪʃcɪ
sealbha	ˈʃalˠəvˠə
bagairt	ˈbˠaɡəɾˠtʲ
bric	bʲɾʲɪc
copar	ˈkɔpˠəɾˠ
mocha	ˈmˠɔxə
cathaoireacha	ˈkahiːɾʲəxə
spéis	ʃpʲeːʃ
feiceann	ˈfʲɛcən̪ˠ
fháinne	ˈɑːn̪ˠə
barr	bˠaːɾˠ
carr	kaːɾˠ
ar dtúis	əɾˠˈd̪ˠúʃ
oscailt	ˈɔsˠkəl̪ʲtʲ
leiceann	ˈlʲɛcən̪ˠ
gardaí	ˈɡaɾˠəd̪ˠiː
mblas	mˠlˠasˠ
dúnta	ˈd̪ˠuːn̪ˠt̪ˠə
scaoilte	ˈsˠkiːl̠ʲtʲə
