word,tags,ipa,results,match
'spáin,,spˠɑːnʲ,ˈ'ʃpʲɑːnʲ,71
-aimid,,əmʲɪdʲ,aimʲədʲ,67
-as,,əsˠ,asˠ,67
-aíonn,,iːən̪ˠ,aiːn̪ˠ,83
-fas,,həsˠ,fˠasˠ,50
-finn,,hən̠ʲ,ˈfʲən̠ʲ,80
-idís,,ədʲiːʃ,ɪdʲiːʃ,83
-igí,,əɟiː,ˈɪɟiː,75
-igh,Ulster; Connacht,j,ˈiː,0
-imis,,əmʲəʃ,ˈɪmʲɪʃ,60
-im,,əmʲ,ɪmʲ,67
-imid,,əmʲɪdʲ,ˈɪmʲədʲ,67
-ithe,,"i(ː)ʃtʲə, iː",ɪhə,33
-áil,Munster; Connacht,aːlʲ,ˈɑːlʲ,75
Afganastáin,,"-ˈɡanˠə-, afˠˈɡan̪ˠəsˠt̪ˠɑːnʲ",ˈafˠɡanˠaʃtʲɑːnʲ,62
Alban,,"nə ˈhaləbˠənˠ, ˈaləbˠənˠ",ˈalˠbˠanˠ,78
Aodh,,"eː, iː",ˈiːɣ,57
Aoine an Chéasta,Ulster; Connacht,ˌiːnʲə ˈçeːsˠt̪ˠə,ˈiːnʲɛ anˠ ˈçeːasˠt̪ˠa,65
Ard-Fheis,,ˈɑːɾˠd̪ˠ ˈɛɕ,ˈaɾˠdfʲhɛʃ,40
Baile Meánach,Munster; Connacht,ˌbˠalʲə ˈmʲɑːn̪ˠəx,ˈbʲailʲɛ ˈmʲɛɑːnˠəx,78
Baile na Mainistreach,Munster; Connacht,ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲəx,ˈbʲailʲɛ ˈnˠa ˈmʲainʲɪʃtʲɾʲəx,70
Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ",ˈbʲailʲɛ ˈbʲɾʲɪɟiːnʲ,75
Bhaile Átha Cliath,Munster; Connacht,ˌvʲlʲɑː ˈclʲiə,ˈvʲailʲɛ ˈɑːça ˈc'lʲiəç,64
Béal Feirste,,"ˌbʲeːlˠ ˈfʲɛɾˠʃtʲə, ˌbʲeːl̪ˠ ˈfʲɛɾˠʃtʲə",ˈbʲeːalˠ ˈfʲɛɾʲʃtʲɛ,79
Chiribeas,,ˈxɪɾʲəˌbas,ˈçɪɾʲɪbʲɑsˠ,60
Cholm Cille,Ulster; Connacht,"ˌxɔlˠəmˈcɪl̠ʲə, ˌxɔl̪ˠəmˈcɪl̠ʲə",ˈxʊlˠmˠ ˈc'ɪl̠ʲɛ,65
Cháit,Munster; Connacht,xɑːtʲ,ˈçɑːtʲ,80
Ciribeas,,ˈkɪɾʲəˌbas,ˈc'ɪɾʲɪbʲɑsˠ,50
Cireabaití,,ˈkɪɾʲəˌbatiː,ˈc'ɪɾʲɑbʲaitʲiː,67
Cloch na Blarnan,Munster; Connacht,ˌklˠɔx n̪ˠə ˈbˠlˠɑːɾˠn̪ˠənˠ,ˈclˠʊx ˈnˠa ˈbˠlˠaɾˠnˠanˠ,72
Clocha Liatha,Ulster; Connacht,"n̪ˠə ˌklˠɔxə ˈl̠ʲiəhə, n̪ˠə ˌkl̪ˠɔxə ˈl̠ʲiəhə",ˈclˠʊxa ˈlʲiəça,60
Colm Cille,Ulster; Connacht,"ˌkɔlˠəmˈcɪl̠ʲə, ˌkɔl̪ˠəmˈcɪl̠ʲə",ˈcʊlˠmˠ ˈc'ɪl̠ʲɛ,58
Cúil Raithin,,ˌkuːlʲ ˈɾˠahənʲ,ˈcuːlʲ ˈɾʲaihɪnʲ,73
Daidí na Nollag,,ˌd̪ˠadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ,ˈdʲɪdʲiː ˈnˠa ˈnˠʊl̪ˠaɡ,70
Dh,,"j, ɟ, ɣ",ɣ,100
Dhaidí na Nollag,,ˌɣadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ,ˈjɪdʲiː ˈnˠa ˈnˠʊl̪ˠaɡ,68
Dia dhuit,,ˌdʲiə ˈɣɪtʲ,ˈdʲiə ˈɣɪtʲ,91
Dia dhaoibh,,ˌdʲiə ˈɣiːvʲ,ˈdʲiə ˈjiːvʲ,83
Dia's Muire duit,,ˌdʲiəs ˈmˠɪɾʲə ˈd̪ˠɪtʲ,ˈdʲiə'sˠ ˈmˠɪɾʲɛ ˈd̪ˠɪtʲ,86
Droichead Nua,Connacht,"ˌd̪ˠɾˠeːd̪ˠ ˈn̪ˠuː, ˌd̪ˠɾˠəid̪ˠ ˈn̪ˠuː",ˈd̪ˠɾˠɛhəd̪ˠ ˈnˠua,78
Déardaoin,Connacht,ˌdʲeːɾˠˈd̪ˠiːnʲ,ˈdʲeːaɾʲdʲiːnʲ,71
Dún Dealgan,Ulster; Munster; Connacht,ˌd̪ˠuːn̪ˠ ˈdʲal̪ˠəɡən̪ˠ,ˈd̪ˠuːnˠ ˈdʲɑlˠɡanˠ,74
Dún Dealgan,Ulster; Connacht,"ˌd̪ˠuːnˠ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲal̪ˠəɡən̪ˠ",ˈd̪ˠuːnˠ ˈdʲɑlˠɡanˠ,84
Eochaidh,Connacht,ˈɔxiː,ˈoːhiː,40
Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ,ˈfʲɪnʲɛ ˈɟeːlʲ,71
Gh,,"j, ɟ, ɣ",ɣ,100
Ghaelach,Connacht,ˈɣeːlˠəx,ˈjeːlʲəx,75
Ghaelach,Munster; Connacht,ˈɣeːl̪ˠəx,ˈjeːlˠəx,75
Iarmhí,Ulster; Connacht,əˌn̠ʲiəɾˠˈvʲiː,ˈiəɾʲvʲiː,78
Idirlíon,,"-ˌl̠ʲiːnˠ, ˈɪdʲəɾʲˌl̠ʲiːn̪ˠ",ˈɪdʲɪɾʲlʲiːʊnˠ,79
Indiacha,Connacht,ˈinʲiəxə,ˈɪnʲiəha,62
Inis Meáin,,ˌɪnʲəʃ ˈmʲɑːnʲ,ˈɪnʲɪʃ ˈmʲɛɑːnʲ,86
Iúil,,uːlʲ,ˈɪuːlʲ,100
Iúr,Ulster; Connacht,ən̠ʲˈtʲuːɾˠ,ˈɔɾˠ,50
Leitir Ceanainn,Ulster; Connacht,"ˌl̠ʲɛtʲəɾʲ ˈcanˠən̠ʲ, ˌl̠ʲɛtʲəɾʲ ˈcan̪ˠən̠ʲ",ˈlʲɛtʲɪɾʲ ˈc'ɑnʲæən̠ʲ,71
Loch Garman,,"ˌl̪ˠɔx ˈɡaɾˠəmˠənˠ, ˌl̪ˠɔx ˈɡaɾˠəmˠən̪ˠ",ˈlˠʊx ˈɡaɾˠmˠanˠ,75
Luan Cásca,Munster; Connacht,ˌl̪ˠuən̪ˠ ˈkɑːsˠkə,ˈlˠuanˠ ˈcɑːsˠca,69
Luan Cásca,Connacht,ˌl̪ˠuənˠ ˈkɑːsˠkə,ˈlˠuanˠ ˈcɑːsˠca,69
Lá Fhéile Pádraig,,ˌl̪ˠɑː ˌeːlʲə ˈpˠɑːɾˠɪc,ˈlˠɑː ˈeːlʲɛ ˈpˠɑːdʲɾʲaiɟ,70
Lá Fhéile,,ˌl̪ˠɑː ˈeːlʲə,ˈlˠɑː ˈeːlʲɛ,83
Meán Fómhair,,ˌmʲɑːn̪ˠ ˈfoːwəɾʲ,ˈmʲɛɑːnˠ ˈfˠoːvʲaiɾʲ,71
Mháire,Connacht,ˈwɑːɾʲə,ˈvʲɑːɾʲɛ,71
Muileann gCearr,,"ənˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ, ən̪ˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ",ˈmˠɪlʲən̪ˠ ˈɡɑːɾˠ,88
Nc,,"ŋk, ɲc",ˈnc,33
Nás,Munster; Connacht,ə(n̪ˠ)ˈn̪ˠɑːsˠ,ˈnˠɑːsˠ,86
Nás na Ríogh,Munster; Connacht,ˌn̪ˠɑːsˠ n̪ˠə ˈɾˠiː,ˈnˠɑːsˠ ˈnˠa ˈɾʲiː,78
Ocsatánais,,"ɔksəˈtˠaːnˠɪʃ, ˈɔksətˠaːnˠɪʃ",ˈʊcsˠat̪ˠɑːnʲaiʃ,45
Odhrán,Connacht,ˈoːɾˠɑːnˠ,ˈʊɣɾˠɑːnˠ,78
Oisín,Connacht,ˈɔʃiːnʲ,ˈɪʃiːnʲ,86
Ollainnis,,ˈɔl̪ˠən̠ʲəʃ,ˈʊl̠ʲain̠ʲɪʃ,45
Ostair,,ˈɔsˠt̪ˠəɾʲ,ˈɛʃtʲaiɾʲ,33
Sasana Nua,,ˌsˠasˠənˠə ˈn̪ˠuə,ˈsˠasˠanˠa ˈnˠua,75
Sh,,h,ç,0
Sord Cholm Cille,Connacht,"ˌsˠauɾˠd̪ˠ xɔlˠəm ˈcɪl̠ʲə, ˌsˠauɾˠd̪ˠ xɔl̪ˠəm ˈcɪl̠ʲə",ˈsˠɔɾˠd̪ˠ ˈxʊlˠmˠ ˈc'ɪl̠ʲɛ,75
Th,,h,ç,0
Tiobraid Árann,,ˌtʲʊbˠɾˠədʲ ˈɑːɾˠən̪ˠ,ˈtʲɪbʲɾʲaidʲ ˈɑːɾˠən̪ˠ,76
Tír na nÓg,Munster; Connacht,ˌtʲiːɾˠ n̪ˠə ˈn̪ˠoːɡ,ˈtʲiːɾʲ ˈnˠa ˈnˠoːɡ,79
Uaimh,,əˈn̪ˠuəvʲ,ˈʊaiː,20
Ulaidh,Connacht,ˈʊlˠiː,ˈɪlʲiː,67
Uí,,iː,ˈuiː,100
Uíbh,,iːvʲ,ˈuiːvʲ,100
Uíbh Fhailí,Ulster; Connacht,ˌiːvʲ ˈalʲiː,ˈuiːvʲ ˈɪlʲiː,83
Vallúinis,,wal̪ˠuːnʲɪʃ,ˈval̪ˠuːɪnʲɪʃ,91
Volaifis,,wɔl̪ˠəfʲɪʃ,ˈvɛlʲaifʲɪʃ,50
a,,ə,a,0
a chéile,,əˈçeːlʲə,a ˈçeːlʲɛ,75
a chairde,Munster; Connacht,ə ˈxɑːɾˠdʲə,a ˈçaiɾʲdʲɛ,45
a chlog,Connacht,"oːˈxlˠoɡ, əˈxlˠoɡ",a ˈxlˠʊɡ,75
a lán,Munster; Connacht,əˈl̪ˠɑːnˠ,a ˈlˠɑːnˠ,78
a',,ə,a',0
abhaill,,ˈəuwəl̠ʲ,ˈavʲail̠ʲ,38
abhras,,ˈəuɾˠəsˠ,ˈɑuɾˠasˠ,75
abhna,,ˈoːn̪ˠə,ˈɑunˠa,50
abú,,əˈbˠuː,ˈabˠuː,91
acústaic,,əˈkuːsˠt̪ˠɪc,ˈacuːstʲaic',52
ad,,əd̪ˠ,ad̪ˠ,75
adamh,Munster; Connacht,ˈɑd̪ˠəvˠ,ˈad̪ˠɑu,57
adhnaic,Connacht,ˈəin̪ˠəc,ˈajnʲaic',38
adhairc,,"ˈəiəɾʲc, ˈəiɾʲc",ˈaiɪɾʲc',62
adhlacóir,Connacht,ˈəil̪ˠəkoːɾʲ,ˈaɣlˠac'oːɾʲ,58
aduaidh,Ulster; Connacht,"əˈd̪ˠuə, əˈd̪ˠuəj",ˈad̪ˠuiː,62
ag,,"ə, əɟ, əɡ, ɛɟ, ɪɟ",aɡ,50
agam,Mayo; Connacht,ˈuɡəmˠ,ˈaɡamˠ,67
agaibh,Aran; Connacht,ˈɑɡiː,ˈaɡaɪvʲ,40
agat,Galway; Connacht,ˈɑː(ɡə)t̪ˠ,ˈaɡat̪ˠ,57
aicise,,ˈɛcɪʃə,ˈaic'ɪʃɛ,50
aici,Connacht,"ˈɛciː, ˈɛcə",ˈaic'ɪ,36
aidhmeannas,,ˈəimʲən̪ˠəsˠ,ˈaimʲæn̪ˠasˠ,75
aiges,,ˈɛɟɪsˠ,ˈaiɟɛʃ,33
aige,Connacht,ˈeɟ(ə),ˈaiɟɛ,40
air,,aɾʲ,ˈɑːɾʲ,67
airleacan,,ˈɑːɾˠl̠ʲəkənˠ,ˈaiɾʲlʲæcanˠ,42
airsean,,ˈɛɾʲʃənˠ,ˈaiɾʲʃɑnˠ,62
aiseag,Ulster; Connacht,ˈæʃək,ˈaiʃɑɡ,40
aithinne,,ˈæhən̠ʲə,ˈaihɪn̠ʲɛ,62
amach,,əˈmˠax,ˈamˠəx,73
amach is amach,,əˈmˠax əsˠ əˈmˠax,ˈamˠəx ɪʃ ˈamˠəx,62
amhráin,Connacht,ˈoːɾˠɑːnʲ,əuɾʲɑːnʲ,62
amharc,,ˈaːfˠɾˠək,ˈəuɾˠək,57
amháin,Connacht,əˈwɑːnʲ,ˈavʲɑːnʲ,57
amú,,əˈmˠuː,ˈamˠuː,91
an,,"ə.nˠ-, ə.n̠ʲ-, ə.n̪ˠ-, ə, ənˠ",anˠ,67
an té,,ə(n̠ʲ)ˈtʲeː,anˠ ˈtʲeː,67
an rud a fhaightear go bog caitear go bog é,,ən̪ˠ ɾˠʊd̪ˠ ə aɪtʲəɾˠ ɡə bˠɔɡ kɑtʲəɾˠ ɡə bˠɔɡ eː,anˠ ˈɾˠʊd̪ˠ a ˈaijtʲæɾˠ ɡʊ ˈbˠʊɡ ˈc'aitʲæɾˠ ɡʊ ˈbˠʊɡ ˈeː,65
ana-,,ˈɑn̪ˠə,ˈanˠa,60
anagheairid,,ɑnɑˈjaɾʲədʲ,ˈanˠajaiɾʲɪdʲ,64
aneas,Connacht,əˈn̠ʲasˠ,ˈanʲɑsˠ,71
anocht,Munster; Connacht,əˈn̪ˠɔxt̪ˠ,ˈanˠʊxt̪ˠ,78
anocht,Connacht,əˈnˠɔxt̪ˠ,ˈanˠʊxt̪ˠ,82
anoir,Connacht,əˈn̪ˠɛɾʲ,ˈanʲɛɾʲ,71
ansiúd,,ən̪ˠˈʃuːd̪ˠ,ˈanʲʃʊd̪ˠ,56
anuas,,əˈn̪ˠuəsˠ,ˈanˠuasˠ,75
aníos,,əˈn̠ʲiːsˠ,ˈanʲiːʊsˠ,82
aon déag,,eːn̠ʲ dʲeːɡ,ˈiːnˠ ˈdʲeːaɡ,73
aonad,,ˈeːnˠəd̪ˠ,ˈiːnˠad̪ˠ,78
aonmhac,Ulster; Connacht,"ˈeːnˠˌwak, ˈeːn̪ˠˌwak",ˈiːnˠwac,75
ar dtús,,əɾˠˈd̪ˠuːsˠ,ɛɾʲ ˈd̪ˠuːsˠ,82
ar nós,Connacht,əɾˠˈn̪ˠuːsˠ,ɛɾʲ ˈnˠoːsˠ,64
ar bith,,"əˈbʲɪ(h), ɛɾʲˈbʲɪ(h)",ɛɾʲ ˈbʲɪç,78
araon,Munster; Connacht,"əˈɾˠeːnˠ, əˈɾˠeːn̪ˠ",ˈaɾˠiːnˠ,75
arc,,aɾˠk,ˈɑːrc,0
ardrí,,ˌɑːɾˠd̪ˠˈɾˠiː,ˈaɾʲdʲɾʲiː,50
ardú,Connacht,ˈɑːɾˠd̪ˠuː,ˈaɾˠd̪ˠuː,78
ardchlár,Connacht,ˈɑːɾˠd̪ˠˌxlˠɑːɾˠ,ˈaɾˠd̪ˠxlˠɑːɾˠ,86
arán,Connacht,"(ə)ˈɾˠɑːnˠ, (ə)ˈɾˠɑːn̪ˠ",ˈaɾˠɑːnˠ,88
aréir,Munster; Connacht,əˈɾˠeːɾʲ,ˈaɾʲeːɾʲ,80
arís,,əˈɾʲiːʃ,ˈaɾʲiːʃ,92
arú amárach,,əɾˠuːˈmˠɑːɾˠəx,ˈaɾˠuː ˈamˠɑːɾˠəx,86
as cosa i dtaca,,əsˠ ˌkɔsˠə ˈd̪ˠɑkə,asˠ ˈcʊsˠa ɪ ˈd̪ˠaca,56
atá,Munster; Connacht,əˈt̪ˠɑː,ˈat̪ˠɑː,92
atáim,Munster; Connacht,əˈt̪ˠɑːmʲ,ˈatʲɑːmʲ,75
atáthar,Munster; Connacht,əˈt̪ˠɑːhəɾˠ,ˈat̪ˠɑːçaɾˠ,76
aíocht,,iəxt̪ˠ,ˈɑːʊxt̪ˠ,67
baile mór,Munster; Connacht,ˌbˠalʲə ˈmˠoːɾˠ,ˈbʲailʲɛ ˈmˠoːɾˠ,80
bearna baoil,,ˌbʲɑːɾˠn̪ˠə ˈbˠiːlʲ,ˈbʲæɾˠnˠa ˈbʲiːlʲ,71
bearna bhaoil,,ˌbʲɑːɾˠn̪ˠə ˈwiːlʲ,ˈbʲæɾˠnˠa ˈvʲiːlʲ,71
bean rialta,,ˌbʲanˠ ˈɾˠiəl̪ˠt̪ˠə,ˈbʲɑnˠ ˈɾʲiəlˠt̪ˠa,78
bhFranc,,ˈvˠɾˠaŋk,ˈwɾˠanc,57
bhF,,"vʲ, w",w,100
bhainc,Ulster; Connacht,waɲc,ˈvʲainʲc',25
bhaist,Ulster; Connacht,waʃtʲ,ˈvʲaiʃtʲ,80
bhairéad,Connacht,ˈwaɾʲeːd̪ˠ,ˈvʲaiɾʲeːad̪ˠ,80
bhf,,"vʲ, w",w,100
bhfreastalaí,,ˈfʲɾʲasˠt̪ˠəlˠiː,ˈvʲɾʲɑsˠt̪ˠalʲiː,75
bhfuil,,bˠilʲ,ˈwiːlʲ,60
bhlais,Connacht,"wlˠaʃ, wl̪ˠaʃ",ˈvʲlʲaiʃ,40
bhoid,Ulster; Connacht,wɪdʲ,ˈvʲɛdʲ,50
bhur,Connacht,ə,ˈwɔɾˠ,0
bháis,Connacht,wɑːʃ,ˈvʲɑːʃ,75
bháisteach,,ˈwaːʃtʲəx,ˈvʲɑːʃtʲəx,67
caidhp bháis,Connacht,ˌkaipʲ ˈwɑːʃ,ˈc'aipʲ ˈvʲɑːʃ,75
carr patróil,Connacht,ˌkɑːɾˠ ˈpat̪ˠɾˠoːl̠ʲ,ˈcɑːɾˠ ˈpˠatʲɾʲoːlʲ,74
cart,,kɑɾˠt̪ˠ,ˈcɑːɾˠt̪ˠ,86
ceathair déag,,"dje ˈcahəɾʲ, ˈcahəɾʲ jeːɡ",ˈc'æçaiɾʲ ˈdʲeːaɡ,55
ceird,Aran; Connacht,kaiɾʲdʲ,ˈc'əiɾʲdʲ,71
ceithre,Connacht,ˈçɛɾʲə,ˈcɛhɾˠɛ,50
cha,,ha(ː),ˈxa,0
chais,,xaʃ,ˈçaiʃ,67
chaill,Connacht,"xal̠ʲ, xɑːl̠ʲ",ˈçail̠ʲ,43
cheana,,"ˈhanˠə, ˈhan̪ˠə",ˈçanˠa,67
cheird,Aran; Connacht,xaiɾʲdʲ,ˈçəiɾʲdʲ,71
chloisteáil,,ˈxlˠɔʃtʲɑːlʲ,ˈçlʲɛʃtʲɛɑːlʲ,67
chlóis,,"xlˠoːʃ, xl̪ˠoːʃ",ˈçlʲoːʃ,57
chnáimh,Ulster; Connacht,xɾˠɑːvʲ,ˈçnʲɑːiː,29
choil,,xɛlʲ,ˈçiːlʲ,50
chodlata,Munster; Connacht,ˈkɔl̪ˠət̪ˠə,ˈxʊd̪ˠlˠat̪ˠa,45
chonaic,Mayo; Connacht,ˈhanʲic,ˈxʊnˠaic,43
chroí,,xɾˠiː,ˈçɾʲoiː,60
chráis,,xɾˠɑːʃ,ˈçɾʲɑːʃ,67
