word,tags,ipa
'spáin,,spˠɑːnʲ
'sé,,ʃeː
'un,,"ənˠ, ən̪ˠ"
'ur,Connacht,ə
-ach,Munster; Connacht,əx
-aigh,Ulster; Connacht,"i, iː"
-aimid,,əmʲɪdʲ
-ann,,ən̪ˠ
-as,,əsˠ
-aí,,iː
-aíonn,,iːən̪ˠ
-each,,əx
-fas,,həsˠ
-fidh,Connacht,"iː, ə"
-fidís,,hədʲiːʃ
-fimid,,həmʲədʲ
-fimis,,həmʲəʃ
-finn,,hən̠ʲ
-fá,,fˠaː
-fí,,"fʲiː, hiː"
-idís,,ədʲiːʃ
-igh,Connacht,iː
-igh,Ulster; Connacht,j
-igí,,əɟiː
-im,,əmʲ
-imid,,əmʲɪdʲ
-imis,,əmʲəʃ
-inn,,ən̠ʲ
-ithe,,"i(ː)ʃtʲə, iː"
-mid,,mʲədʲ
-na,,"nˠə, n̪ˠə"
-ne,,nʲə
-sa,,sˠə
-san,,"sˠənˠ, sˠən̪ˠ"
-se,,ʃə
-sean,,ʃənˠ
-tar,,t̪ˠəɾˠ
-tá,,t̪ˠaː
-tí,,tʲiː
-áil,Munster; Connacht,aːlʲ
-í,,iː
-ídís,,iːdʲiːʃ
-ígí,,iːɟiː
-ím,,iːmʲ
-ímid,,iːmʲədʲ
-ímis,,iːmʲəʃ
-ínn,,iːn̠ʲ
-íonn,,iːn̪ˠ
-íos,,iːsˠ
-ítear,,iːtʲəɾˠ
-íteá,,iːtʲaː
-ítí,,iːtʲiː
-ófar,,oˠhəɾˠ
-ófaí,,oːhiː
-ófá,,"oːfˠaː, oːhaː"
-óidh,Connacht,oː(j)
-óidís,,oːdʲiːʃ
-óimid,,oːmʲədʲ
-óimis,,oːmʲəʃ
-óinn,,oːn̠ʲ
-ós,,oːsˠ
-úint,Munster; Connacht,uːn̠ʲtʲ
Abcáisis,,"abˠˈkaːʃɪʃ, ˈabˠkaːʃɪʃ"
Abúise,,aˈbˠuːʃə
Afganastáin,,"-ˈɡanˠə-, afˠˈɡan̪ˠəsˠt̪ˠɑːnʲ"
Afraic,,ˈafˠɾˠɪc
Aibhilín,Connacht,ˈavʲəlʲiːnʲ
Aifreann,,
Aindriú,,ˈanʲɾʲuː
Airméanach,,ˈaɾʲəmʲeːnˠəx
Airméin,,ˈaɾʲəmʲeːnʲ
Airméinis,,ˈaɾʲəmʲeːnʲəʃ
Alastar,,ˈal̪ˠəsˠt̪ˠəɾˠ
Alba,,"ˈalˠəbˠə, ˈal̪ˠəbˠə"
Albain,,"ˈalˠəbˠənʲ, ˈal̪ˠəbˠənʲ"
Albain Nua,,ˈalˠəbˠə ˈn̪ˠuə
Alban,,"nə ˈhaləbˠənˠ, ˈaləbˠənˠ"
Albanach,Connacht,"ˈalˠəbˠənˠəx, ˈal̪ˠəbˠən̪ˠəx"
Antaine,,ˈan̪ˠt̪ˠənʲə
Antóin,Ulster; Munster; Connacht,ˈan̪ˠt̪ˠoːnʲ
Aodh,,"eː, iː"
Aodhagán,Connacht,"ˈiːɡɑːnˠ, ˈiːɡɑːn̪ˠ"
Aoibhe,,ˈiːvʲə
Aoife,,ˈiːfʲə
Aoine,,ˈiːnʲə
Aoine an Chéasta,Ulster; Connacht,ˌiːnʲə ˈçeːsˠt̪ˠə
Arabach,,ˈaɾˠəbˠəx
Araib,,ˈaɾˠəbʲ
Araibis,,ˈaɾˠəbʲəʃ
Ard Mhacha,,ɑːɾˠd̪ˠ ˈwaxə
Ard-Fheis,,ˈɑːɾˠd̪ˠ ˈɛɕ
Bablóinia,,bˠabˠˈlˠoːnʲiə
Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ"
Baile Meánach,Connacht,ˌbˠalʲə ˈmʲɑːnˠəx
Baile Meánach,Munster; Connacht,ˌbˠalʲə ˈmʲɑːn̪ˠəx
Baile Nua na hArda,Connacht,ˌbˠalʲə ˌn̪ˠuː n̪ˠə ˈhɑːɾˠd̪ˠə
Baile na Mainistreach,Munster; Connacht,ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲəx
Baile Átha Cliath,Munster; Connacht,ˌbʲlʲɑː ˈclʲiə
Baile Átha Luain,Munster; Connacht,ˌbʲlʲɑː ˈl̪ˠuənʲ
Bairbre,,ˈbˠaɾʲəbʲɾʲə
Bandan,,bˠɑn̪ˠd̪ˠən̪ˠ
Bascais,,ˈbˠasˠkəʃ
Baváir,Connacht,ˈbˠawɑːɾʲ
Beannchar,,ˈbʲan̪ˠəxəɾˠ
Bearna,,"ˈbʲaːɾˠn̪ˠə, ˈbʲɑːɾˠn̪ˠə"
Beáltaine,,ˈbʲaːl̪ˠt̪ˠənʲə
Bh,,"vʲ, w"
Bhaile Átha Cliath,Munster; Connacht,ˌvʲlʲɑː ˈclʲiə
Bhrasaíl,,vˠɾˠaˈsˠiːlʲ
Bhríd,,vʲɾʲiːdʲ
Bhéarla,,ˈvʲeːɾˠlˠə
Blarna,Munster; Connacht,ˈbˠlˠɑːɾˠn̪ˠə
Blarnan,Munster; Connacht,ˈbˠlˠɑːɾˠn̪ˠənˠ
Bolcáin,Connacht,ˈbɔlˠkɑːnʲ
Bolcán,Connacht,ˈbɔlˠkɑːnˠ
Brandubh,,ˈbˠɾˠan̪ˠd̪ˠuː
Brasaíl,,bˠɾˠaˈsˠiːlʲ
Brian,,bʲɾʲiən̪ˠ
Bré,,bʲɾʲeː
Bríd,,bʲɾʲiːdʲ
Bé,,bʲeː
Béal Feirste,,"ˌbʲeːlˠ ˈfʲɛɾˠʃtʲə, ˌbʲeːl̪ˠ ˈfʲɛɾˠʃtʲə"
Béarla,Ulster; Connacht,ˈbʲeːɾˠl̪ˠə
Béarlach,Munster; Connacht,ˈbʲeːɾˠl̪ˠəx
Béarlóireacht,Connacht,ˈbʲeːɾˠl̪ˠoːɾʲəxt̪ˠ
Bíobla,,ˈbʲiːbˠl̪ˠə
Cabúl,,"kaˈbˠuːlˠ, kaˈbˠuːl̪ˠ"
Cadhla,,ˈkəi̯lˠə
Caiseal,,"ˈkaʃəlˠ, ˈkaʃəl̪ˠ"
Caitliceach,Munster; Connacht,ˈkatʲlʲɪcəx
Caitlín,Connacht,ˈkatʲlʲiːnʲ
Caitríona,Ulster; Connacht,"ˈkatʲɾʲiːnˠə, ˈkatʲɾʲiːn̪ˠə"
Caoimhe,,ˈkiːvʲə
Caoimhín,Connacht,ˈkiːvʲiːnʲ
Carghais,Connacht,ˈkaɾˠiːʃ
Carghas,Connacht,ˈkaɾˠiːsˠ
Catalóin,Ulster; Connacht,ˈkatˠəl̪ˠoːnʲ
Catalóinis,,ˈkatˠəl̪ˠoːnʲəʃ
Cathal,,ˈkahəlˠ
Ceallach,Connacht,ˈcal̪ˠəx
Ceanada,,ˈcanˠəd̪ˠə
Ceatharlach,Connacht,ˈcɑːɾˠl̪ˠəx
Ceatharlach,Munster; Connacht,ˈcahəɾˠl̪ˠəx
Ceilteach,Connacht,ˈcɛl̠ʲtʲəx
Ch,,"x, ç"
Cheatharlach,Connacht,ˈçɑːɾˠl̪ˠəx
Cheatharlach,Munster; Connacht,ˈçahəɾˠl̪ˠəx
Chian,,çiənˠ
Chiribeas,,ˈxɪɾʲəˌbas
Cholm,,"ˈxɔlˠəmˠ, ˈxɔl̪ˠəmˠ"
Cholm Cille,Ulster; Connacht,"ˌxɔlˠəmˈcɪl̠ʲə, ˌxɔl̪ˠəmˈcɪl̠ʲə"
Chonnacht,Connacht,ˈxʊn̪ˠəxt̪ˠ
