word	got	expected	lev	lev_norm	dolgo	dolgo_norm
insím	ˈiːnʲʃiːmʲ	ˈiːnʲʃəmʲ	2	80.00	0.2000	80.00
réidh	ɾˠɪɟ	ɾˠeːɟ	2	60.00	0.3333	66.67
oibrím	ˈɛbʲɾʲiːmʲ	ɛbʲəˈɾʲiːmʲ	3	72.73	0.1667	83.33
tseanbhean	ˈtʲanʲəvʲən̪ˠ	ˈtʲan̪ˠəˌvʲan̪ˠ	4	73.33	0.2500	75.00
cairdeach	kɑːɾˠˈdʲax	ˈkɑːrdʲəx	5	50.00	0.1667	83.33
geimhreadh	ˈɟɛvʲɾʲə	ˈɟiːɾʲə	3	62.50	0.4000	60.00
troid	t̪ˠɾˠɪdʲ	t̪ˠɾˠɞdʲ	1	87.50	0.2500	75.00
fabhtach	fˠɑvˠˈt̪ˠɑx	ˈfˠaut̪ˠəx	6	45.45	0.5000	50.00
liathróid	lʲiəˈhɾˠoːdʲ	l̠ʲiəˈɾˠoːdʲ	2	83.33	0.1429	85.71
ar aon chuma	ɛɾʲeːn̪ˠ ˈxʊmˠɑ	ˌɛɾʲ ˈeːxəmˠə	10	33.33	0.5000	50.00
beathaisnéisí	bʲahəʃˈnʲeːʃiː	ˈbʲahɑʃnʲeːʃiː	3	78.57	0.1111	88.89
torcán	t̪ˠəɾˠˈkɑːn̪ˠ	̪tˠəɾˠˈkɑːn̪ˠ	2	84.62	0.0000	100.00
rainnt	ɾˠɑnʲtʲ	ɾˠɑinʲtʲ	1	87.50	0.2000	80.00
peileadóir	pʲəlʲəˈd̪ˠoːɾʲ	pʲɛlʲəˈd̪ˠoːɾʲ	1	92.86	0.1429	85.71
bhur	ə	uːɾˠ	4	0.00	1.0000	0.00
argóint	ɑɾˠˈɡoːnʲtʲ	ɑɾˠəˈɡoːnʲtʲ	1	91.67	0.1429	85.71
bealach	ˈbʲal̪ˠəx	bʲəˈl̪ˠɑx	4	55.56	0.4000	60.00
gealach	ˈɟal̪ˠəx	ɟəˈl̪ˠɑx	4	50.00	0.4000	60.00
náisiúin	ˈn̪ˠɑːʃuːnʲ	n̪ˠɑːˈʃuːnʲ	2	81.82	0.0000	100.00
coróin	kəˈɾˠuːnʲ	kəˈɾˠoːnʲ	1	88.89	0.2000	80.00
riug	ɾˠʊɡ	ɾʲʊɡ	1	75.00	0.0000	100.00
Críostaí	cɾʲiːˈsˠt̪ˠiː	cɾʲiːsˠˈt̪ˠiː	2	84.62	0.0000	100.00
bréagán	bʲɾʲia̯ˈɡɑːn̪ˠ	bʲɾʲeːˈɡɑːn̪ˠ	3	78.57	0.3750	62.50
éad	iːa̯d̪ˠ	iːɑ̯d̪ˠ	1	85.71	0.2500	75.00
mantaíl	mˠɑn̪ˠˈt̪ˠalʲ	mˠɑn̪ˠˈt̪ˠiːlʲ	2	85.71	0.1667	83.33
compordach	ˈkɔmˠpˠəːɾˠd̪ˠəx	kuːmˠˈpˠoːɾˠd̪ˠəx	5	70.59	0.3000	70.00
purgóid	pˠəɾˠˈɡoːdʲ	pˠɾˠəˈɡoːdʲ	2	81.82	0.3333	66.67
francach	fˠɾˠɑŋˈkɑx	ˈfˠɾˠɑuŋkəx	4	63.64	0.2500	75.00
aigne	ˈaɟnʲə	ˈaɟɪnʲə	1	85.71	0.2000	80.00
faighidh	ˈfˠɑjɪɟ	fˠəi	5	28.57	0.6000	40.00
saighdiúir	sˠəˈdʲuːɾʲ	sˠɑiˈdʲuːɾʲ	2	81.82	0.3333	66.67
Francach	fˠɾˠɑŋˈkɑx	ˈfˠɾˠɑuŋkəx	4	63.64	0.2500	75.00
Nás	ˈn̪ˠɑːsˠ	əˈn̪ˠɑːsˠ	1	88.89	0.2500	75.00
shalach	ˈhɑl̪ˠəx	həˈl̪ˠax	4	50.00	0.4000	60.00
téana	ˈtʲiːa̯n̪ˠə	ˈtʲia̯n̪ˠə	1	90.91	0.0000	100.00
d'altfadh	ˈd̪ˠɑl̪ˠt̪ˠə	ˈd̪ˠal̪ˠt̪ˠəx	2	84.62	0.3333	66.67
lomaosta	l̪ˠəˈmˠeːsˠt̪ˠə	ˌl̪ˠaumˠˈeːsˠt̪ˠə	4	76.47	0.3333	66.67
tuíodóireacht	ˈt̪ˠiːd̪ˠoːɾʲəxt̪ˠ	t̪ˠiːˈd̪ˠoːɾʲ	7	61.11	0.3750	62.50
sáigh	sˠɪɟ	sˠɑːɟ	2	60.00	0.3333	66.67
ardghlórach	ɑːɾˠd̪ˠˈɣl̪ˠoːɾˠəx	ˈɑːɾˠd̪ˠˌɣl̪ˠoːɾˠəx	2	89.47	0.1000	90.00
intinn	ˈiːnʲtʲənʲ	ˈainʲtʲɪɲ	5	50.00	0.3333	66.67
déanann	ˈdʲiːa̯n̪ˠən̪ˠ	ˈdʲia̯n̪ˠən̪ˠ	1	92.86	0.0000	100.00
meidhg	mʲɪɟ	ˈmʲəiɟ	3	50.00	0.2500	75.00
toirneach	ˈt̪ˠoːɾˠnʲəx	ˈt̪ˠoːɾˠhnʲəx	1	92.31	0.1429	85.71
eaglaise	ˈɑɡl̪ˠəʃə	ˈaɡəl̪ˠəʃə	2	80.00	0.2857	71.43
loiscim	ˈl̪ˠɔʃciːmʲ	ˈl̪ˠɞʃcɪmʲ	3	72.73	0.1667	83.33
tréigim	ˈtʲɾʲeːɟiːmʲ	ˈtʲɾʲeːɟəmʲ	2	83.33	0.1667	83.33
coiscim	ˈkɔʃciːmʲ	ˈkɞʃcɪmʲ	3	66.67	0.1667	83.33
ceangal	ˈcaŋəl̪ˠ	ˈcɑŋəl̪ˠ	1	87.50	0.2000	80.00
uaireadóir	ˈuəɾʲəd̪ˠoːɾʲ	uəɾʲəˈd̪ˠoːɾʲ	2	84.62	0.0000	100.00
ciachán	ciəˈxɑːn̪ˠ	coˈxɑ̃ːn̪ˠ	3	70.00	0.5000	50.00
soilse	ˈsˠɛlʲʃə	ˈsˠiːlʲʃə	2	77.78	0.2000	80.00
éadach	ˈiːa̯d̪ˠəx	ˈia̯d̪ˠəx	1	90.00	0.0000	100.00
díchiall	ˈdʲiːhiəl̪ˠ	ˌdʲiːˈceːlʲə	7	41.67	0.7143	28.57
cabhlach	ˈkəul̪ˠəx	ˈkɑul̪ˠəx	1	88.89	0.1667	83.33
nó go dtí	n̪ˠoː ɡəˈdʲiː	n̪ˠuː ɡə ˈdʲiː	2	85.71	0.1667	83.33
Baile Átha Luain	ˌbˠɑlʲə ɑːhə ˈl̪ˠuənʲ	ˌbʲlʲɑː ˈl̪ˠuənʲ	6	71.43	0.3333	66.67
bpósfadh	ˈbˠoːsˠə	ˈbˠoːsˠəx	1	88.89	0.2000	80.00
cucól	kəˈkoːl̪ˠ	kʊˈkoːl̪ˠ	1	88.89	0.2000	80.00
ciardhubh	ˈciəɾˠɣəvˠ	ˈciəɾˠɣʊvˠ	1	90.00	0.1429	85.71
Frainc	fˠɾˠɑɲc	fˠɾˠaiɲc	2	75.00	0.3333	66.67
d'éirigh	ˈdʲeːɾʲɪɟ	ˈdʲəiɾʲɪɟ	2	77.78	0.3333	66.67
liomóg	lʲiəˈmˠoːɡ	l̠ʲəˈmˠoːɡ	2	80.00	0.1667	83.33
goidim	ˈɡɞdʲəmʲ	ˈɡɪdʲəmʲ	1	87.50	0.2000	80.00
romham	ˈɾˠəumˠ	ɾˠõːmˠ	3	57.14	0.5000	50.00
lom	l̪ˠɔmˠ	l̪ˠoumˠ	2	71.43	0.2500	75.00
tom	t̪ˠɔmˠ	t̪ˠoumˠ	2	71.43	0.2500	75.00
culaith	ˈkʊl̪ˠə	kl̪ˠo	3	57.14	0.5000	50.00
cum	kʊmˠ	kuːmˠ	2	60.00	0.0000	100.00
an-	ɑn̪ˠ	ˈɑn̪ˠ	1	80.00	0.0000	100.00
dhorn	ɣoːɾˠn̪ˠ	ˈɣʌɾˠən̪ˠ	4	55.56	0.4000	60.00
rugadh	ˈɾˠʊɡə	ˈɾˠʊɡəɡ	1	85.71	0.2000	80.00
neamhbhreá	nʲavʲˈvʲɾʲɑː	nʲaˈvʲɾʲɑː	2	83.33	0.1667	83.33
