word	got	expected	exact	lev	lev_norm	dolgo	dolgo_norm
gáifeach	ˈɡaːfʲax	ˈɡaːfʲax	true	0	100.00	0.0000	100.00
glanadh	ˈɡlˠanˠu	ˈɡlˠanˠu	true	0	100.00	0.0000	100.00
brúdh	bˠɾˠə	bˠɾˠuː	false	2	66.67	0.3333	66.67
béala	ˈbʲeːlˠə	ˈbʲeːlˠə	true	0	100.00	0.0000	100.00
Béarlach	ˈbʲeːɾˠl̪ˠax	ˈbʲeːɾˠl̪ˠax	true	0	100.00	0.0000	100.00
salaigh	ˈsˠalˠi	ˈsˠalˠi	true	0	100.00	0.0000	100.00
adharc	ˈaiəɾˠk	eəɾˠk	false	3	57.14	0.4000	60.00
d'fhuaigh	d̪ˠuəj	d̪ˠuəj	true	0	100.00	0.0000	100.00
ainmhí	ˈanʲəvʲi	ˈɛnʲəvʲi	false	1	87.50	0.2000	80.00
millfidh	ˈmʲɪl̠ʲhə	ˈmʲɪl̠ʲhə	true	0	100.00	0.0000	100.00
locadh	ˈl̪ˠɔku	ˈl̪ˠɔku	true	0	100.00	0.0000	100.00
Aoine an Chéasta	ˌiːnʲə ənˠ ˈçeːsˠt̪ˠə	ˌiːnʲə ˈçeːsˠt̪ˠə	false	4	80.95	0.1818	81.82
pór	pˠɔːɾˠ	pˠɔːɾˠ	true	0	100.00	0.0000	100.00
mholtaí	ˈwɔl̪ˠt̪ˠi	ˈwɔl̪ˠt̪ˠi	true	0	100.00	0.0000	100.00
teifeach	ˈtʲɛfʲax	ˈtʲɛfʲæh	false	2	75.00	0.2000	80.00
dtosach	ˈd̪ˠʌsˠah	ˈd̪ˠʌsˠah	true	0	100.00	0.0000	100.00
mór	mˠoːɾˠ	mˠoːɾˠ	true	0	100.00	0.0000	100.00
fonsa	ˈfˠʌn̪ˠsˠə	ˈfˠʌn̪ˠsˠə	true	0	100.00	0.0000	100.00
tointe	ˈt̪ˠɨ̞n̠ʲtʲə	ˈt̪ˠɨ̞n̠ʲtʲə	true	0	100.00	0.0000	100.00
séidfidh	ˈʃeːtʲi	ˈʃeːtʲi	true	0	100.00	0.0000	100.00
apaidh	ˈapˠə	ˈapˠiː	false	2	66.67	0.3333	66.67
cailleadh	ˈkal̠ʲu	ˈkal̠ʲu	true	0	100.00	0.0000	100.00
léim	l̠ʲemʲ	l̠ʲeːmʲ	false	1	85.71	0.0000	100.00
teorainn	ˈtʲɔːɾˠən̠ʲ	ˈtʲɔːɾˠən̠ʲ	true	0	100.00	0.0000	100.00
orthu	ɔɾˠhʌ	ˈɔɾˠhu	false	2	66.67	0.2500	75.00
bán	bˠan̪ˠ	bˠaːn̪ˠ	false	1	85.71	0.0000	100.00
snámhfaidh	ˈsˠn̪ˠaːfˠə	ˈsˠn̪ˠaːwhə	false	2	81.82	0.3333	66.67
brionglóid	ˈbʲɾʲɨ̞ŋlˠɔdʲ	ˈbʲɾʲɨ̞ŋlˠɔdʲ	true	0	100.00	0.0000	100.00
cíocrach	ˈciːkɾˠax	ˈciːkɾˠax	true	0	100.00	0.0000	100.00
fán	fˠæːn̪ˠ	fˠæːn̪ˠ	true	0	100.00	0.0000	100.00
balla	ˈbˠal̪ˠə	ˈbˠal̪ˠə	true	0	100.00	0.0000	100.00
dán	d̪ˠan̪ˠ	d̪ˠaːn̪ˠ	false	1	87.50	0.0000	100.00
cóiriú	ˈkɔːɾʲu	ˈkɔːɾʲu	true	0	100.00	0.0000	100.00
téagarthach	ˈtʲeːɡəɾˠhax	ˈtʲeːɡəɾˠax	false	1	91.67	0.1250	87.50
cráfaidh	ˈkɾˠaːhə	ˈkɾˠaːçɪ	false	2	75.00	0.4000	60.00
grinn	ɟɾʲɪn̠ʲ	ɟɾʲin̠ʲ	false	1	85.71	0.0000	100.00
snáith	sˠn̪ˠaː	sˠn̪ˠɑːiç	false	3	66.67	0.6000	40.00
maistreadh	ˈmˠaʃtʲɾʲu	ˈmˠæʃtʲɾʲu	false	1	90.00	0.0000	100.00
impí	ˈɨ̞mʲpʲi	ˈɨ̞mʲpʲi	true	0	100.00	0.0000	100.00
sníomhaim	ˈʃnʲiːwəmˠ	ˈʃn̠ʲiːwəmˠ	false	1	90.91	0.0000	100.00
piocadh	ˈpʲɪku	ˈpʲɪku	true	0	100.00	0.0000	100.00
fáidh	fˠə	fˠaːj	false	3	40.00	0.6667	33.33
aistear	ˈaʃtʲəɾˠ	ˈasˠt̪ˠəɾˠ	false	4	60.00	0.0000	100.00
coscairt	ˈkʌsˠkəɾˠtʲ	ˈkasˠkəɾˠtʲ	false	1	90.91	0.0000	100.00
caint	kan̠ʲtʲ	kæn̠ʲtʲ	false	1	85.71	0.0000	100.00
baint	bˠan̠ʲtʲ	bˠɪn̠ʲtʲ	false	1	87.50	0.2500	75.00
fád	fˠad̪ˠ	fˠaːd̪ˠ	false	1	85.71	0.0000	100.00
Fearghas	ˈfʲaɾˠəsˠ	ˈfʲaɾˠəɡəsˠ	false	2	81.82	0.2857	71.43
easpach	ˈasˠpˠax	ˈasˠpˠax	true	0	100.00	0.0000	100.00
bád	bˠad̪ˠ	bˠaːd̪ˠ	false	1	85.71	0.0000	100.00
bealadh	ˈbʲalˠu	ˈbʲahlˠu	false	1	87.50	0.2000	80.00
Máirtín	ˈmˠaːɾˠtʲinʲ	ˈmˠæːɾˠˈtʲinʲ	false	2	84.62	0.0000	100.00
rámhaille	ˈɾˠaːwəl̠ʲi	ˈɾˠaːwəl̠ʲi	true	0	100.00	0.0000	100.00
clogad	ˈklˠʌɡəd̪ˠ	ˈklˠʌɡəd̪ˠ	true	0	100.00	0.0000	100.00
lán	l̪ˠan̪ˠ	l̪ˠaːn̪ˠ	false	1	87.50	0.0000	100.00
baineadh	ˈbˠanʲu	ˈbˠɪnʲu	false	1	85.71	0.2500	75.00
gealacán	ˈɟalˠəkanˠ	ˈdʲalˠəɡanˠ	false	3	72.73	0.2857	71.43
treabh	ˈtʲɾʲau	tʲɾʲoː	false	3	57.14	0.5000	50.00
Cháit	xætʲ	xaːtʲ	false	2	60.00	0.0000	100.00
ghealach	ˈjalˠax	ˈjalˠax	true	0	100.00	0.0000	100.00
Ulaidh	ˈʌlˠi	ˈʌlˠi	true	0	100.00	0.0000	100.00
bhealach	ˈvʲalˠah	ˈvʲalˠah	true	0	100.00	0.0000	100.00
ama	ˈamˠə	ˈamˠə	true	0	100.00	0.0000	100.00
atáim	əˈt̪ˠæːmˠ	əˈt̪ˠæːmˠ	true	0	100.00	0.0000	100.00
Dochartach	ˈd̪ˠɔxəɾˠt̪ˠax	ˈd̪ˠɔxəɾˠt̪ˠax	true	0	100.00	0.0000	100.00
bhfadhb	wəibˠ	wəibˠ	true	0	100.00	0.0000	100.00
caifeach	ˈkafʲax	ˈkaːfʲax	false	1	87.50	0.0000	100.00
bhfuiltear	ˈwɪl̠ʲtʲəɾˠ	ˈwɪl̠ʲtʲəɾʲ	false	1	90.91	0.0000	100.00
giodalach	ˈɟɨ̞d̪ˠəlˠax	ˈɟɨ̞d̪ˠəlˠax	true	0	100.00	0.0000	100.00
coisric	ˈkɛʃɾʲɪc	ˈkɛʃɾʲɪc	true	0	100.00	0.0000	100.00
-ach	ax	ax	true	0	100.00	0.0000	100.00
scraiste	ˈsˠkɾˠaʃtʲə	ˈsˠkɾˠaʃtʲə	true	0	100.00	0.0000	100.00
shléibhe	ˈhl̠ʲeːvʲə	ˈhlʲeːvʲə	false	1	90.00	0.0000	100.00
go brách	ɡəˈbˠɾˠaːx	ɡəˈbˠɾˠaːx	true	0	100.00	0.0000	100.00
bacacha	ˈbˠakaxə	ˈbˠakahə	false	1	87.50	0.1667	83.33
asarlaíocht	ˈasˠəːɾˠl̪ˠiəxt̪ˠ	ˈasˠəl̪ˠɾˠiaxt̪ˠ	false	5	70.59	0.3000	70.00
geocán	ˈɟɔːkanˠ	ˈɟɔːkanˠ	true	0	100.00	0.0000	100.00
claidh	klˠə	kl̪ˠəi	false	2	66.67	0.2500	75.00
annamh	ˈan̪ˠu	ˈan̪ˠũ	false	1	83.33	0.3333	66.67
carranna	ˈkaɾˠən̪ˠə	ˈkaːɾˠən̪ˠi	false	2	81.82	0.1667	83.33
ar fad	ɛɾʲˈfˠad̪ˠ	ɛɾʲ ˈfˠad̪ˠ	false	1	90.91	0.0000	100.00
maghar	ˈmˠaiəɾˠ	mˠəiɾˠ	false	3	62.50	0.4000	60.00
ruaigim	ˈɾˠuəɟɪmˠ	ˈɾˠuəɟɪmˠ	true	0	100.00	0.0000	100.00
nochtach	ˈn̪ˠʌxt̪ˠax	ˈnɔxt̪ˠax	false	3	72.73	0.1667	83.33
téim	tʲemʲ	tʲeːmˠ	false	2	66.67	0.0000	100.00
furachas	ˈfˠʌɾˠəxasˠ	ˈfˠʌɾˠaxəsˠ	false	2	81.82	0.2857	71.43
goirteog	ˈɡɔiɾˠtʲɔɡ	ˈɡɔɾˠtʲɔɡ	false	1	90.00	0.1429	85.71
atuirseach	ˈat̪ˠəɾˠʃax	ˈaˌt̪ˠʊɾˠʃah	false	3	75.00	0.3750	62.50
feiceadh	ˈfʲɛcɪ	ˈfʲɛcu	false	1	83.33	0.2500	75.00
ópalach	ˈɔːpˠəlˠax	ˈɔːpˠəlˠax	true	0	100.00	0.0000	100.00
toirbhir	ˈt̪ˠɛɾʲəvʲəɾʲ	ˈt̪ˠæɾʲəvʲəɾʲ	false	1	92.31	0.1429	85.71
spól	sˠpˠɔːlˠ	sˠpˠɔːlˠ	true	0	100.00	0.0000	100.00
achomair	ˈaxʌmˠəɾʲ	ˈaxmˠəɾʲ	false	1	88.89	0.1667	83.33
bóitheach	ˈbˠɔːhax	ˈbɔihax	false	2	75.00	0.1667	83.33
múinteoirí	ˈmˠuːn̠ʲtʲɔɾʲi	ˈmˠuːn̠ʲtʲɔɾʲi	true	0	100.00	0.0000	100.00
smior	ˈsˠmʲɪɾˠ	ˈsˠmʲɛɾʲ	false	2	75.00	0.2500	75.00
clocha	ˈkl̪ˠɔxə	ˈkl̪ˠɔxə	true	0	100.00	0.0000	100.00
carbónach	ˈkaɾˠəbˠɔn̪ˠah	ˈkaɾˠəbˠɔn̪ˠah	true	0	100.00	0.0000	100.00
turas	ˈt̪ˠʌɾˠəsˠ	ˈt̪ˠʌɾˠəsˠ	true	0	100.00	0.0000	100.00
cneadach	ˈcɾʲad̪ˠax	ˈcɾʲad̪ˠi	false	2	80.00	0.3333	66.67
faiteach	ˈfˠatʲax	ˈfˠatʲax	true	0	100.00	0.0000	100.00
fíor-	fʲiːɾˠ	fʲiːɾˠ	true	0	100.00	0.0000	100.00
buidéil	ˈbˠɪdʲelʲ	ˈbˠɪdʲælʲ	false	1	88.89	0.2000	80.00
pianadh	ˈpʲiənˠu	ˈpʲiənˠu	true	0	100.00	0.0000	100.00
sanasán	ˈsˠanˠəsˠanˠ	ˈsˠanˠəsˠanˠ	true	0	100.00	0.0000	100.00
dóibh	d̪ˠoːvʲ	d̪ˠoːvʲ	true	0	100.00	0.0000	100.00
ngleann	ɲlʲan̪ˠ	ɲlʲan̪ˠ	true	0	100.00	0.0000	100.00
dea-bholadh	ˈdʲaˌwʌlˠu	ˈdʲeːˌwɔlˠu	false	3	72.73	0.2857	71.43
mbláthanna	ˈmˠlˠaːhən̪ˠə	ˈmˠl̪ˠæhən̪ˠə	false	3	76.92	0.0000	100.00
threoraigh	ˈhɾʲɔːɾˠi	ˈhɾoːɾʲə	false	4	55.56	0.2000	80.00
dtéanaim	ˈdʲeːnˠəmˠ	ˈdʲaːnˠəmˠ	false	1	90.00	0.2000	80.00
scáthán	ˈsˠkaːhanˠ	ˈsˠkahanˠ	false	1	90.00	0.0000	100.00
ga seá	ɡa ˈʃaː	ɡæˈʃaː	false	2	71.43	0.0000	100.00
ráithe	ˈɾˠaːhə	ˈɾˠaːçə	false	1	85.71	0.2500	75.00
gabháil cheoil	ˌɡauælʲ ˈçɔːlʲ	ɡɔlˠ ˈçɔːlʲ	false	5	64.29	0.4444	55.56
pilleadh	ˈpʲɪl̠ʲuː	ˈpʲɪl̠ʲuː	true	0	100.00	0.0000	100.00
fearthainn	ˈfʲaɾˠhən̠ʲ	ˈfʲaɾˠhən̠ʲ	true	0	100.00	0.0000	100.00
margadh	ˈmˠaɾˠəɡuː	ˈmˠaɾˠəɡuː	true	0	100.00	0.0000	100.00
doras	ˈd̪ˠɔɾˠəsˠ	ˈd̪ˠɔɾˠəsˠ	true	0	100.00	0.0000	100.00
searbhas	ˈʃaɾˠəwəsˠ	ˈʃaɾˠəwəsˠ	true	0	100.00	0.0000	100.00
ciseáin	ˈcɪʃænʲ	ˈcɪʃænʲ	true	0	100.00	0.0000	100.00
anró	ˈan̪ˠɾˠɔ	ˈaːn̪ˠɾˠɔː	false	2	80.00	0.0000	100.00
diaidh	dʲiə	dʲeːj	false	3	40.00	0.6667	33.33
creathnú	ˈcɾʲahn̪ˠu	ˈcɾʲahn̪ˠu	true	0	100.00	0.0000	100.00
bhearr	vʲɑɾˠ	vʲaːɾˠ	false	2	66.67	0.3333	66.67
cur	kʌɾˠ	kʌɾˠ	true	0	100.00	0.0000	100.00
breathnú	ˈbʲɾʲahn̪ˠu	ˈbʲɾʲahn̪ˠu	true	0	100.00	0.0000	100.00
amuigh	əˈmˠɪ	əˈmˠɪç	false	1	83.33	0.2500	75.00
ratán	ˈɾˠat̪ˠanˠ	ˈɾˠafˠt̪ˠanˠ	false	2	83.33	0.1667	83.33
éanlaith	ˈeːn̪ˠlˠə	ˈeːn̪ˠl̪ˠaiç	false	4	66.67	0.5000	50.00
matán	ˈmˠat̪ˠanˠ	ˈmˠat̪ˠanˠ	true	0	100.00	0.0000	100.00
sáiste	ˈsˠaːʃtʲə	ˈsˠaːʃtʲə	true	0	100.00	0.0000	100.00
lom láithreach	ˌl̪ˠʌmˠ ˈl̪ˠaːhɾʲax	ˌlˠɔmˠ ˈl̪ˠæːɾʲah	false	5	73.68	0.3000	70.00
