,word,tags,ipa,results
4,-ach,Munster; Connacht,əx,ax
5,-aigh,Ulster; Connacht,"i, iː",ə
6,-aimid,,əmʲɪdʲ,aimʲədʲ
7,-ann,,ən̪ˠ,an̪ˠ
8,-as,,əsˠ,asˠ
9,-aí,,iː,ai
10,-aíonn,,iːən̪ˠ,aən̪ˠ
12,-fas,,həsˠ,fˠasˠ
21,-igh,Connacht,iː,ɪç
22,-igh,Ulster; Connacht,j,ɪç
24,-im,,əmʲ,ɪmʲ
25,-imid,,əmʲɪdʲ,ɪmʲədʲ
26,-imis,,əmʲəʃ,ɪmʲiʃ
27,-inn,,ən̠ʲ,ɪn̠ʲ
28,-ithe,,"i(ː)ʃtʲə, iː",ɪçi
40,-í,,iː,ɪ
41,-ídís,,iːdʲiːʃ,ɪdʲiʃ
44,-ímid,,iːmʲədʲ,ɪmʲədʲ
45,-ímis,,iːmʲəʃ,ɪmʲiʃ
46,-ínn,,iːn̠ʲ,ɪn̠ʲ
47,-íonn,,iːn̪ˠ,ɪn̪ˠ
48,-íos,,iːsˠ,ɪsˠ
49,-ítear,,iːtʲəɾˠ,ɪtʲəɾˠ
50,-íteá,,iːtʲaː,ɪtʲi
51,-ítí,,iːtʲiː,ɪtʲi
52,-ófar,,oˠhəɾˠ,ʊfˠʊ̽ɾˠ
53,-ófaí,,oːhiː,ʊfˠʊ̽
54,-ófá,,"oːfˠaː, oːhaː",ʊfˠʊ̽
56,-óidís,,oːdʲiːʃ,ɛdʲiʃ
58,-óimis,,oːmʲəʃ,ɛmʲiʃ
59,-óinn,,oːn̠ʲ,ɔn̠ʲ
61,-úint,Munster; Connacht,uːn̠ʲtʲ,ɪn̪t̪
64,Afganastáin,,"-ˈɡanˠə-, afˠˈɡan̪ˠəsˠt̪ˠɑːnʲ",afˠgən̪əsˠt̪ən̪
67,Aifreann,,,aifʲɾʲən̪ˠ
76,Alban,,"nə ˈhaləbˠənˠ, ˈaləbˠənˠ",al̪bˠən̪
80,Aodh,,"eː, iː",ˈiː
90,Ard-Fheis,,ˈɑːɾˠd̪ˠ ˈɛɕ,aɾˠdəsˠ
92,Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ",bˠail̪ə bɾʲɪɟən̪
94,Baile Meánach,Munster; Connacht,ˌbˠalʲə ˈmʲɑːn̪ˠəx,bˠail̪ə mʲɑn̪əx
95,Baile Nua na hArda,Connacht,ˌbˠalʲə ˌn̪ˠuː n̪ˠə ˈhɑːɾˠd̪ˠə,bˠail̪ə ˈn̪ˠuː n̪a haɾˠd̪ə
96,Baile na Mainistreach,Munster; Connacht,ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲəx,bˠail̪ə n̪a mˠain̪iʃtɾʲəx
98,Baile Átha Luain,Munster; Connacht,ˌbʲlʲɑː ˈl̪ˠuənʲ,bˠail̪ə ahə l̪uaən̪
121,Béal Feirste,,"ˌbʲeːlˠ ˈfʲɛɾˠʃtʲə, ˌbʲeːl̪ˠ ˈfʲɛɾˠʃtʲə",bʲɑl̪ fʲɛɾʲstʲi
148,Chiribeas,,ˈxɪɾʲəˌbas,çɪɾʲibʲəsˠ
150,Cholm Cille,Ulster; Connacht,"ˌxɔlˠəmˈcɪl̠ʲə, ˌxɔl̪ˠəmˈcɪl̠ʲə",xʊl̪mˠ cɪl̠ʲə
161,Ciribeas,,ˈkɪɾʲəˌbas,cɪɾʲibʲəsˠ
163,Cloch na Blarnan,Munster; Connacht,ˌklˠɔx n̪ˠə ˈbˠlˠɑːɾˠn̪ˠənˠ,kl̪ʊx n̪a bˠl̪aɾˠn̪ən̪
164,Clocha Liatha,Ulster; Connacht,"n̪ˠə ˌklˠɔxə ˈl̠ʲiəhə, n̪ˠə ˌkl̪ˠɔxə ˈl̠ʲiəhə",kl̪ʊxʊ̽ l̪iəhə
168,Colm Cille,Ulster; Connacht,"ˌkɔlˠəmˈcɪl̠ʲə, ˌkɔl̪ˠəmˈcɪl̠ʲə",kʊl̪mˠ cɪl̠ʲə
175,Críost,,cɾʲiːsˠt̪ˠ,kɾʲɪsˠt̪
176,Críostaí,Connacht,ˈcɾʲiːsˠt̪ˠiː,kɾʲɪsˠt̪ə
185,Cúil Raithin,,ˌkuːlʲ ˈɾˠahənʲ,kɪl̪ ɾˠaiçən̪
186,Daidí na Nollag,,ˌd̪ˠadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ,d̪aidʲi n̪a n̪ʊl̪ˠʊ̽g
198,Dia duit,,ˌdʲiə ˈd̪ˠɪtʲ,dʲiə d̪ɪtʲ
205,Droichead Nua,Connacht,"ˌd̪ˠɾˠeːd̪ˠ ˈn̪ˠuː, ˌd̪ˠɾˠəid̪ˠ ˈn̪ˠuː",ˈd̪ˠɾˠɛhəd̪ˠ ˈn̪ˠuː
215,Déardaoin,Connacht,ˌdʲeːɾˠˈd̪ˠiːnʲ,dʲæɾˠd̪iːn̪
217,Dún Dealgan,Ulster; Connacht,"ˌd̪ˠuːnˠ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲal̪ˠəɡən̪ˠ",d̪ʊn̪ dʲɑl̪gən̪
226,Eochaidh,Connacht,ˈɔxiː,oːxə
243,Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ,fʲɪn̪ə geːl̪
259,Gaedhilge,,ˈɡeːlʲɟə,geːjəlɟi
260,Gaedhlaing,,ˈɡeːlɪɲ,geːjl̪əŋ
261,Gaeil,,ɡeːlʲ,geːəl̪
262,Gaeilge na hAlban,,"ˈɡeːlʲɟɪ nˠə ˈhalˠəbˠənˠ, ˈɡeːlʲɟɪ n̪ˠə ˈhal̪ˠəbˠən̪ˠ",geːəlɟi n̪a hal̪bˠən̪
263,Gaeilge na hÉireann,,"ˈɡeːlʲɟɪ nˠə ˈheːɾʲən̪ˠ, ˈɡeːlʲɟɪ n̪ˠə ˈheːɾʲən̪ˠ",geːəlɟi n̪a çɛɾʲən̪ˠ
264,Gaeilic,,ˈɡeːlʲic,geːəl̪ic
265,Gael,,"ɡeːlˠ, ɡeːl̪ˠ",geːl̪
266,Gaelach,Connacht,ˈɡeːlˠəx,geːl̪əx
268,Gaeltacht,Munster; Connacht,ˈɡeːl̪ˠt̪ˠəxt̪ˠ,geːl̪t̪əxt̪
269,Garda,Munster; Connacht,ˈɡɑːɾˠd̪ˠə,gaɾˠd̪ə
270,Garda Síochána,Connacht,"ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːnˠə, ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːn̪ˠə",gaɾˠd̪ə ʃɪxən̪ə
271,Gardaí,Connacht,ˈɡɑːɾˠd̪ˠiː,gaɾˠd̪ə
274,Gh,,"j, ɟ, ɣ",ɣ
