,word,tags,ipa,results,match
5,-aigh,Ulster; Connacht,"i, iː",ˈmʲKɾʲ_SUFFIX_IGH,1.0
6,-aimid,,əmʲɪdʲ,aimʲKɾʲ_SUFFIX_mʲID_VEɾʲB,0.8
8,-as,,əsˠ,asˠ,1.0
9,-aí,,iː,ˈmʲKɾʲ_SUFFIX_A_II,1.0
10,-aíonn,,iːən̪ˠ,aiːn̪ˠ,1.0
12,-fas,,həsˠ,fˠasˠ,0.6666666666666667
13,-fidh,Connacht,"iː, ə",ˈmʲKɾʲ_SUFFIX_FIDH,1.0
14,-fidís,,hədʲiːʃ,ˈmʲKɾʲ_SUFFIX_FIDIIS,1.0
15,-fimid,,həmʲədʲ,ˈmʲKɾʲ_SUFFIX_FImʲID,1.0
16,-fimis,,həmʲəʃ,ˈmʲKɾʲ_SUFFIX_FImʲIS,1.0
17,-finn,,hən̠ʲ,ˈfʲmˠKɾˠ_SUFFIX_Inˠ'nˠ'_VEɾʲB,0.6666666666666667
19,-fí,,"fʲiː, hiː",mʲKɾʲ_SUFFIX_FII_ACT,1.0
20,-idís,,ədʲiːʃ,ɪdʲiːʃ,1.0
22,-igh,Ulster; Connacht,j,ˈiː,0.0
23,-igí,,əɟiː,ˈɪɡiː,1.0
24,-im,,əmʲ,ɪmʲ,1.0
25,-imid,,əmʲɪdʲ,ˈɪmʲKɾʲ_SUFFIX_mʲID_VEɾʲB,1.0
26,-imis,,əmʲəʃ,ˈɪmʲɪʃ,1.0
27,-inn,,ən̠ʲ,ˈmˠKɾˠ_SUFFIX_Inˠ'nˠ'_VEɾʲB,1.0
28,-ithe,,"i(ː)ʃtʲə, iː",mʲKɾʲ_SUFFIX_IHƏ_GEnˠ',0.5
38,-tí,,tʲiː,ˈmʲKɾʲ_SUFFIX_TII_ACT,1.0
39,-áil,Munster; Connacht,aːlʲ,ˈmʲKɾʲ_SUFFIX_AAlˠ'J,1.0
44,-ímid,,iːmʲədʲ,ˈmʲKɾʲ_SUFFIX_IImʲID,1.0
55,-óidh,Connacht,oː(j),mʲKɾʲ_SUFFIX_OOIJ_VEɾʲB,0.5
56,-óidís,,oːdʲiːʃ,ˈmʲKɾʲ_OIACTlˠ'nˠ'Gdʲiːʃ,1.0
57,-óimid,,oːmʲədʲ,ˈmʲKɾʲ_OIACTlˠ'nˠ'GmʲKɾʲ_SUFFIX_mʲID_VEɾʲB,1.0
58,-óimis,,oːmʲəʃ,ˈmʲKɾʲ_OIACTlˠ'nˠ'Gmʲɪʃ,1.0
61,-úint,Munster; Connacht,uːn̠ʲtʲ,ˈmʲKɾʲ_SUFFIX_UUnˠ'TJ,1.0
64,Afganastáin,,"-ˈɡanˠə-, afˠˈɡan̪ˠəsˠt̪ˠɑːnʲ",ˈafɡanˠasˠt̪ˠɑːnʲ,1.0
70,Airméin,,ˈaɾʲəmʲeːnʲ,ˈɪɾʲmʲeːnʲ,0.8333333333333334
76,Alban,,"nə ˈhaləbˠənˠ, ˈaləbˠənˠ",ˈalˠbˠanˠ,0.8333333333333334
80,Aodh,,"eː, iː",ˈiːɣ,0.5
82,Aoibhe,,ˈiːvʲə,ˈmˠKɾˠ_AOIlˠ'nˠ'Gvʲɛ,1.0
83,Aoife,,ˈiːfʲə,ˈmˠKɾˠ_AOIlˠ'nˠ'Gfʲɛ,1.0
84,Aoine,,ˈiːnʲə,ˈmˠKɾˠ_AOIlˠ'nˠ'Gnʲɛ,1.0
85,Aoine an Chéasta,Ulster; Connacht,ˌiːnʲə ˈçeːsˠt̪ˠə,ˈmˠKɾˠ_AOIlˠ'nˠ'Gnʲɛ anˠ ˈcçeːasˠt̪ˠa,0.7
90,Ard-Fheis,,ˈɑːɾˠd̪ˠ ˈɛɕ,ˈaɾˠdfʲçɛʃ,0.5714285714285714
92,Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ",ˈbˠailʲɛ ˈbʲɾʲɪɡmʲKɾʲ_SUFFIX_IInˠ'J,0.9090909090909091
