,tags,ipa,word,region
0,Munster,/kɑt̪ˠ/,cat,Munster
1,Aran,/kɑt̪ˠ/,cat,Connacht
2,Aran,/kɔt̪ˠ/,cat,Connacht
3,Cois-Fharraige,/kʊt̪ˠ/,cat,Connacht
4,Mayo; Ulster,/kat̪ˠ/,cat,Connacht; Ulster
0,,/a/,a-,
1,,/a/,a-,
2,,/ə/,a-,
0,,/a/,a-,
1,,/ə/,a-,
0,,/abˠ/,ab,
0,,/əbˠ/,ab,
0,,/ˈabˠɾˠədʲ/,abraid,
0,,/dʲɛ/,de,
1,,/dʲə/,de,
2,Galway,/ɡə/,de,Connacht
3,Ulster; colloquial,/ə/,de,Ulster; colloquial
4,Ulster; colloquial,/ə.ɣ-/,de,Ulster; colloquial
5,Ulster; colloquial,/ə.j-/,de,Ulster; colloquial
0,,/dʲɛ/,de,
1,Ulster,/dʲɛh/,de,Ulster
0,,/tʲe(h)/,te,
0,,/kan̪ˠ/,can,
1,,/kanˠ/,can,
0,,/ɪ/,i,
1,,/ə/,i,
0,Galway; Munster,/kuːmˠ/,cum,Connacht; Munster
1,Mayo; Ulster,/kʊmˠ/,cum,Connacht; Ulster
0,Connacht; Munster,/ɔsˠ/,os,Connacht; Munster
1,Ulster,/ʌsˠ/,os,Ulster
0,,/kɾˠapˠ/,crap,
1,Ulster,/kɾˠʌpˠ/,crap,Ulster
0,,/bʲɪɟ/,big,
0,,/ʊmˠ/,um,
0,,/ˈɪnʲdʲiə/,India,
0,Aran; Munster,/ɡɑsˠ/,gas,Connacht; Munster
1,Connemara; Ulster,/ɡasˠ/,gas,Connacht; Ulster
0,Connacht; Munster,/oː/,eo,Connacht; Munster
1,Ulster,/ɔː/,eo,Ulster
0,,/əd̪ˠ/,ad,
0,,/ɪt̪ˠ/,it,
0,,/d̪ˠaɾˠ/,dar,
0,,/bˠəˈn̪ˠan̪ˠə/,banana,
0,,/ˈd̪ˠɔl̪ˠəɾˠ/,dollar,
0,,/d̪ˠuəl̪ˠ/,dual,
1,,/d̪ˠuəlˠ/,dual,
0,Munster,/ˈɛɡə/,age,Munster
0,,/kɪnʲ/,coin,
0,Aran; Munster,/ɑt̪ˠ/,at,Connacht; Munster
1,Cois-Fharraige,/at̪ˠ/,at,Connacht
2,Cois-Fharraige,[aːt̪ˠ],at,Connacht
3,Mayo; Ulster,/at̪ˠ/,at,Connacht; Ulster
0,,/ənˠ/,an,
1,,/ə/,an,
2,,/ə.n̪ˠ-/,an,
3,,/ə.n̠ʲ-/,an,
0,,[dʲaɾˠ],dear,
0,,[mʲiːlʲ],mill,
