tags	ipa	word
Connacht 	/kɑt̪ˠ/	cat
Connacht 	/kɔt̪ˠ/	cat
Connacht 	/kʊt̪ˠ/	cat
Connacht ; Ulster 	/kat̪ˠ/	cat
Connacht 	/ɡə/	de
Connacht ; Munster 	/kuːmˠ/	cum
Connacht ; Ulster 	/kʊmˠ/	cum
Connacht ; Munster 	/ɔsˠ/	os
Connacht ; Munster 	/ɔsˠ/	os
Connacht ; Munster 	/ɡɑsˠ/	gas
Connacht ; Ulster 	/ɡasˠ/	gas
Connacht ; Munster 	/oː/	eo
Connacht ; Munster 	/oː/	eo
Connacht ; Munster 	/ɑt̪ˠ/	at
Connacht 	/at̪ˠ/	at
Connacht 	[aːt̪ˠ]	at
Connacht ; Ulster 	/at̪ˠ/	at
Connacht ; Munster 	/ɑt̪ˠ/	at
Connacht 	/at̪ˠ/	at
Connacht 	[aːt̪ˠ]	at
Connacht ; Ulster 	/at̪ˠ/	at
Connacht ; Munster 	/ˈɑɾˠəmˠ/	arm
Connacht ; Connacht ; Ulster 	/ˈaɾˠəmˠ/	arm
Connacht 	/æsˠ/	as
Connacht 	/æsˠ/	as
Connacht 	/bˠiːlˠ/	baol
Connacht 	/bˠiːl̪ˠ/	baol
Connacht 	/ɡə/	do
Connacht 	/dʲɾʲɑːmˠ/	dream
Connacht 	/dʲɾʲamˠ/	dream
Connacht ; Ulster 	/l̠ʲanˠ/	lean
Connacht ; Ulster 	/l̠ʲan̪ˠ/	lean
Munster ; Connacht ; Munster 	/fʲiːn̠ʲ/	finn
Connacht ; Ulster 	/fʲɪn̠ʲ/	finn
Connacht ; Munster 	/bˠɔɡ/	bog
Connacht ; Munster 	/bˠɔɡ/	bog
Connacht ; Munster 	/bˠɔɡ/	bog
Connacht ; Munster 	/ʃɪnʲ/	sin
Connacht 	/ɾˠaːŋɡ/	rang
Connacht ; Connacht ; Ulster 	/ɾˠaŋ/	rang
Connacht 	/ɾˠaːŋɡ/	rang
Connacht ; Connacht ; Ulster 	/ɾˠaŋ/	rang
Connacht 	/ɾˠaːŋɡ/	rang
Connacht ; Connacht ; Ulster 	/ɾˠaŋ/	rang
Connacht 	[tʲæːx]	teach
Connacht 	/bˠɑːl̪ˠ/	ball
Connacht ; Ulster 	/bˠal̪ˠ/	ball
Connacht 	/fʲæɾˠ/	fear
Connacht 	/fʲæɾˠ/	fear
Connacht 	/l̪ˠɔx/	loch
Connacht ; Munster 	/bˠɾˠɑt̪ˠ/	brat
Connacht 	/bˠɾˠat̪ˠ/	brat
Connacht 	[bˠɾˠaːt̪ˠ]	brat
Connacht ; Ulster 	/bˠɾˠat̪ˠ/	brat
Connacht ; Munster 	/ˈkɑsˠə/	casa
Connacht ; Connacht ; Ulster 	/ˈkasˠə/	casa
Connacht ; Ulster 	/ˈn̠ʲoːnˠ/	neon
Connacht ; Ulster 	/ˈn̠ʲoːn̪ˠ/	neon
