tags	ipa	word
Connacht 	/ˈt̪ˠəu.ə/	toghadh
Connacht 	/ˈbʲɞɡɑːn/	beagán
Connacht 	/ˈukuː/	acu
Connacht 	/ˈkohəɾˠə/	comhartha
Connacht 	/ˈiən̪ˠt̪ˠəx/	iontach
Connacht ; Munster 	/ˈɟɪɾˠiə/	giorria
Connacht 	/ˈʊmˠpˠuː/	iompú
Connacht 	/ˈdʲiːɾʲiː/	dírigh
Connacht 	/l̠ʲəuɾʲ/	leabhair
Connacht 	/ˈmˠɪlʲən̠ʲə/	muinchille
Connacht 	/ˈbɔɡiː/	bogaigh
Connacht 	/ˈkʊɾˠə/	curaigh
Connacht ; Ulster 	/sˠpˠlˠaŋk/	splanc
Connacht ; Ulster 	/ˈbˠiːdʲa(x)/	bídeach
Connacht 	/ˈdʲiːnəsˠ/	déanas
Connacht 	[ˈsˠiːlʲɑːlʲ]	suíleáil
Connacht 	/kɾˠivʲ/	cruimh
Connacht ; Munster 	/ˈklˠɔɡədʲə/	clogaide
Connacht 	/ˈfˠoɾˠəkə/	fothragadh
Connacht 	/ˈeːlˠə/	éalaigh
Connacht ; Munster 	[oːlʲ]	fheoil
Connacht 	/ˈfʲæːɾˠiːsˠ/	Fearghas
Connacht ; Munster 	/ɑːɾˠdʲ/	aird
Connacht 	/ɾˠeː/	réidh
Connacht ; Ulster 	/l̠ʲiə/	liath
Connacht 	/ˈsˠpʲeɾˠə ˈn̪ˠiːw/	Spiorad Naomh
Connacht 	/ˈ(h)uɡiː/	chugaibh
Connacht ; Munster 	/t̪ˠɾˠɑː/	trá
Connacht ; Munster 	/ˈd̪ˠuːn̪ˠəmʲ/	dúnaim
Connacht 	/ˈəil̪ˠəc/	adhlaic
Connacht ; Ulster 	/fˠɾˠɯːx/	fraoch
Connacht 	/ˈæɾʲəx/	aireach
Connacht 	/ˈpˠoːsˠətʲ/	pósadh
Connacht 	/ˈeːnˠ.ˈvʲa.nˠəx/	aonbheannach
Connacht ; Munster 	/ˈkol̪ˠə/	codladh
Connacht ; Munster 	/ˈt̪ˠiːl̠ʲ/	tuill
Connacht ; Ulster 	/ˌkɔl̪ˠəmˈcɪl̠ʲə/	Colm Cille
Connacht 	/ˈd̪ˠumˠlˠəsˠ/	domlas
Connacht 	/ˈeːlʲiːɾʲ/	éilítear
Connacht 		líonadh
Connacht 	/t̪ˠɾˠɑː ˈl̠ʲiː/	Trá Lí
Connacht ; Ulster 	/t̪ˠɪn̠ʲ/	toinn
Connacht ; Connacht ; Ulster 	/ˈdʲaɾˠəmˠəd̪ˠ/	dearmad
Connacht ; Ulster 	/ʃcɾʲiːw/	scríobh
Connacht 	/d̪ˠɾˠɛdʲəxə/	druideacha
Connacht ; Munster 	/bˠɔɡ/	bog
Connacht 	/ˈafʲeːlˠ/	aiféala
Connacht 	/ɡɾˠɑː/	gnáth
Connacht 	/d̪ˠɾˠɔx/	droch-
Connacht 	/ɟɾʲaːn̪ˠ/	greann
Connacht 	/ˈaɾˠkɑːnˠ/	arcán
Connacht 	/ˈd̪ˠu.ɑːn/	duán
Connacht ; Munster 	/ˈl̪ˠɑːhəɾʲ/	láthair
Connacht 	/ˈɡɾˠaːiː/	gnaithí
Connacht 		déanamh
Connacht 	/ˈd̪ˠɛɾʲətʲ/	doireadh
Connacht 	/ˈt̪ˠakə/	tagtha
Connacht 	/ˈtʲɾʲəu/	treabh
Connacht ; Ulster 	/ˈkasˠu(ː)/	casadh
Connacht 	/ˈn̠ʲɪsˠkoːdʲ/	neascóid
Connacht 	[ˈtʲiːmˠpˠəʃtʲiː]	timpistí
Connacht ; Ulster 	/ˈl̠ʲapˠə/	leapa
Connacht 	/bˠɑuɾˠd̪ˠ/	bord
Connacht 	/fˠuəx/	fuadh
Connacht 	/tʲʊ(w)/	tiubh
Connacht 	/ˈcoːn̪ˠiː/	ceonna
Connacht 	/ˈbʲɾʲeːɡəx/	bréagach
Connacht ; Munster 	/ˈsˠkiːlʲə/	scaoileadh
Connacht 	/ˈfˠuːvˠəɾˠ/	fómhar
Connacht ; Munster 	/ə ˈxɑːɾˠdʲə/	a chairde
Connacht ; Connacht ; 	/ˈɑːɾˠɑːnˠ/	amhrán
Connacht ; Munster 	/t̪ˠɑː/	tsá
Connacht 	/ˈkɑːɾˠdʲuːlʲ/	cairdiúil
Connacht ; Ulster 	/ˈsˠiːl̪ˠt̪ˠə/	saolta
Connacht 	/ˈabˠuːl̪ˠəxt̪ˠ/	abúlacht
Connacht 	/ˈkl̪ˠifʲiː/	cluichí
Connacht 	/pʲɑːl̪ˠ/	peall
Connacht ; Munster 	/sˠmˠɑxt̪ˠ/	smacht
Connacht ; Ulster 	/ˈkɪɾʲuː/	cuireadh
Connacht 	/ˈɡɔbˠuː/	gobadh
Connacht 	/ˈɡlˠɑkəvˠ/	glacadh
Connacht 	/ˈl̠ʲiə(h)ɾˠoːdʲ/	liathróid
Connacht ; Munster 	/t̪ˠɔɾˠk/	torc
Connacht ; Connacht ; Ulster 	/ˈɡad̪ˠiː/	gadaí
Connacht 	/ˈɡɑɾˠiː/	garraí
Connacht 	[ˈfˠaːɾˠɪɟə]	farraige
Connacht 	/ˈɾˠɑːwiəxt̪ˠ/	rámhaíocht
Connacht 	/ˈt̪ˠɔsˠiː/	tosaí
Connacht ; Ulster 	/ˈaʃɪc/	aisig
Connacht 	/ˈeːcoːl̪ˠiː/	éiceolaí
Connacht 	/ˈʃeːdʲəx/	séideadh
Connacht 	/bˠɾˠuː/	bruth
Connacht ; Ulster 	/ˈeːsˠkə/	éasca
Connacht 	/ˈbʊn̪ˠuːsˠəx/	bunúsach
Connacht ; Ulster 	/d̪ˠlˠuː/	dlúth
Connacht 	/ˈd̪ˠɾˠʊŋkeːɾˠə/	druncaera
Connacht 	/ˈmˠɔɾˠəɡəvˠ/	morgadh
Connacht ; Connacht 	/fˠɑːn̪ˠ/	fann
Connacht 	/ˈfˠoːl̪ˠəmˠə/	foghlamtha
Connacht 	/ˈd̪ˠuːnˠuː/	dúnadh
Connacht 	/iː/	ithe
Connacht ; Ulster 	/ˈdʲɪvʲənʲ/	deimhin
Connacht ; Ulster 	/kuːn̪ˠ/	cuan
Connacht ; Munster 	/sˠpˠoːl̪ˠ/	spól
Connacht ; Ulster 	/ɡlˠak/	glac
Connacht 	/ˈɛciː/	aici
Connacht 	/(ɣ)əmˠ/	dhom
Connacht ; Munster 	/clʲiəvˠ/	cliabh
Connacht ; Munster 	/ˈl̠ʲɛctʲɾʲəxəsˠ/	leictreachas
Connacht 	/ˈdʲiːbʲɾʲiːtʲ/	díbríodh
Connacht 	/ˈmˠaɾˠə/	maraigh
Connacht 	/ˈɑːl̪ˠəc/	adhlaic
Connacht 	/ˈʃɛʃuːnˠ/	seisiún
Connacht 	/ˈɛdʲəxəʃ/	oideachais
Connacht 	/ˈɪmʲɾʲiː/	imní
Connacht 	/ˈfˠɑːɟiː/	faighigí
Connacht ; Munster 	/ˈmʲinʲ/	min
Connacht 	/ˈbʲiːdʲəx/	bídeach
Connacht ; Connacht 	[ˈaɡlˠəʃiː]	eaglaisí
Connacht 	/ɡlɯː/	glaoigh
Connacht 	/ˈɾˠɪɲcɪ/	rince
Connacht 	/ˈcɾʲiːpˠəɾʲə/	cníopaire
Connacht 	/ˈænʲiːmʲ/	aithním
Connacht 	/ˈɟɑːɾˠəx/	gearradh
Connacht 	/ˈɟaːɾˠəmʲ/	gearraim
Connacht 	/ˈcal̪ˠəx/	Ceallach
Connacht 	/ˈfˠoːnˠuːɾˠ/	fonnmhar
Connacht 	/ˈinʲiːnˠiː/	iníona
Connacht 	/ˈʊmˠl̪ˠɑːn̪ˠ/	iomlán
Connacht 	/n̠ʲiːmʲ/	ghním
Connacht 	/ˈmˠɔlˠhiː/	molfaidh
Connacht ; Ulster 	/ˈkæɾˠɪc/	carraig
Connacht ; Munster 	/ˈsˠt̪ˠɾˠɑpˠəɾʲə/	strapaire
Connacht 	/ˈl̠ʲiːnˠə/	líonadh
Connacht 	/ˈsˠasˠən̪ˠəx/	Sasanach
Connacht 	/ˈiːnʲtʲlʲəxt̪ˠ/	intleacht
Connacht 	/ˈl̠ʲiːn̪ˠə/	líonadh
Connacht ; Munster 	/oː/	ó
Connacht 	/ˈsˠpˠɑːɾˠɑːlʲ/	spáráil
Connacht ; Munster 	/ʃɪlʲ/	sil
Connacht 	/ˈfˠɑːɡəx/	fágadh
Connacht 	/ˈaiɾʲə/	éirigh
Connacht ; Connacht 	/ˈfˠax/	fathach
Connacht 	/ˈkɔlˠəmˠɑːnˠ/	Colmán
Connacht 	/ˈbˠɑːwəɾˠ/	bámhar
Connacht 	/ˈsˠəil̠ʲʃə/	soilse
Connacht 	/ˈɑːɾʲiː/	áirithe
Connacht 	/ˈɪn̪ˠət̪ˠ/	ionat
Connacht ; Munster 	/ˈmˠɑːsˠəx/	másach
Connacht 	/ˈhɑɾˠʃt̪ˠəbˠ/	tharstu
Connacht 	/ˈbʲɾʲakɑːnˠ/	breacán
Connacht 	/ˈ(h)ʊɡəd̪ˠ/	chugat
Connacht ; Ulster 	/ˈɔl̪ˠən̪ˠ/	olann
Connacht 	/ˈiːsˠt̪ˠə/	aosta
Connacht 	/ˌbˠalʲə ˌn̪ˠuː n̪ˠə ˈhɑːɾˠd̪ˠə/	Baile Nua na hArda
Connacht 	/ˈklˠiːnˠətʲ/	claonadh
Connacht 	/ˈɑːwʊl/	ádhúil
Connacht 	/ˈtʲæːŋɡə/	teanga
Connacht 	/ɡɞdʲ/	goid
Connacht 	/ˈdʲɛʃəlˠɑːnˠ/	deisealán
Connacht 	/fʲiːdʲ/	fichid
Connacht ; Munster 	/ˈpʲakə/	peaca
Connacht 	/ˈsˠɔkɾˠuː/	socrú
Connacht 	/ˈmˠuːnʲuː/	múineadh
Connacht 	/ˈat̪ˠɾˠiː/	eadraibh
Connacht 	/ˈɡlɑkəmʲ/	glacaim
Connacht 	/ˈɑːɾʲə/	aire
Connacht 	/ˈklˠaɟən̪ˠ/	cloigeann
Connacht ; Munster 	[ˈɟɨl̪ˠə]	giolla
Connacht ; Ulster 	/ˈkæɾˠɪcæhə/	carraigeacha
Connacht 	/dʲiːvʲ/	díbh
Connacht ; Ulster 	/tʲan̪ˠ/	teann
Connacht 	/ˈt̪ˠapˠə/	tapadh
Connacht ; Connacht 	/ˈkolˠiː/	culaith
