tags,ipa,word,tags_
Munster Irish,/kɑt̪ˠ/,cat,
Connacht Irish,/kɑt̪ˠ/,cat,
Connacht Irish,/kɔt̪ˠ/,cat,
Connacht Irish,/kʊt̪ˠ/,cat,
Connacht Irish; Ulster Irish,/kat̪ˠ/,cat,
,/a/,a-,
,/ə/,a-,
,/abˠ/,ab,
,/əbˠ/,ab,
,/ˈabˠɾˠədʲ/,abraid,Munster Irish
,/dʲɛ/,de,
,/dʲə/,de,
Connacht Irish,/ɡə/,de,
Ulster Irish; ,/ə/,de,
Ulster Irish; ,/ə.ɣ-/,de,
Ulster Irish; ,/ə.j-/,de,
Ulster Irish,/dʲɛh/,de,
,/tʲe(h)/,te,
,/kan̪ˠ/,can,
,/kanˠ/,can,
,/ɪ/,i,
,/ə/,i,
Connacht Irish; Munster Irish,/kuːmˠ/,cum,
Connacht Irish; Ulster Irish,/kʊmˠ/,cum,
Connacht Irish; Munster Irish,/ɔsˠ/,os,
Ulster Irish,/ʌsˠ/,os,
,/kɾˠapˠ/,crap,
Ulster Irish,/kɾˠʌpˠ/,crap,
,/bʲɪɟ/,big,
,/ʊmˠ/,um,
,/ˈɪnʲdʲiə/,India,
Connacht Irish; Munster Irish,/ɡɑsˠ/,gas,
Connacht Irish; Ulster Irish,/ɡasˠ/,gas,
Connacht Irish; Munster Irish,/oː/,eo,
Ulster Irish,/ɔː/,eo,
,/əd̪ˠ/,ad,
,/ɪt̪ˠ/,it,Munster Irish
,/d̪ˠaɾˠ/,dar,
,/bˠəˈn̪ˠan̪ˠə/,banana,
,/ˈd̪ˠɔl̪ˠəɾˠ/,dollar,
,/d̪ˠuəl̪ˠ/,dual,
,/d̪ˠuəlˠ/,dual,
Munster Irish,/ˈɛɡə/,age,Munster Irish
,/kɪnʲ/,coin,
Connacht Irish; Munster Irish,/ɑt̪ˠ/,at,
Connacht Irish,/at̪ˠ/,at,
Connacht Irish,[aːt̪ˠ],at,
Connacht Irish; Ulster Irish,/at̪ˠ/,at,
,/ənˠ/,an,
,/ə/,an,
,/ə.n̪ˠ-/,an,
,/ə.n̠ʲ-/,an,
,[dʲaɾˠ],dear,
,[mʲiːlʲ],mill,
,[mʲɪlʲ],mill,
,/aɾʲ/,air,
,/ɛɾʲ/,air,
,/əɾʲ/,air,
Connacht Irish; Munster Irish,/ˈɑɾˠəmˠ/,arm,
Connacht Irish; Connacht Irish; Ulster Irish,/ˈaɾˠəmˠ/,arm,
,/asˠ/,as,
Munster Irish,/ɑsˠ/,as,
Connacht Irish,/æsˠ/,as,
,/karˠ/,car,
,/ˈmʲɪnʲə/,mine,
,/bˠɔ(h)/,both,
Ulster Irish,/bˠoh/,both,
,/ə/,ag,
,/əɡ/,ag,
,/əɟ/,ag,
,/ɛɟ/,ag,
,/ɪɟ/,ag,
,/bˠə/,ba,
,/bˠəj/,ba,
Munster Irish; ,/bˠɔ/,ba,
,/bˠan̪ˠ/,ban,
,/bˠanˠ/,ban,
Munster Irish,/bˠeːl̪ˠ/,baol,
Connacht Irish,/bˠiːlˠ/,baol,
Connacht Irish,/bˠiːl̪ˠ/,baol,
Ulster Irish,/bˠiːlˠ/,baol,
Ulster Irish,/bˠiːl̪ˠ/,baol,
Ulster Irish,/bˠɯːlˠ/,baol,
,/ˈl̪ˠamˠpˠə/,lampa,
,/d̪ˠɔ/,do,Munster Irish
,/d̪ˠə/,do,Munster Irish
Connacht Irish,/ɡə/,do,
Ulster Irish; ,/ə/,do,
Ulster Irish; ,/ə.ɣ-/,do,
Ulster Irish; ,/ə.j-/,do,
,/dʲiə/,dia,
,/d̪ˠuə/,dua,
,/ˈmˠapˠə/,mapa,
,/alʲ/,ail,
,/ˈd̪ˠad̪ˠə/,dada,
,/ɛlʲ/,oil,
,/ɪlʲ/,oil,
,/ˈdʲɪdʲ/,did,
Munster Irish,/dˠɾˠaumˠ/,dream,
Munster Irish,/dˠɾˠoumˠ/,dream,
Connacht Irish,/dʲɾʲɑːmˠ/,dream,
Connacht Irish,/dʲɾʲamˠ/,dream,
Ulster Irish,/dʲɾʲamˠ/,dream,
,/lʲɛd̪ˠ/,led,Munster Irish
Munster Irish,/lʲan̪ˠ/,lean,
Connacht Irish; Ulster Irish,/l̠ʲanˠ/,lean,
Connacht Irish; Ulster Irish,/l̠ʲan̪ˠ/,lean,
,/lʲɛt̪ˠ/,let,Munster Irish
