word,tags,ipa
an-,Ulster; Connemara,ˈan̪ˠ
bindealán,Connacht,ˈbʲin̠ʲdʲəlˠɑːnˠ
cora,,ˈkɔɾˠə
Dia duit,,ˌdʲiə ˈd̪ˠɪtʲ
tarraing,Ulster,ˈt̪ˠaɾˠn̠ʲ
furasta,Galway,ˈfˠɾˠʊsˠt̪ˠə
oibre,Cois-Fharraige,ˈaibʲɾʲə
táirgiúil,Munster,t̪ˠɑːɾʲˈɟuːlʲ
gnóthaím,Ulster,ˈɡɾˠõːjəmˠ
Ceallach,Ulster,ˈcal̪ˠa(h)
mainicín,Ulster,ˈmˠanʲɪcinʲ
beannaigh,Galway,ˈbʲæn̪ˠə
breithimh,Ulster,ˈbʲɾʲɛhi
amhras,Aran,"ˈanˠvˠɾˠəsˠ, ˈavˠɾˠəsˠ, ˈãvˠɾˠəsˠ"
urlár,Munster,ʊɾˠˈl̪ˠɑːɾˠ
Rúisis,,ˈɾˠuːʃəʃ
brabúsach,Connacht,ˈbˠɾˠabˠuːsˠəx
cíora,,ˈciːɾˠə
almóinn,Connacht,ˈal̪ˠmˠoːn̠ʲ
oileán,Munster,ɪˈlʲɑːn̪ˠ
beithígh,Cois-Fharraige,ˈbʲɛi
ascaille,,ˈasˠkəl̠ʲə
dearmaid,Kerry,dʲaˈɾˠuːdʲ
litiam,,ˈl̠ʲɪtʲiəmˠ
-tar,,t̪ˠəɾˠ
abhann,Ulster,oːn̪ˠ
crú,Munster; Connacht,kɾˠuː
cabhsa,,ˈkausˠə
Fódhla,,"ˈfˠoːlˠə, ˈfˠoːl̪ˠə"
fuinneoga,Ulster,ˈfˠɪn̠ʲɔɡə
cnámha,Connacht,"knˠɑːvˠə, kɾˠɑːwə"
gairm,,
náisiún,Ulster,ˈn̪ˠæːʃunˠ
gála,Munster; Connacht,ˈɡɑːl̪ˠə
acastóir,Connacht,ˈaˌkasˠt̪ˠoːɾʲ
teachín,Connacht,ˈtʲaxiːnʲ
fiacháil,Ulster,ˈfʲia̯xælʲ
ghaiscígh,Ulster,ˈɣaʃci
Seoirse,Ulster,ˈʃɔːɾˠsˠə
coighcíos,Munster,kəiˈciːsˠ
toiligh,Munster,ˈt̪ˠɞlʲɪɟ
éistim,Ulster,ˈeːʃtʲəmˠ
cliabhán,Connacht,"ˈclʲiəwɑːnˠ, ˈclʲiəwɑːn̪ˠ"
leon,Ulster; Munster,lʲoːn̪ˠ
deinim,,"ˈdʲɛnʲəmʲ, ˈdʲɛnʲɪmʲ, ˈdʲɪnʲəmʲ"
sraoill,Ulster; Connacht,sˠɾˠiːl̠ʲ
aer,Ulster,ɛːɾˠ
leamh,Munster,ˈlʲau
láidir,Munster; Connacht,ˈl̪ˠɑːdʲəɾʲ
scabadh,Ulster,ˈsˠkabˠuː
cointinn,Ulster,ˈkɪn̠ʲtʲən̠ʲ
finn,Waterford,fʲiːɲ
ríocht,Munster; Connacht,ɾˠiəxt̪ˠ
purgóid,Munster,pˠɾˠəˈɡoːdʲ
cótaí,Munster,koːˈt̪ˠiː
búistéara,,ˈbˠuːʃtʲeːɾˠə
Taoiseach,Munster; Connacht,ˈt̪ˠiːʃəx
biorach,Munster,bʲɪˈɾˠɑx
agaibh,Munster,əˈɣivʲ
go dtí go,,ɡə ˈdʲiː ɡə
magadh,Galway,ˈmˠaɡə
brobh,Mayo,bˠɾˠɔw
easna,Cois-Fharraige,ˈaːsˠn̪ˠə
bod,Ulster,bˠʌd̪ˠ
tubaiste,Munster,t̪ˠəˈbˠɑːʃtʲə
altfadh,Mayo,ˈal̪ˠt̪ˠuː
teann,Munster,tʲaun̪ˠ
éiríonn,Connacht,ˈəiɾʲiːn̪ˠ
gasa,Aran,ˈɡasˠiː
cliathán,Munster,"clʲiəˈhɑːn̪ˠ, clʲiːˈhɑːn̪ˠ"
dóid,Ulster,d̪ˠɔːdʲ
uí,,iː
dúin,,d̪ˠuːnʲ
Gaedhlaing,,ˈɡeːlɪɲ
mil,Munster; Connacht,mʲɪlʲ
gearbach,Munster; Connacht,ˈɟaɾˠəbˠəx
d'fhág,Ulster,d̪ˠaːɡ
dreoigh,Munster,dʲɾʲoːɟ
anlann,Munster,"ˈɑun̪ˠl̪ˠən̪ˠ, ˈɑ̃ũn̪ˠl̪ˠən̪ˠ"
girseach,Ulster,ˈɟɪɾˠsˠa(h)
cuiseog,Ulster,ˈkɪʃɔɡ
Spáinne,Ulster,ˈsˠpˠæːn̠ʲə
díobh,Cois-Fharraige,d̪ˠiːbˠ
seilbh,Ulster; also,ˈʃɨ̞lʲəvʲ
tóin,Ulster; Connacht,t̪ˠoːnʲ
eisigh,Munster,ˈɛʃɪɟ
cnótha,Galway,ˈknˠohiː
geimhrigh,Munster,ˈɟiːɾʲɪɟ
acastóir,Ulster,ˈaˌkasˠt̪ˠaɾʲ
ceapadh,Mayo,ˈcapˠuː
átha,,ˈaːhə
buaine,Ulster,"ˈbˠiːnʲə, ˈbˠɯːnʲə"
glantóir,Munster,ɡl̪ˠan̪ˠˈt̪ˠoːɾʲ
chugainn,Munster,xuːnʲ
feidhmeannach,,ˈfʲəimʲən̪ˠəx
beaga,Aran,bʲɞɡə
beidh,Ulster,"bʲe(ː)j, bʲəi, bʲɛ"
liopard,,ˈlʲi.pˠəɾˠdˠ
ceo bruithne,Ulster,ˈcɔː ˈbˠɾˠɪhnʲə
fireann,,ˈfʲɪɾʲən̪ˠ
glún,Ulster; Connacht,ɡlˠuːnˠ
sáiste,Ulster,ˈsˠaːʃtʲə
deasa,,ˈdʲasˠə
geimhreadh,Kerry; Munster; Cork,ˈɟiːɾʲə
leathach,Ulster,ˈl̠ʲɛha(x)
deirim,Ulster,ˈdʲɛɾʲəmˠ
roghnachas,Ulster,"ˈɾˠeːnˠahasˠ, ˈɾˠɤːnˠahasˠ"
mapa,,ˈmˠapˠə
bleácach,,ˈbʲlʲɑːkəx
dúlamán,Ulster,ˈd̪ˠuːlˠəmˠænˠ
Cáit,,"kaːtʲ, kɑːtʲ"
ócairín,Ulster,ˈɔːkəɾʲinʲ
baisteadh,Galway; Ulster; Mayo,ˈbˠaʃtʲətʲ
fíniúnach,Ulster,ˈfʲiːnʲunˠa(h)
cainteach,Munster,ˈkainʲtʲəx
tost,,"t̪ˠɔsˠt̪ˠ, t̪ˠɞsˠt̪ˠ"
fosclóchaidh,Ulster,"ˈfˠasˠklˠaxi, ˈfˠɔsˠklˠaxi"
Abcáisis,,"abˠˈkaːʃɪʃ, ˈabˠkaːʃɪʃ"
cailleach,Munster,kəˈlʲax
galánta,Ulster,"ˈɡalˠan̪ˠt̪ˠə, ˈɡal̪ˠan̪ˠt̪ˠə"
breathnú,Cois-Fharraige,ˈbˠɾˠæːn̪ˠuː
casa,Aran; Munster,ˈkɑsˠə
Ros Comáin,,ɾˠɔsˠ ˈkʊmˠɑːnʲ
coirce,Ulster,ˈkɔɾʲcə
bolraíoch,Ulster,"ˈbˠɔlˠɾˠia(x), ˈbˠɔlˠrˠia(x)"
tugaim,Munster; Connacht,ˈt̪ˠʊɡəmʲ
ciontach,Ulster,ˈcɨ̞n̪ˠt̪ˠa(x)
foirmiúlacht,Connacht,"ˈfˠɔɾˠmʲuːlˠəxt̪ˠ, ˈfˠɔɾˠmʲuːl̪ˠəxt̪ˠ"
dreo,Ulster,dʲɾʲɔː
riast,Munster,ˈɾˠiəsˠt̪ˠə
pisreog,Ulster,ˈpʲɪʃɾʲɔɡ
cúnamh,Cois-Fharraige,ˈkuːn̪ˠə
éilítear,Connacht,ˈeːlʲiːɾʲ
peacadh,Mayo; Ulster,ˈpʲaku(ː)
achar,,ˈaxəɾˠ
gabhála,Ulster,ˈɡɔːlˠə
cat crainn,Mayo; Ulster,ˌkat̪ˠ ˈkɾˠɪn̠ʲ
rang,Cois-Fharraige,ɾˠaːŋɡ
stagún,Munster,sˠt̪ˠəˈɡuːn̪ˠ
bean rialta,,ˌbʲanˠ ˈɾˠiəl̪ˠt̪ˠə
seisreach,Ulster,ˈʃɛʃɾʲa(x)
tiuf-teaf,,ˈtʲufˠˌtʲafˠ
tinnis,,ˈtʲɪn̠ʲəʃ
ithim,Munster,ˈihəmʲ
ceoltóir,Munster,coːl̪ˠˈt̪ˠoːɾʲ
aoibheallach,Munster; Connacht,ˈiːvʲəl̪ˠəx
cíocrach,Connacht,ˈciːkɾˠəx
focal,Ulster; Munster; Connacht,ˈfˠɔkəl̪ˠ
tarraing,Cois-Fharraige,ˈt̪ˠaɾˠən̠ʲ
stairiúil,Ulster,ˈsˠtˠaɾʲulʲ
seanchas,,"ˈʃanˠəxəsˠ, ˈʃan̪ˠəxəsˠ"
cánach,Ulster,ˈkæːnˠa(h)
suirí,Munster,sˠɪˈɾʲiː
Cóbh,,koːvˠ
muirín,Ulster,ˈmˠɪɾʲinʲ
gearrtha,Cois-Fharraige; Mayo,ˈɟɑːɾˠhə
dealbh,,ˈdʲalˠəvˠ
eascann,Aran,ˈæsˠkən
clamhsán,Connacht,"ˈklˠausˠɑːnˠ, ˈkl̪ˠausˠɑːn̪ˠ"
drong,Aran,d̪ˠɾˠɔŋ
suíomh,Galway; Munster,sˠiːvˠ
cumannachas,,ˈkʊmˠən̪ˠəxəs
mairg,Munster,ˈmˠɑɾʲɪɟ
deiseal,,ˈdʲɛʃəlˠ
brisfidh,Munster,ˈbʲɾʲɪʃɪɟ
caitheamh,Mayo,ˈkahuː
