word,tags,ipa,results
'spáin,,spˠɑːnʲ,'spʲain̪
'sé,,ʃeː,'ʃɛ
'un,,"ənˠ, ən̪ˠ",'ʊn̪
'ur,Connacht,ə,'ʊɾˠ
-aigh,Ulster; Connacht,"i, iː",iː
-aimid,,əmʲɪdʲ,aimʲədʲ
-as,,əsˠ,asˠ
-aí,,iː,ai
-aíonn,,iːən̪ˠ,aən̪n̪
-fas,,həsˠ,fˠasˠ
-fidh,Connacht,"iː, ə",fʲɪdʲ
-fidís,,hədʲiːʃ,fʲɪdʲiʃ
-finn,,hən̠ʲ,fʲən̠ʲ
-fá,,fˠaː,fˠa
-fí,,"fʲiː, hiː",fʲɪ
-idís,,ədʲiːʃ,ɪdʲiʃ
-igh,Connacht,iː,ɪɟ
-igh,Ulster; Connacht,j,ɪɟ
-igí,,əɟiː,ɪɟi
-im,,əmʲ,ɪmʲ
-imid,,əmʲɪdʲ,ɪmʲədʲ
-imis,,əmʲəʃ,ɪmʲiʃ
-ithe,,"i(ː)ʃtʲə, iː",ɪtʲçi
-na,,"nˠə, n̪ˠə",n̪a
-ne,,nʲə,n̪ɛ
-sa,,sˠə,sˠa
-san,,"sˠənˠ, sˠən̪ˠ",sˠan̪
-se,,ʃə,ʃɛ
-sean,,ʃənˠ,ʃɑn̪
-tar,,t̪ˠəɾˠ,t̪aɾˠ
-tá,,t̪ˠaː,t̪a
-tí,,tʲiː,tʲɪ
-áil,Munster; Connacht,aːlʲ,ail̪
-í,,iː,ɪ
-ídís,,iːdʲiːʃ,ɪdʲiʃ
-ígí,,iːɟiː,ɪɟi
-ím,,iːmʲ,ɪmʲ
-ímid,,iːmʲədʲ,ɪmʲədʲ
-ímis,,iːmʲəʃ,ɪmʲiʃ
-ínn,,iːn̠ʲ,ən̠ʲ
-íonn,,iːn̪ˠ,ɪn̪n̪
-íos,,iːsˠ,ɪsˠ
-ítear,,iːtʲəɾˠ,ɪtʲəɾˠ
-íteá,,iːtʲaː,ɪtʲi
-ítí,,iːtʲiː,ɪtʲi
-ófar,,oˠhəɾˠ,ʊfˠʊ̽ɾˠ
-ófaí,,oːhiː,ɛfʲi
-ófá,,"oːfˠaː, oːhaː",ʊfˠʊ̽
-óidh,Connacht,oː(j),ɛdʲ
-óidís,,oːdʲiːʃ,ɛdʲiʃ
-óimid,,oːmʲədʲ,ɔmʲədʲ
-óimis,,oːmʲəʃ,ɛmʲiʃ
-óinn,,oːn̠ʲ,ʊən̠ʲ
-ós,,oːsˠ,ʊsˠ
-úint,Munster; Connacht,uːn̠ʲtʲ,ɪn̪t̪
Abcáisis,,"abˠˈkaːʃɪʃ, ˈabˠkaːʃɪʃ",abciʃiʃ
Abúise,,aˈbˠuːʃə,abˠiʃi
Afganastáin,,"-ˈɡanˠə-, afˠˈɡan̪ˠəsˠt̪ˠɑːnʲ",afˠgən̪əstʲən̪
Afraic,,ˈafˠɾˠɪc,afɾʲic
Aibhilín,Connacht,ˈavʲəlʲiːnʲ,aibʲçəl̪ən̪
Aifreann,,,aifʲɾʲən̪ˠ
Aindriú,,ˈanʲɾʲuː,ain̪dɾʲiə
Airméanach,,ˈaɾʲəmʲeːnˠəx,aiɾʲmʲən̪əx
Airméin,,ˈaɾʲəmʲeːnʲ,aiɾʲmʲən̪
Airméinis,,ˈaɾʲəmʲeːnʲəʃ,aiɾʲmʲən̪iʃ
Alba,,"ˈalˠəbˠə, ˈal̪ˠəbˠə",al̪bˠə
Albain,,"ˈalˠəbˠənʲ, ˈal̪ˠəbˠənʲ",albʲən̪
Albain Nua,,ˈalˠəbˠə ˈn̪ˠuə,albʲən̪ n̪ua
Alban,,"nə ˈhaləbˠənˠ, ˈaləbˠənˠ",al̪bˠən̪
Albanach,Connacht,"ˈalˠəbˠənˠəx, ˈal̪ˠəbˠən̪ˠəx",al̪bˠən̪əx
Antaine,,ˈan̪ˠt̪ˠənʲə,antʲən̪ə
Antóin,Ulster; Munster; Connacht,ˈan̪ˠt̪ˠoːnʲ,antʲən̪
Aodh,,"eː, iː",iː
Aodhagán,Connacht,"ˈiːɡɑːnˠ, ˈiːɡɑːn̪ˠ",aəd̪həgən̪
Aoibhe,,ˈiːvʲə,aibʲçi
Aoife,,ˈiːfʲə,aifʲi
Aoine,,ˈiːnʲə,aən̪ə
Aoine an Chéasta,Ulster; Connacht,ˌiːnʲə ˈçeːsˠt̪ˠə,aən̪ə an̪ cçɑsˠt̪ə
Araib,,ˈaɾˠəbʲ,aɾʲibʲ
Araibis,,ˈaɾˠəbʲəʃ,aɾʲibʲiʃ
Ard Mhacha,,ɑːɾˠd̪ˠ ˈwaxə,ɑːɾˠd̪ mˠhakhə
Ard-Fheis,,ˈɑːɾˠd̪ˠ ˈɛɕ,aɾˠdfʲçiʃ
Bablóinia,,bˠabˠˈlˠoːnʲiə,bˠabˠl̪ən̪ə
Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ",bʲail̪ə bɾʲɪɟən̪
Baile Meánach,Connacht,ˌbˠalʲə ˈmʲɑːnˠəx,bʲail̪ə mʲɑn̪əx
Baile Meánach,Munster; Connacht,ˌbˠalʲə ˈmʲɑːn̪ˠəx,bʲail̪ə mʲɑn̪əx
Baile Nua na hArda,Connacht,ˌbˠalʲə ˌn̪ˠuː n̪ˠə ˈhɑːɾˠd̪ˠə,bʲail̪ə n̪ua n̪a haɾˠd̪ə
Baile na Mainistreach,Munster; Connacht,ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲəx,bʲail̪ə n̪a mʲain̪iʃtɾʲəx
Baile Átha Cliath,Munster; Connacht,ˌbʲlʲɑː ˈclʲiə,bʲail̪ə at̪hə kl̪iət
Baile Átha Luain,Munster; Connacht,ˌbʲlʲɑː ˈl̪ˠuənʲ,bʲail̪ə at̪hə l̪uaən̪
