,word,sounds,tags_
0,cat,"[{""tags"": [""Munster""], ""ipa"": ""/kɑt̪ˠ/""}, {""tags"": [""Aran""], ""ipa"": ""/kɑt̪ˠ/""}, {""tags"": [""Aran""], ""ipa"": ""/kɔt̪ˠ/""}, {""tags"": [""Cois-Fharraige""], ""note"": ""corresponding to the form cut"", ""ipa"": ""/kʊt̪ˠ/""}, {""tags"": [""Mayo"", ""Ulster""], ""ipa"": ""/kat̪ˠ/""}]",[]
32,a-,"[{""ipa"": ""/a/""}, {""ipa"": ""/a/""}, {""ipa"": ""/ə/""}]",[]
33,a-,"[{""ipa"": ""/a/""}, {""ipa"": ""/ə/""}]",[]
34,ab,"[{""ipa"": ""/abˠ/""}]",[]
53,ab,"[{""ipa"": ""/əbˠ/""}]",[]
67,abraid,"[{""ipa"": ""/ˈabˠɾˠədʲ/""}]",['Munster']
73,the,"[{""ipa"": ""[hɛ]""}]",[]
74,de,"[{""ipa"": ""/dʲɛ/""}, {""ipa"": ""/dʲə/""}, {""tags"": [""Galway""], ""ipa"": ""/ɡə/""}, {""tags"": [""Ulster"", ""colloquial""], ""ipa"": ""/ə/""}, {""tags"": [""Ulster"", ""colloquial""], ""note"": ""before ⟨a/á, o/ó, u/ú⟩"", ""ipa"": ""/ə.ɣ-/""}, {""tags"": [""Ulster"", ""colloquial""], ""note"": ""before ⟨e/é, i/í⟩"", ""ipa"": ""/ə.j-/""}]",[]
91,de,"[{""ipa"": ""/dʲɛ/""}, {""tags"": [""Ulster""], ""ipa"": ""/dʲɛh/""}]",[]
95,te,"[{""ipa"": ""/tʲe(h)/""}]",[]
126,can,"[{""ipa"": ""/kan̪ˠ/""}, {""ipa"": ""/kanˠ/""}]",[]
254,can,"[{""ipa"": ""/kan̪ˠ/""}, {""ipa"": ""/kanˠ/""}]",[]
266,can,"[{""ipa"": ""/kan̪ˠ/""}, {""ipa"": ""/kanˠ/""}]",[]
272,i,"[{""ipa"": ""/ɪ/""}, {""ipa"": ""/ə/""}]",[]
291,is,"[{""ipa"": ""/ɪsˠ/""}, {""ipa"": ""/sˠ/""}]",[]
292,is,"[{""note"": ""before nouns and adjectives"", ""ipa"": ""/ɪsˠ/""}, {""note"": ""before nouns and adjectives"", ""ipa"": ""/sˠ/""}, {""note"": ""before the pronouns é, í, ea, iad"", ""ipa"": ""/ʃ/""}]",[]
293,cum,"[{""tags"": [""Galway"", ""Munster""], ""ipa"": ""/kuːmˠ/""}, {""tags"": [""Mayo"", ""Ulster""], ""ipa"": ""/kʊmˠ/""}]",[]
469,os,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/ɔsˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/ʌsˠ/""}]",[]
488,os,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/ɔsˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/ʌsˠ/""}]",[]
494,crap,"[{""ipa"": ""/kɾˠapˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/kɾˠʌpˠ/""}]",[]
628,big,"[{""ipa"": ""/bʲɪɟ/""}]",[]
633,um,"[{""ipa"": ""/ʊmˠ/""}]",[]
652,India,"[{""ipa"": ""/ˈɪnʲdʲiə/""}]",[]
678,gas,"[{""tags"": [""Aran"", ""Munster""], ""ipa"": ""/ɡɑsˠ/""}, {""tags"": [""Connemara"", ""Ulster""], ""ipa"": ""/ɡasˠ/""}]",[]
737,eo,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/oː/""}, {""tags"": [""Ulster""], ""ipa"": ""/ɔː/""}]",[]
756,eo,"[{""tags"": [""Connacht"", ""Munster""], ""ipa"": ""/oː/""}, {""tags"": [""Ulster""], ""ipa"": ""/ɔː/""}]",[]
784,choir,"[{""ipa"": ""[xɛɾʲ]""}]",[]
785,ad,"[{""ipa"": ""/əd̪ˠ/""}]",[]
806,it,"[{""ipa"": ""/ɪt̪ˠ/""}]",['Munster']
807,dar,"[{""ipa"": ""/d̪ˠaɾˠ/""}]",[]
813,dar,"[{""ipa"": ""/d̪ˠaɾˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/d̪ˠɪɾʲ/""}]",[]
814,banana,"[{""ipa"": ""/bˠəˈn̪ˠan̪ˠə/""}]",[]
838,dollar,"[{""ipa"": ""/ˈd̪ˠɔl̪ˠəɾˠ/""}]",[]
862,dual,"[{""ipa"": ""/d̪ˠuəl̪ˠ/""}, {""ipa"": ""/d̪ˠuəlˠ/""}]",[]
881,dual,"[{""ipa"": ""/d̪ˠuəl̪ˠ/""}, {""ipa"": ""/d̪ˠuəlˠ/""}]",[]
1028,dual,"[{""ipa"": ""/d̪ˠuəl̪ˠ/""}, {""ipa"": ""/d̪ˠuəlˠ/""}]",[]
1058,age,"[{""tags"": [""Munster""], ""ipa"": ""/ˈɛɡə/""}]",['Munster']
1083,coin,"[{""ipa"": ""/kɪnʲ/""}]",[]
1088,at,"[{""tags"": [""Aran"", ""Munster""], ""ipa"": ""/ɑt̪ˠ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""/at̪ˠ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""[aːt̪ˠ]""}, {""tags"": [""Mayo"", ""Ulster""], ""ipa"": ""/at̪ˠ/""}]",[]
1108,at,"[{""tags"": [""Aran"", ""Munster""], ""ipa"": ""/ɑt̪ˠ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""/at̪ˠ/""}, {""tags"": [""Cois-Fharraige""], ""ipa"": ""[aːt̪ˠ]""}, {""tags"": [""Mayo"", ""Ulster""], ""ipa"": ""/at̪ˠ/""}]",[]
1275,an,"[{""ipa"": ""/ənˠ/""}, {""note"": ""between consonants"", ""ipa"": ""/ə/""}, {""note"": ""before a/á, o/ó, u/ú"", ""ipa"": ""/ə.n̪ˠ-/""}, {""note"": ""before e/é, i/í"", ""ipa"": ""/ə.n̠ʲ-/""}]",[]
1286,an,"[{""note"": ""before a consonant"", ""ipa"": ""/ə/""}, {""note"": ""before a/á, o/ó, u/ú"", ""ipa"": ""/ə.nˠ-/""}, {""note"": ""before e/é, i/í"", ""ipa"": ""/ə.n̠ʲ-/""}, {""ipa"": ""/ənˠ/""}, {""note"": ""before é, ea, í, iad"", ""ipa"": ""/ə.n̠ʲ-/""}]",[]
1287,an,"[{""note"": ""before a consonant"", ""ipa"": ""/ə/""}, {""note"": ""before a/á, o/ó, u/ú"", ""ipa"": ""/ə.nˠ-/""}, {""note"": ""before e/é, i/í"", ""ipa"": ""/ə.n̠ʲ-/""}, {""ipa"": ""/ənˠ/""}, {""note"": ""before é, ea, í, iad"", ""ipa"": ""/ə.n̠ʲ-/""}]",[]
1455,dear,"[{""ipa"": ""[dʲaɾˠ]""}]",[]
1613,mill,"[{""ipa"": ""[mʲiːlʲ]""}, {""ipa"": ""[mʲɪlʲ]""}]",[]
1741,mill,"[{""ipa"": ""[mʲiːlʲ]""}, {""ipa"": ""[mʲɪlʲ]""}]",[]
1765,air,"[{""ipa"": ""/aɾʲ/""}]",[]
1926,air,"[{""ipa"": ""/aɾʲ/""}]",[]
1927,air,"[{""tags"": [""stressed""], ""ipa"": ""/ɛɾʲ/""}, {""tags"": [""unstressed""], ""ipa"": ""/əɾʲ/""}]",[]
1934,arm,"[{""tags"": [""Aran"", ""Munster""], ""ipa"": ""/ˈɑɾˠəmˠ/""}, {""tags"": [""Connemara"", ""Mayo"", ""Ulster""], ""ipa"": ""/ˈaɾˠəmˠ/""}]",[]
1984,as,"[{""ipa"": ""/asˠ/""}, {""tags"": [""Munster""], ""ipa"": ""/ɑsˠ/""}, {""tags"": [""Aran""], ""note"": ""as if spelled eas"", ""ipa"": ""/æsˠ/""}]",[]
2000,as,"[{""ipa"": ""/asˠ/""}, {""tags"": [""Munster""], ""ipa"": ""/ɑsˠ/""}, {""tags"": [""Aran""], ""note"": ""as if spelled eas"", ""ipa"": ""/æsˠ/""}]",[]
2001,as,"[{""ipa"": ""/asˠ/""}, {""tags"": [""Munster""], ""ipa"": ""/ɑsˠ/""}, {""tags"": [""Aran""], ""note"": ""as if spelled eas"", ""ipa"": ""/æsˠ/""}]",[]
2064,rite,"[{""ipa"": ""/ˈɾˠɪtʲə/""}, {""tags"": [""Ulster""], ""ipa"": ""/ˈɾˠɨ̞tʲə/""}]",[]
2065,rite,"[{""ipa"": ""/ˈɾˠɪtʲə/""}, {""tags"": [""Ulster""], ""ipa"": ""/ˈɾˠɨ̞tʲə/""}]",[]
2068,car,"[{""ipa"": ""/karˠ/""}]",[]
2201,mine,"[{""ipa"": ""/ˈmʲɪnʲə/""}]",[]
2207,both,"[{""ipa"": ""/bˠɔ(h)/""}, {""tags"": [""Ulster""], ""ipa"": ""/bˠoh/""}]",[]
2273,ag,"[{""ipa"": ""/ə/""}, {""ipa"": ""/əɡ/""}, {""ipa"": ""/əɟ/""}, {""ipa"": ""/ɛɟ/""}, {""ipa"": ""/ɪɟ/""}]",[]
2274,ag,"[{""ipa"": ""/ə/""}, {""ipa"": ""/əɡ/""}, {""ipa"": ""/əɟ/""}, {""ipa"": ""/ɛɟ/""}, {""ipa"": ""/ɪɟ/""}]",[]
2290,ag,"[{""ipa"": ""/ɛɟ/""}]",[]
2307,ba,"[{""tags"": [""Munster""], ""ipa"": ""/bˠɑ(h)/""}, {""tags"": [""Connacht""], ""ipa"": ""/bˠɑ/""}, {""tags"": [""Connacht""], ""ipa"": ""/bˠa(h)/""}, {""tags"": [""Connacht"", ""Cois-Fharraige""], ""ipa"": ""[bˠaː]""}, {""tags"": [""Ulster""], ""ipa"": ""/bˠah/""}]",[]
2308,ba,"[{""ipa"": ""/bˠə/""}, {""note"": ""before é, í, iad, ea"", ""ipa"": ""/bˠəj/""}, {""tags"": [""Munster"", ""also""], ""ipa"": ""/bˠɔ/""}]",[]
2319,ban,"[{""ipa"": ""/bˠan̪ˠ/""}, {""ipa"": ""/bˠanˠ/""}]",[]
