word,tags,ipa,results,match
'spáin,,spˠɑːnʲ,ˈ'sˠpˠɑːnʲ,86
'sé,,ʃeː,ʃeː,100
'un,,"ənˠ, ən̪ˠ",ən̪ˠ,100
'ur,Connacht,ə,əɾˠ,100
-ach,Munster; Connacht,əx,əx,100
-aigh,Ulster; Connacht,"i, iː",ˈiː,67
-aimid,,əmʲɪdʲ,amʲədʲ,67
-ann,,ən̪ˠ,ən̪ˠ,100
-as,,əsˠ,asˠ,67
-aí,,iː,ˈiː,100
-aíonn,,iːən̪ˠ,aiːn̪ˠ,83
-each,,əx,əx,100
-fas,,həsˠ,həsˠ,100
-fidh,Connacht,"iː, ə",ˈiː,67
-fidís,,hədʲiːʃ,ˈhədʲiːʃ,100
-fimid,,həmʲədʲ,ˈhəmʲədʲ,100
-fimis,,həmʲəʃ,ˈhəmʲəʃ,100
-finn,,hən̠ʲ,ˈfʲən̠ʲ,80
-fá,,fˠaː,fˠɑː,75
-fí,,"fʲiː, hiː",fʲiː,100
-idís,,ədʲiːʃ,ɪdʲiːʃ,83
-igh,Connacht,iː,ˈiː,100
-igh,Ulster; Connacht,j,ˈiː,0
-igí,,əɟiː,ˈɪɟiː,75
-im,,əmʲ,ɪmʲ,67
-imid,,əmʲɪdʲ,ˈɪmʲədʲ,67
-imis,,əmʲəʃ,ˈɪmʲɪʃ,60
-inn,,ən̠ʲ,ən̠ʲ,100
-ithe,,"i(ː)ʃtʲə, iː",ɪhə,33
-mid,,mʲədʲ,ˈmʲədʲ,100
-na,,"nˠə, n̪ˠə",nˠa,67
-ne,,nʲə,nʲɛ,67
-sa,,sˠə,sˠa,67
-san,,"sˠənˠ, sˠən̪ˠ",ˈsˠanˠ,67
-se,,ʃə,ʃɛ,50
-sean,,ʃənˠ,ˈʃɑnˠ,75
-tar,,t̪ˠəɾˠ,ˈt̪ˠaɾˠ,83
-tá,,t̪ˠaː,t̪ˠɑː,80
-tí,,tʲiː,ˈtʲiː,100
-áil,Munster; Connacht,aːlʲ,ˈɑːlʲ,75
-í,,iː,ˈiː,100
-ídís,,iːdʲiːʃ,ˈiːdʲiːʃ,100
-ígí,,iːɟiː,ˈiːɟiː,100
-ím,,iːmʲ,iːmʲ,100
-ímid,,iːmʲədʲ,ˈiːmʲədʲ,100
-ímis,,iːmʲəʃ,ˈiːmʲɪʃ,83
-ínn,,iːn̠ʲ,ˈiːn̠ʲ,100
-íonn,,iːn̪ˠ,ˈiːn̪ˠ,100
-íos,,iːsˠ,ˈiːsˠ,100
-ítear,,iːtʲəɾˠ,ˈiːtʲɪɾˠ,86
-íteá,,iːtʲaː,ˈiːtʲɪɑː,67
-ítí,,iːtʲiː,ˈiːtʲiː,100
-ófar,,oˠhəɾˠ,ˈoːfˠəɾˠ,73
-ófaí,,oːhiː,ˈoːfˠiː,60
-ófá,,"oːfˠaː, oːhaː",ˈoːhɑː,67
-óidh,Connacht,oː(j),oː,100
-óidís,,oːdʲiːʃ,ˈoːdʲiːʃ,100
-óimid,,oːmʲədʲ,ˈoːmʲədʲ,100
-óimis,,oːmʲəʃ,ˈoːmʲɪʃ,83
-óinn,,oːn̠ʲ,ˈoːən̠ʲ,80
-ós,,oːsˠ,ˈoːsˠ,100
-úint,Munster; Connacht,uːn̠ʲtʲ,ˈuːn̠ʲtʲ,100
Abcáisis,,"abˠˈkaːʃɪʃ, ˈabˠkaːʃɪʃ",ˈabˠkɑːʃɪʃ,90
Abúise,,aˈbˠuːʃə,ˈabˠuːʃɪ,80
Afganastáin,,"-ˈɡanˠə-, afˠˈɡan̪ˠəsˠt̪ˠɑːnʲ",ˈafˠɡənˠəsˠt̪ˠɑːnʲ,83
Afraic,,ˈafˠɾˠɪc,ˈafˠɾˠɪc,100
Aibhilín,Connacht,ˈavʲəlʲiːnʲ,ˈɑuɪlʲiːnʲ,60
Aifreann,,,ˈafʲɾʲən̪ˠ,0
Aindriú,,ˈanʲɾʲuː,ˈanʲɾʲuː,100
Airméanach,,ˈaɾʲəmʲeːnˠəx,ˈaɾʲmʲeːnˠəx,92
Airméin,,ˈaɾʲəmʲeːnʲ,ˈaɾʲmʲeːnʲ,90
Airméinis,,ˈaɾʲəmʲeːnʲəʃ,ˈaɾʲmʲeːnʲɪʃ,83
Alastar,,ˈal̪ˠəsˠt̪ˠəɾˠ,ˈalˠəsˠt̪ˠəɾˠ,92
Alba,,"ˈalˠəbˠə, ˈal̪ˠəbˠə",ˈalˠbˠə,86
Albain,,"ˈalˠəbˠənʲ, ˈal̪ˠəbˠənʲ",ˈalˠbˠɪnʲ,78
Albain Nua,,ˈalˠəbˠə ˈn̪ˠuə,ˈalˠbˠɪnʲ ˈnˠua,73
Alban,,"nə ˈhaləbˠənˠ, ˈaləbˠənˠ",ˈalˠbˠənˠ,89
Albanach,Connacht,"ˈalˠəbˠənˠəx, ˈal̪ˠəbˠən̪ˠəx",ˈalˠbˠənˠəx,91
Antaine,,ˈan̪ˠt̪ˠənʲə,ˈanˠt̪ˠɪnʲɪ,82
Antóin,Ulster; Munster; Connacht,ˈan̪ˠt̪ˠoːnʲ,ˈanˠt̪ˠəːnʲ,82
Aodh,,"eː, iː",ˈiː,67
Aodhagán,Connacht,"ˈiːɡɑːnˠ, ˈiːɡɑːn̪ˠ",ˈiːɣəɡɑːnˠ,80
Aoibhe,,ˈiːvʲə,ˈiːvʲɪ,83
Aoife,,ˈiːfʲə,ˈiːfʲɪ,83
Aoine,,ˈiːnʲə,ˈiːnʲɪ,83
Aoine an Chéasta,Ulster; Connacht,ˌiːnʲə ˈçeːsˠt̪ˠə,ˈiːnʲɪ anˠ ˈçeːsˠt̪ˠə,71
Arabach,,ˈaɾˠəbˠəx,ˈaɾˠəbˠəx,100
Araib,,ˈaɾˠəbʲ,ˈaɾˠɪbʲ,86
Araibis,,ˈaɾˠəbʲəʃ,ˈaɾˠɪbʲɪʃ,78
Ard Mhacha,,ɑːɾˠd̪ˠ ˈwaxə,ˈɑːɾˠd̪ˠ ˈwaxə,100
Ard-Fheis,,ˈɑːɾˠd̪ˠ ˈɛɕ,ˈaɾˠdfʲhɪʃ,40
Bablóinia,,bˠabˠˈlˠoːnʲiə,ˈbˠabˠlˠəːnʲɪ,77
Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ",ˈbˠalʲɪ ˈbʲɾʲɪɟiːnʲ,84
Baile Meánach,Connacht,ˌbˠalʲə ˈmʲɑːnˠəx,ˈbˠalʲɪ ˈmʲɛɑːnˠəx,88
Baile Meánach,Munster; Connacht,ˌbˠalʲə ˈmʲɑːn̪ˠəx,ˈbˠalʲɪ ˈmʲɛɑːnˠəx,83
Baile Nua na hArda,Connacht,ˌbˠalʲə ˌn̪ˠuː n̪ˠə ˈhɑːɾˠd̪ˠə,ˈbˠalʲɪ ˈnˠua ˈnˠa ˈhaɾˠd̪ˠə,71
Baile na Mainistreach,Munster; Connacht,ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲəx,ˈbˠalʲɪ ˈnˠa ˈmˠanʲɪʃtʲɾʲɪx,78
Baile Átha Cliath,Munster; Connacht,ˌbʲlʲɑː ˈclʲiə,ˈbˠalʲɪ ˈɑːçə ˈclʲiəç,64
Baile Átha Luain,Munster; Connacht,ˌbʲlʲɑː ˈl̪ˠuənʲ,ˈbˠalʲɪ ˈɑːçə ˈlˠʊɪnʲ,56
Bairbre,,ˈbˠaɾʲəbʲɾʲə,ˈbˠaɾʲbʲɾʲɪ,91
Bandan,,bˠɑn̪ˠd̪ˠən̪ˠ,ˈbˠanˠənˠ,56
Bascais,,ˈbˠasˠkəʃ,ˈbˠasˠkɪʃ,89
Baváir,Connacht,ˈbˠawɑːɾʲ,ˈbˠʊvɑːɾʲ,78
Beannchar,,ˈbʲan̪ˠəxəɾˠ,ˈbˠan̪ˠxəɾˠ,82
Bearna,,"ˈbʲaːɾˠn̪ˠə, ˈbʲɑːɾˠn̪ˠə",ˈbʲæɾˠnˠə,67
Beáltaine,,ˈbʲaːl̪ˠt̪ˠənʲə,ˈbʲɛɑːlˠt̪ˠɪnʲɪ,73
Bh,,"vʲ, w",w,100
Bhaile Átha Cliath,Munster; Connacht,ˌvʲlʲɑː ˈclʲiə,ˈwalʲɪ ˈɑːçə ˈclʲiəç,64
