word,tags,ipa,results
'spáin,,spˠɑːnʲ,'spʲain̪
'sé,,ʃeː,'ʃɛ
'un,,"ənˠ, ən̪ˠ",'ɔn̪
'ur,Connacht,ə,'ɔɾˠ
-ach,Munster; Connacht,əx,ɑx
-aigh,Ulster; Connacht,"i, iː",ə
-aimid,,əmʲɪdʲ,aimʲidʲ
-ann,,ən̪ˠ,ɑn̪ˠ
-as,,əsˠ,ɑsˠ
-aí,,iː,ai
-aíonn,,iːən̪ˠ,ɑən̪ˠ
-each,,əx,æx
-fas,,həsˠ,fˠɑsˠ
-fidh,Connacht,"iː, ə",fʲiː
-fidís,,hədʲiːʃ,fʲɪdʲiʃ
-fimid,,həmʲədʲ,fʲɪmʲidʲ
-fimis,,həmʲəʃ,fʲɪmʲiʃ
-finn,,hən̠ʲ,fʲɪn̠ʲ
-fá,,fˠaː,fˠɑ
-fí,,"fʲiː, hiː",fʲɪ
-idís,,ədʲiːʃ,ɪdʲiʃ
-igh,Connacht,iː,jj
-igh,Ulster; Connacht,j,jj
-igí,,əɟiː,ɪɟi
-im,,əmʲ,ɪmʲ
-imid,,əmʲɪdʲ,ɪmʲidʲ
-imis,,əmʲəʃ,ɪmʲiʃ
-inn,,ən̠ʲ,ɪn̠ʲ
-ithe,,"i(ː)ʃtʲə, iː",ɪçi
-mid,,mʲədʲ,mʲɪdʲ
-na,,"nˠə, n̪ˠə",n̪ɑ
-ne,,nʲə,n̪ɛ
-sa,,sˠə,sˠɑ
-san,,"sˠənˠ, sˠən̪ˠ",sˠɑn̪
-se,,ʃə,ʃɛ
-sean,,ʃənˠ,ʃɑn̪
-tar,,t̪ˠəɾˠ,t̪ɑɾˠ
-tá,,t̪ˠaː,t̪ɑ
-tí,,tʲiː,tʲɪ
-áil,Munster; Connacht,aːlʲ,ail̪
-í,,iː,ɪ
-ídís,,iːdʲiːʃ,ɪdʲiʃ
-ígí,,iːɟiː,ɪɟi
-ím,,iːmʲ,ɪmʲ
-ímid,,iːmʲədʲ,ɪmʲidʲ
-ímis,,iːmʲəʃ,ɪmʲiʃ
-ínn,,iːn̠ʲ,ɪn̠ʲ
-íonn,,iːn̪ˠ,ɪn̪ˠ
-íos,,iːsˠ,ɪsˠ
-ítear,,iːtʲəɾˠ,ɪtʲəɾˠ
-íteá,,iːtʲaː,ɪtʲi
-ítí,,iːtʲiː,ɪtʲi
-ófar,,oˠhəɾˠ,ɔfˠəɾˠ
-ófaí,,oːhiː,ɛfʲi
-ófá,,"oːfˠaː, oːhaː",ɔfˠə
-óidh,Connacht,oː(j),oiː
-óidís,,oːdʲiːʃ,ɛdʲiʃ
-óimid,,oːmʲədʲ,ɛmʲidʲ
-óimis,,oːmʲəʃ,ɛmʲiʃ
-óinn,,oːn̠ʲ,ɔn̠ʲ
-ós,,oːsˠ,ɔsˠ
-úint,Munster; Connacht,uːn̠ʲtʲ,ɪn̪t̪
Abcáisis,,"abˠˈkaːʃɪʃ, ˈabˠkaːʃɪʃ",ɑbciʃiʃ
Abúise,,aˈbˠuːʃə,ɑbˠiʃi
Afganastáin,,"-ˈɡanˠə-, afˠˈɡan̪ˠəsˠt̪ˠɑːnʲ",ɑfˠgən̪əstʲən̪
Afraic,,ˈafˠɾˠɪc,ɑfɾʲic
Aibhilín,Connacht,ˈavʲəlʲiːnʲ,aivʲəl̪ən̪
Aifreann,,,aifʲɾʲən̪ˠ
Aindriú,,ˈanʲɾʲuː,ainɾʲiə
Airméanach,,ˈaɾʲəmʲeːnˠəx,aiɾʲmʲən̪əx
Airméin,,ˈaɾʲəmʲeːnʲ,aiɾʲmʲən̪
Airméinis,,ˈaɾʲəmʲeːnʲəʃ,aiɾʲmʲən̪iʃ
Alastar,,ˈal̪ˠəsˠt̪ˠəɾˠ,ɑl̪əsˠt̪əɾˠ
Alba,,"ˈalˠəbˠə, ˈal̪ˠəbˠə",ɑl̪bˠə
Albain,,"ˈalˠəbˠənʲ, ˈal̪ˠəbˠənʲ",ɑlbʲən̪
Albain Nua,,ˈalˠəbˠə ˈn̪ˠuə,ɑlbʲən̪ n̪ua
Alban,,"nə ˈhaləbˠənˠ, ˈaləbˠənˠ",ɑl̪bˠən̪
Albanach,Connacht,"ˈalˠəbˠənˠəx, ˈal̪ˠəbˠən̪ˠəx",ɑl̪bˠən̪əx
Antaine,,ˈan̪ˠt̪ˠənʲə,ɑntʲən̪ə
Antóin,Ulster; Munster; Connacht,ˈan̪ˠt̪ˠoːnʲ,ɑntʲən̪
Aodh,,"eː, iː",iːɣ
Aodhagán,Connacht,"ˈiːɡɑːnˠ, ˈiːɡɑːn̪ˠ",iːɣəgən̪
Aoibhe,,ˈiːvʲə,iːvʲə
Aoife,,ˈiːfʲə,iːfʲi
Aoine,,ˈiːnʲə,iːn̪ə
Aoine an Chéasta,Ulster; Connacht,ˌiːnʲə ˈçeːsˠt̪ˠə,iːn̪ə ɑn̪ çɑsˠt̪ə
Arabach,,ˈaɾˠəbˠəx,ɑɾˠəbˠəx
Araib,,ˈaɾˠəbʲ,ɑɾʲibʲ
Araibis,,ˈaɾˠəbʲəʃ,ɑɾʲibʲiʃ
Ard Mhacha,,ɑːɾˠd̪ˠ ˈwaxə,ɑːɾˠd̪ wɑxə
Ard-Fheis,,ˈɑːɾˠd̪ˠ ˈɛɕ,ɑɾˠdmˠKɾˠ_FHInˠITlˠEnˠiʃ
Bablóinia,,bˠabˠˈlˠoːnʲiə,bˠɑbˠl̪ən̪ə
Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ",bʲail̪ə bɾʲɪɟən̪
Baile Meánach,Connacht,ˌbˠalʲə ˈmʲɑːnˠəx,bʲail̪ə mʲɑn̪əx
Baile Meánach,Munster; Connacht,ˌbˠalʲə ˈmʲɑːn̪ˠəx,bʲail̪ə mʲɑn̪əx
