word,tags,ipa,results
pána,Connacht,ˈpˠɑːnˠə,pˠɑn̪ə
freastal,,"ˈfʲɾʲasˠt̪ˠəlˠ, ˈfʲɾʲasˠt̪ˠəl̪ˠ",fɾʲɑsˠt̪əl̪
tua cheatha,,t̪ˠuə ˈçahə,t̪ua çɑhə
scéim,,ʃceːmʲ,scɛmʲ
gráigh,,,gɾʲə
nguí,,ŋiː,ŋɪ
tá a fhios ag,,"t̪ˠaːsˠ eɟ, t̪ˠɑːsˠ eɟ",t̪ɑ ɑ mˠKɾˠ_FHInˠITlˠEnˠɪsˠ ɑg
fata,Connacht,"ˈfˠat̪ˠə, ˈfˠɑt̪ˠə",fˠɑt̪ə
géag,Ulster; Connacht,"ɟeːɡ, ɟɛə̯ɡ",ɟɑg
cléireach,Munster; Connacht,ˈclʲeːɾʲəx,kl̪ɛɾʲəx
Tuircis,,ˈt̪ˠʊɾʲcɪʃ,t̪ɪɾʲciʃ
bia,,bʲiə,bʲiə
beag,Munster; Connacht,bʲɞɡ,bʲɑg
cluichí,Connacht,"ˈklˠifʲiː, ˈkl̪ˠifʲiː",kl̪ɪçi
gcailín,Connacht,ˈɡalʲiːnʲ,gail̪ən̪
tlú,Munster; Connacht,"t̪ˠlˠuː, t̪ˠl̪ˠuː",t̪l̪ɔ
iaim,,iəmʲ,iəimʲ
Cholm,,"ˈxɔlˠəmˠ, ˈxɔl̪ˠəmˠ",xɔl̪mˠ
bólacht,,ˈbˠoːlˠəxt̪ˠ,bˠɔl̪əxt̪
dhise,,ˈjɪʃə,jɪʃi
díon,,dʲiːnˠ,d̪ɪn̪
bhfága,Connacht,ˈwɑːɡə,vɑgə
ligthe,,ˈl̠ʲɪcɪ,l̪ɪɟçi
d'áitigh,Connacht,"ˈd̪ˠɑːtʲiː, ˈd̪ˠɑːtʲə",dʲaitʲjj
mharc,Ulster; Connacht,waɾˠk,wɑːrk
chuig,,xɪɟ,xɪɟ
abarthar,,ˈabˠəɾˠhəɾˠ,ɑbˠəɾˠhəɾˠ
puimcín,Connacht,ˈpˠɪmʲciːn,pˠɪmʲcən̪
iarraigí,,ˈiəɾˠəɟiː,iəɾʲəgə
reitric,,ˈɾˠɛtʲɾʲɪc,ɾʲɛtʲɾʲic
fógra,Munster; Connacht,ˈfˠoːɡɾˠə,fˠɔgɾˠə
cruitíneach,Connacht,ˈkɾˠɪtʲiːnʲəx,kɾˠɪtʲən̪əx
ghaoth,Ulster; Connacht,ɣiː,ɣiː
caolú,Connacht,ˈkiːlˠuː,kiːl̪ə
Ard Mhacha,,ɑːɾˠd̪ˠ ˈwaxə,ɑːɾˠd̪ wɑxə
fionnuar,,ˈfʲɪn̪ˠˌuəɾˠ,fˠɪn̪ˠəɾˠ
líomóid,,ˈlʲiːmˠoːdʲ,l̪ɪmʲidʲ
fir,,fʲɪɾʲ,fʲəiɾʲ
cheithre,,ˈçɛɾʲə,çɛçɾʲi
imithe,Connacht,"ˈimʲi, ˈimʲɪçə",ɪmʲiçi
