word,tags,ipa,results
-finn,,hən̠ʲ,fʲən̠ʲ
-na,,"nˠə, n̪ˠə",n̪ɑ
-san,,"sˠənˠ, sˠən̪ˠ",sˠɑn̪
-tá,,t̪ˠaː,t̪ɑ
-tí,,tʲiː,tʲɪ
-óidh,Connacht,oː(j),ɛdʲ
-óimis,,oːmʲəʃ,ɛmʲiʃ
Abcáisis,,"abˠˈkaːʃɪʃ, ˈabˠkaːʃɪʃ",ɑbciʃiʃ
Afraic,,ˈafˠɾˠɪc,ɑfɾʲic
Aifreann,,,aifʲɾʲən̪ˠ
Aindriú,,ˈanʲɾʲuː,ain̪dɾʲiə
Alastar,,ˈal̪ˠəsˠt̪ˠəɾˠ,ɑl̪əsˠt̪əɾˠ
Antóin,Ulster; Munster; Connacht,ˈan̪ˠt̪ˠoːnʲ,ɑntʲən̪
Baile Meánach,Munster; Connacht,ˌbˠalʲə ˈmʲɑːn̪ˠəx,bʲail̪ə mʲɑn̪əx
Baile Meánach,Connacht,ˌbˠalʲə ˈmʲɑːnˠəx,bʲail̪ə mʲɑn̪əx
Bandan,,bˠɑn̪ˠd̪ˠən̪ˠ,bˠɑn̪d̪ən̪
Beannchar,,ˈbʲan̪ˠəxəɾˠ,bʲɑn̪n̪khəɾˠ
Bhéarla,,ˈvʲeːɾˠlˠə,bʲçæɾˠl̪ə
Bolcáin,Connacht,ˈbɔlˠkɑːnʲ,bˠɔlcən̪
Caitliceach,Munster; Connacht,ˈkatʲlʲɪcəx,caitʲl̪icəx
Ceilteach,Connacht,ˈcɛl̠ʲtʲəx,cɛltʲəx
Cholm Cille,Ulster; Connacht,"ˌxɔlˠəmˈcɪl̠ʲə, ˌxɔl̪ˠəmˈcɪl̠ʲə",khɔl̪mˠ cɪl̪l̪ə
Chonnacht,Connacht,ˈxʊn̪ˠəxt̪ˠ,khɔn̪n̪əkht̪
Ciarraí,,ˈciəɾˠiː,ciərɾʲi
Cincís,Connacht,ˈcɪɲciːʃ,cɪnciʃ
Colmán,Connacht,"ˈkɔlˠəmˠɑːnˠ, ˈkɔl̪ˠəmˠɑːn̪ˠ",kɔl̪mˠən̪
Cásca,Munster; Connacht,ˈkɑːsˠkə,kɑsˠkə
Cóbh,,koːvˠ,kɔb
