word,tags,ipa
'ad,Aran,ɑ(ː)t̪ˠ
'ad,Mayo; Connemara,ad̪ˠ
'adsa,Aran,ˈɑt̪ˠsˠə
'am,Aran,ɑ(ː)mˠ
'am,Cois-Fharraige,amˠ
'chuile,Aran,ˈxɯlʲə
'chuile,Cois-Fharraige; Aran; Mayo,ˈxilʲə
'spáin,,spˠɑːnʲ
'sé,,ʃeː
'un,,"ənˠ, ən̪ˠ"
'ur,Connacht,ə
'ur,Munster,uːɾˠ
-ach,Munster; Connacht,əx
-ach,Ulster,"a, ah, ax"
-adh,Galway,əvˠ
-adh,Galway; Ulster; Mayo,ətʲ
-adh,Galway; Munster,ə
-adh,Mayo; Ulster,uː
-adh,Munster,əɡ
-adh,Galway; Munster,əx
-aigh,Ulster; Connacht,"i, iː"
-aigh,Munster,iɟ
-aimid,,əmʲɪdʲ
-amar,Munster,əmˠəɾʲ
-amh,Galway,ə
-amh,Mayo,uː
-amh,Munster,əvˠ
-amh,Ulster,u
-ann,,ən̪ˠ
-as,,əsˠ
-aí,,iː
-aíonn,,iːən̪ˠ
-each,,əx
-each,Munster,ax
-each,Ulster,a(h)
-fadh,Galway; Ulster; Mayo,ətʲ
-fadh,Mayo,uː
-fadh,Galway; Munster,əx
-fadh,Ulster,u
-far,Munster,fˠəɾˠ
-far,Ulster,həɾˠ
-fas,,həsˠ
-fidh,Connacht,"iː, ə"
-fidh,Munster,ɪɟ
-fidh,Ulster,i
-fidís,,hədʲiːʃ
-fimid,,həmʲədʲ
-fimis,,həmʲəʃ
-finn,,hən̠ʲ
-fá,,fˠaː
-fá,Ulster,haː
-fí,,"fʲiː, hiː"
-idís,,ədʲiːʃ
-igh,Connacht,iː
-igh,Ulster; Connacht,j
-igh,Munster,"ɟ, ɪɟ"
-igh,Ulster,i
-igí,,əɟiː
-im,,əmʲ
-im,Ulster,əmˠ
-imid,,əmʲɪdʲ
-imis,,əmʲəʃ
-inn,,ən̠ʲ
-ithe,,"i(ː)ʃtʲə, iː"
-mhar,Ulster,uɾˠ
-mid,,mʲədʲ
-na,,"nˠə, n̪ˠə"
-ne,,nʲə
-sa,,sˠə
-san,,"sˠənˠ, sˠən̪ˠ"
-se,,ʃə
-sean,,ʃənˠ
-tar,,t̪ˠəɾˠ
-tá,,t̪ˠaː
-tí,,tʲiː
-áil,Munster; Connacht,aːlʲ
-áil,Ulster,"ælʲ, æl̠ʲtʲ"
-í,,iː
-ídís,,iːdʲiːʃ
-ígí,,iːɟiː
-ím,,iːmʲ
-ím,Ulster,iːmˠ
-ímid,,iːmʲədʲ
-ímis,,iːmʲəʃ
-ínn,,iːn̠ʲ
-íodh,Galway,iːvˠ
-íodh,Galway; Ulster; Mayo,iːtʲ
-íodh,Mayo; Ulster,iːw
-íodh,Munster,iːɡ
-íodh,Galway; Munster,iːx
-íomar,Munster,iːmˠəɾʲ
-íonn,,iːn̪ˠ
-íos,,iːsˠ
-ítear,,iːtʲəɾˠ
-íteá,,iːtʲaː
