word,tags,ipa,results,match,dolgo
'glasa',,ˈɡlˠasˠə,ˈɡlˠasˠə,100,1.0
'cló',,klˠoː, kl̪ˠoː,klˠoː,100,1.0
'seasc',,ʃasˠk,ʃasˠk,100,1.0
'deifre',,ˈdʲɛfʲrʲə,ˈdʲɛfʲɾʲə,87,0.89
'chíonn',,çiːn̪ˠ,çiːnʲ,60,0.71
'guirme',,ˈɡɪɾʲmʲə,ˈɡɪɾʲmʲə,100,1.0
'ghada',,ˈɣad̪ˠə,ˈɣad̪ˠə,100,1.0
'measc',,mʲasˠk,mʲasˠk,100,1.0
'thoirt',,hɔɾˠtʲ,hɔɾˠt̪ˠ,66,0.75
'alta',,ˈal̪ˠt̪ˠə,ˈɛl̠ˠt̪ˠə,81,0.84
'scar',,ˈskaɾˠ,sˠkaɾˠ,66,0.75
'Sord',,sˠauɾˠd̪ˠ,sˠɔɾˠd̪ˠ,85,0.88
'deasc',,dʲæsˠk,dʲasˠk,77,0.82
'dáimh',,d̪ˠɑːvʲ,d̪ˠáiiː,41,0.63
'ar scáth',,ɛɾʲˈsˠkɑː,əɾˠ ˈsˠkɑː,76,0.81
'bheirir',,ˈvʲɛɾʲəɾʲ,ˈvʲɛɾʲəɾʲ,100,1.0
'dúrais',,ˈd̪ˠuːɾˠəʃ,ˈd̪ˠuːɾˠəʃ,100,1.0
'shiúl',,çuːlˠ, çuːl̪ˠ,ˈhuːlˠ,66,0.75
'choire',,ˈxɛɾʲə,ˈxɛɾʲə,100,1.0
'snáfa',,ˈsˠn̪ˠɑːfˠə,ˈsˠn̪ˠɑːfˠə,100,1.0
'bord',,bˠoːɾˠd̪ˠ,bˠɔɾˠd̪ˠ,80,0.83
'Airméanach',,ˈaɾʲəmʲeːnˠəx,ˈaɾʲmʲeːn̪ˠəx,80,0.84
'dlím',,dʲlʲiːmʲ,dʲlʲiːmʲ,100,1.0
'rún',,ɾˠuːnˠ, ɾˠuːn̪ˠ,ɾˠuːn̪ˠ,100,1.0
'cearnóga',,ˈcɑːɾˠn̪ˠoːɡə,ˈcaɾˠn̪ˠoːɡə,82,0.85
'siabainn',,ˈʃiəbˠən̠ʲ,ˈʃiəbˠən̪ˠ,82,0.85
'Eastóinis',,asˠˈtˠoːnʲɪʃ, ˈasˠtˠoːnʲɪʃ,ˈasˠt̪ˠónʲəʃ,70,0.77
'mún',,mˠuːnˠ, mˠuːn̪ˠ,mˠuːn̪ˠ,100,1.0
'chuathas',,ˈxuəhəsˠ,ˈxuəhəsˠ,100,1.0
'críon',,cɾʲiːnˠ,cɾʲiːnʲ,81,0.85
'gcodanna',,ˈɡɔd̪ˠən̪ˠə,ɡˈɔd̪ˠən̪ˠə,80,0.83
'dún',,d̪ˠuːnˠ,d̪ˠuːn̪ˠ,84,0.87
'deimhin',,ˈdʲɪvʲənʲ,ˈdʲeiiːənʲ,66,0.75
