word	got	expected	exact	lev	lev_norm	dolgo	dolgo_norm
buachalán	ˈbˠuəxəlˠɑːnˠ	ˈbˠuəxəlˠɑːnˠ	true	0	100.00	0.0000	100.00
ciumhaiseanna	ˈcəuʃən̪ˠə	ˈcuːʃən̪ˠə	false	2	80.00	0.1429	85.71
prácás	ˈpˠɾˠɑːkɑːsˠ	ˈpˠɾˠɑːkɑːsˠ	true	0	100.00	0.0000	100.00
ochtó	ˈoxt̪ˠoː	ˈoxt̪ˠoː	true	0	100.00	0.0000	100.00
'un	ʊnˠ	ənˠ	false	1	66.67	0.5000	50.00
thairstise	ˈhaɾˠʃtʲəʃə	ˈhaɾˠʃtʲəʃə	true	0	100.00	0.0000	100.00
dhíbh	jiːvʲ	jiːvʲ	true	0	100.00	0.0000	100.00
slis	ʃlʲɪʃ	ˈʃl̠ʲɪʃ	false	2	71.43	0.0000	100.00
cheana	ˈçanˠə	ˈhanˠə	false	1	83.33	0.2500	75.00
caorthann	ˈkiːɾˠhən̪ˠ	ˈkiːɾˠhən̪ˠ	true	0	100.00	0.0000	100.00
mhadraí	ˈwad̪ˠɾˠiː	ˈwad̪ˠɾˠiː	true	0	100.00	0.0000	100.00
éagrábhadh	ˈeːɡɾˠɑːwə	ˈeːkɾˠɑːvˠ	false	3	70.00	0.5000	50.00
-ímis	ˈiːmʲɪʃ	iːmʲəʃ	false	2	71.43	0.2500	75.00
thiocfainn	ˈhʊkfˠən̠ʲ	hʊkən̠ʲ	false	3	70.00	0.1667	83.33
léachtóir	ˈl̠ʲeːxt̪ˠoːɾʲ	ˈl̠ʲeːxt̪ˠoːɾʲ	true	0	100.00	0.0000	100.00
achainí	ˈaxənʲiː	ˈaxənʲiː	true	0	100.00	0.0000	100.00
cairr	kaɾˠ	kaːɾˠ	false	1	80.00	0.0000	100.00
ar oscailt	ɛɾʲˈɔsˠkəl̠ʲtʲ	ɛɾʲ ˈɔsˠkɪlʲtʲ	false	3	78.57	0.1250	87.50
duilliúr	ˈd̪ˠɪl̠ʲuːɾˠ	ˈd̪ˠɪl̠ʲuːɾˠ	true	0	100.00	0.0000	100.00
ar a laghad	ɛɾʲ əˈl̪ˠaiəd̪ˠ	ˌɛɾʲəˈl̪ˠəid̪ˠ	false	4	73.33	0.3750	62.50
ceannaím	ˈcan̪ˠəmʲ	ˈcan̪ˠiːmʲ	false	2	80.00	0.2000	80.00
bhFranc	wɾˠaŋk	ˈvˠɾˠaŋk	false	3	62.50	0.2000	80.00
furasta	ˈfˠʊɾˠəsˠt̪ˠə	ˈfˠʊɾˠəsˠt̪ˠə	true	0	100.00	0.0000	100.00
cheal	çalˠ	çalˠ	true	0	100.00	0.0000	100.00
Ceilteach	ˈcɛl̠ʲtʲəx	ˈcɛl̠ʲtʲəx	true	0	100.00	0.0000	100.00
Blarna	ˈbˠlˠɑːɾˠn̪ˠə	ˈbˠlˠɑːɾˠn̪ˠə	true	0	100.00	0.0000	100.00
áthas	ˈɑːhəsˠ	ˈɑːhəsˠ	true	0	100.00	0.0000	100.00
fionnuar	ˈfʲɪn̪ˠuəɾˠ	ˈfʲɪn̪ˠˌuəɾˠ	false	1	91.67	0.1429	85.71
acústaic	ˈakuːsˠt̪ˠɪc	əˈkuːsˠt̪ˠɪc	false	2	83.33	0.1429	85.71
bpáiste	ˈbˠɑːʃtʲə	ˈbˠɑːʃtʲə	true	0	100.00	0.0000	100.00
buíon	bˠiːnˠ	bˠiːnˠ	true	0	100.00	0.0000	100.00
ionaidh	ˈɪnˠə	ˈiːnˠiː	false	4	42.86	0.3333	66.67
eofón	ˈoːfˠoːnˠ	ˈoːfˠoːnˠ	true	0	100.00	0.0000	100.00
coirce	ˈkɞɾʲcə	ˈkɞɾʲcə	true	0	100.00	0.0000	100.00
banana	ˈbˠanˠənˠə	bˠəˈn̪ˠan̪ˠə	false	6	50.00	0.3333	66.67
coille	ˈkɞl̠ʲə	ˈkɞl̠ʲə	true	0	100.00	0.0000	100.00
deoir	dʲoːɾʲ	dʲoːɾʲ	true	0	100.00	0.0000	100.00
freastalaím	ˈfʲɾʲasˠt̪ˠəlˠəmʲ	ˈfʲɾʲasˠt̪ˠəlˠiːmʲ	false	2	88.89	0.1111	88.89
caomhnú	ˈkiːvˠn̪ˠuː	ˈkˠiːnˠuː	false	4	63.64	0.2000	80.00
drochaoibh	ˈd̪ˠɾˠɔxiːvʲ	ˈd̪ˠɾˠɔxiːvʲ	true	0	100.00	0.0000	100.00
Cáit	kɑːtʲ	kɑːtʲ	true	0	100.00	0.0000	100.00
tóin in airde	ˌt̪ˠoːnʲ ɪnʲ ˈɑːɾˠdʲə	ˌt̪ˠuːnʲ əˈn̪ˠɑːɾˠdʲə	false	6	71.43	0.2000	80.00
bholg	wɔlˠəɡ	ˈwɔlˠəɡ	false	1	85.71	0.0000	100.00
agóid	ˈaɡoːdʲ	ˈaɡoːdʲ	true	0	100.00	0.0000	100.00
a chlog	əˈxlˠoɡ	əˈxlˠoɡ	true	0	100.00	0.0000	100.00
fhios	iɔsˠ	ɪsˠ	false	2	50.00	0.3333	66.67
peacaí	ˈpʲakiː	ˈpʲakiː	true	0	100.00	0.0000	100.00
agaibhse	ˈaɡəvʲʃə	ˈaɡəvʲʃə	true	0	100.00	0.0000	100.00
sáim	sˠɑːmʲ	sˠɑːmʲ	true	0	100.00	0.0000	100.00
gcónaí	ˈɡuːnˠiː	ˈɡuːn̪ˠiː	false	1	88.89	0.0000	100.00
brac	bˠɾˠak	bˠɾˠak	true	0	100.00	0.0000	100.00
Airméanach	ˈaɾʲəmʲeːnˠəx	ˈaɾʲəmʲeːnˠəx	true	0	100.00	0.0000	100.00
Críostaí	ˈcɾʲiːsˠt̪ˠiː	ˈcɾʲiːsˠt̪ˠiː	true	0	100.00	0.0000	100.00
