word,tags,ipa,results,match
criadh,,cɾʲiə,ˈcɾʲiə,1.0
fheola,,ˈoːlˠə,ˈoːlˠə,1.0
coisin,,ˈkɔʃɪnʲ,ˈkɛʃɪnʲ,1.0
duitse,,ˈd̪ˠɪtʲʃə,ˈd̪ˠɪtʲʃɪ,1.0
dtrí,,dʲɾʲiː,ˈdʲɾʲiː,1.0
facs,,fˠaksˠ,ˈfˠaksˠ,1.0
stáisiún,,ˈsˠt̪ˠaːʃuːn̪ˠ,ˈsˠt̪ˠɑːʃuːnˠ,1.0
seanathair,,ˈʃanˠahəɾʲ,ˈʃɑnˠəçɪɾʲ,0.86
feamainneach,,ˈfʲamˠən̠ʲəx,ˈfʲɑmˠən̠ʲəx,1.0
caoile,,ˈkiːlʲə,ˈkiːlʲɪ,1.0
bainim,Connacht,"ˈbˠanʲəmʲ, ˈbˠænʲəmʲ",ˈbˠanʲɪmʲ,1.0
ceathrair,,ˈcahɾˠəɾʲ,ˈcæçɾˠɪɾʲ,0.83
pite,,ˈpʲɪtʲə,ˈpʲɪtʲɪ,1.0
geimhreadh,Connacht,"ˈɟĩvʲɾʲuː, ˈɟɛvʲɾʲu",ˈɟɛvʲɾʲə,1.0
caith,Connacht,ka,ˈkaç,1.0
déirc,,dʲeːɾʲc,ˈdʲeːɾʲc,1.0
dearnamar,,ˈdʲaːɾˠn̪ˠəmˠəɾˠ,ˈdʲæɾˠnˠəmˠəɾˠ,1.0
amas,,ˈamˠəsˠ,ˈamˠəsˠ,1.0
m'anam,,ˈmˠanˠəmˠ,ˈmʲɑnˠəmˠ,1.0
char,,xaɾˠ,ˈxɑːɾˠ,1.0
ciclipéid,Connacht,ˈcɪclʲɪpʲeːdʲ,ˈcɪclʲɪpʲeːdʲ,1.0
péiste,,ˈpʲeːʃtʲə,ˈpʲeːʃtʲɪ,1.0
tuir,,t̪ˠɪɾʲ,ˈt̪ˠəiɾʲ,0.75
cléireach,Munster; Connacht,ˈclʲeːɾʲəx,ˈclʲeːɾʲəx,1.0
coisíocht,Connacht,ˈkɔʃiəxt,ˈkɛʃiːxt̪ˠ,0.86
péist,,pʲeːʃtʲ,ˈpʲeːʃtʲ,1.0
siúinéir,,ˈʃuːnʲeːɾʲ,ˈʃuːɪnʲeːɾʲ,0.83
bhánaigh,,"ˈwɑːnˠi, ˈwɑːn̪ˠi",ˈwɑːnˠiː,1.0
crannóg,Connacht,ˈkɾˠan̪ˠoːɡ,ˈkɾˠan̪ˠoːɡ,1.0
fuascail,,ˈfˠuəsˠkəlʲ,ˈfˠuasˠkɪlʲ,1.0
uis,,ɪʃ,ˈɪʃ,1.0
altán,,ˈal̪ˠt̪ˠɑːn̪ˠ,ˈʊlˠt̪ˠɑːnˠ,1.0
bronntanas,Connacht,"ˈbˠɾˠuːn̪ˠt̪ˠənˠəsˠ, ˈbˠɾˠuːn̪ˠt̪ˠən̪ˠəsˠ",ˈbˠɾˠʊn̪ˠt̪ˠənˠəsˠ,1.0
fíniúnach,Connacht,ˈfʲiːnʲuːnˠəx,ˈfʲiːnʲuːnˠəx,1.0
