tags,ipa,word
Connacht ,/ˈfˠat̪ˠə/,fata
Connacht ; Munster ,/ˈɟeːɾʲə/,géire
Connacht ,/ˈkanˠuː/,canadh
Connacht ,/ˈsˠəil̠ʲʃə/,soilse
Connacht ,/ˈbɔlˠkɑːnʲ/,bolcáin
Connacht ; Connacht ; Ulster ,/ˈdʲaɾˠəmˠədʲ/,dearmaid
Connacht ,/ˈkoːnˠɾˠə/,cónra
Connacht ; Connacht ,/ˈt̪ˠalˠuː/,talamh
Connacht ,/ˈtʲal̪ˠəx/,teallach
Connacht ,/ˈsˠkiːlʲəx/,scaoileadh
Connacht ,/ˈd̪ˠɑːɡuː/,d'fhágadh
Connacht ,/kəuɾˠ/,corr
Connacht ; Munster ,/ˈɾˠiːɡəx/,ríogach
Connacht ,/ˈsˠkɾˠɑːbɑːnˠ/,scrábán
Connacht ; Ulster ,/sˠpˠl̪ˠaŋk/,splanc
Connacht ,/ˈeːlˠə/,éalaigh
Connacht ; Connacht ,/əˈɲɑːl̪ˠ eɾʲ/,i ngeall ar
Connacht ,/ˈd̪ˠɾˠaiən̪ˠ/,draighean
Connacht ,/ˈfʲɾʲasˠt̪ˠəlˠiːx/,freastalaíodh
Connacht ,/ˈd̪ˠɑːkətʲ/,d'fhágfadh
Connacht ; Ulster ,/ˈfˠɑːlʲtʲə/,fáilte
Connacht ; Munster ,/ˈbʲɾʲɪʃə/,briseadh
Connacht ,/bˠun/,bun
Connacht ,,baineadh
Connacht ,/sˠiːlˠ/,saol
Connacht ,/ˈmˠɔnˠəɾˠkiː/,monarcaí
Connacht ,/ˈt̪ˠɾˠeːnˠɑːlˠiː/,traenálaí
Connacht ,/ˈmˠɔɾˠəɡuː/,morgadh
Connacht ; Munster ,/ˈɑːɾʲəvˠ/,áireamh
Connacht ,/ˈt̪ˠanˠiːxə/,tanaíocha
Connacht ; Ulster ,[n̪ˠiːw],Naomh
Connacht ,/iː/,ith
Connacht ,/bˠəuɾˠd̪ˠ/,bord
Connacht ,/ˈmˠʊnˠəɾˠkiː/,monarcaí
Connacht ,/ˈfʲeːnʲiːnʲ/,féinín
Connacht ; Ulster ,/ʃeːd̪ˠ/,séad
Connacht ; Munster ,/ˈfˠaut̪ˠəx/,fabhtach
Connacht ,/d̪ˠoː/,dóigh
Connacht ,/ˈʃoːɾˠd̪ˠɑːnˠ/,seordán
Connacht ; Ulster ,/ˈmʲinʲic/,minic
Connacht ,/ˈfˠɔklˠoːɾʲ/,foclóir
Connacht ,/ˈpˠakɑːlʲ/,pacáil
Connacht ; Ulster ,/bˠiːx/,buíoch
Connacht ; Ulster ,/ˌkɔlˠəmˈcɪl̠ʲə/,Colm Cille
Connacht ; Ulster ,/ˈʃcɪl̠ʲən̠ʲ/,scilling
Connacht ,/ˈl̪ˠan̪ˠəx/,lannach
Connacht ; Connacht ,/ˈaɾʲiːmʲ/,airím
Connacht ; Munster ,/ˈɟuːd̪ˠəx/,Giúdach
Connacht ,/ˈcɪɲciːʃ/,Cincís
Connacht ,/ˌçɪl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ/,Chill Mhantáin
Connacht ,/ˈpʲɪlʲeːɾʲ/,piléir
Connacht ,/ˈkoːɾˠn̪ˠətʲ/,cornadh
Connacht ,/ʃɾʲiən̪ˠ/,srian
Connacht ,/ˈdʲiːnfˠəɾˠ/,déanfar
Connacht ; Connacht ,/knɑːvʲ/,cnámh
Connacht ,/eːn̪ˠ/,éan
Connacht ; Ulster ,/l̪ˠasˠˈt̪ˠuə(j)/,lastuaidh
Connacht ,/t̪ˠɾˠɑː ˈl̠ʲiː/,Trá Lí
Connacht ,/ˈsˠaud̪ˠɑːnˠ/,sabhdán
Connacht ; Munster ,/ˈtʲitʲəmʲ/,titim
Connacht ; Ulster ,/ˈcaŋ(ɡ)əlˠ/,ceangal
Connacht ; Ulster ,/ˈɡuəlˠən̠ʲ/,gualainn
Connacht ,/t̪ˠɾˠiːɑːlʲ/,triail
Connacht ,/ˈl̪ˠasˠə/,lasadh
Connacht ,/ˈkəidʲɑːnˠ/,caighdeán
Connacht ,/ˈbˠɞsˠkijə/,boscaí
Connacht ,/ˈʃcuːl̪ˠɑːn̪ˠ/,sciúlán
Connacht ; Munster ,/əɾʲˈfˠɑd̪ˠ/,ar fad
Connacht ; Ulster ,/ˈkuːɾʲiəl̪ˠt̪ˠə/,cúirialta
Connacht ; Munster ,/ˈpˠɑkə/,paca
Connacht ; Connacht ; Ulster ,/fˠan̪ˠ/,fann
Connacht ,/ˈiəɾˠɡuːlʲ/,iargúil
Connacht ,/ɡliː/,glao
Connacht ,/ˈal̪ˠt̪ˠətʲ/,altadh
Connacht ,/ˈasˠən̠ʲ/,asainn
Connacht ,[ˈmˠaːdʲə],maide
Connacht ; Munster ,/ˈɟeːɡəx/,géagach
Connacht ,/ˈiːhə/,oíche
Connacht ; Munster ,/ˈsˠɑɡəɾˠtʲ/,sagairt
Connacht ; Munster ,/ˈɡɑːɾʲə/,gáire
Connacht ,/ˈknɔkɑːn/,cnocán
Connacht ,/ˈkɔɾˠəx/,curach
Connacht ,/ˈbˠakiː/,bacaí
